Breakfast Delivery Model from State Agency Tracking-Original,School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
,11200,Mountain View Middle,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97007,17500 SW Farmington Rd,,,Public-Regular School,N,,N,,,,,,866,369,420,77,497,46522,9881,19839,56403,11302,2303,2718,13605,,170,170,,,,,,,,OR,56403,331.782352941,13605,80.029411765,OR@11200@3402002,SY16-17,,497,0.573903002,,Public,,,,,,,
,11220,Nancy Ryles Elem,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97007,10250 SW Cormorant Dr,,,Public-Regular School,N,,N,,,,,,620,493,105,22,127,11516,2285,25682,13801,4023,669,2887,4692,,169,169,,,,,,,,OR,13801,81.662721893,4692,27.763313609,OR@11220@3402002,SY16-17,,127,0.204838710,,Public,,,,,,,
,11221,Oak Hills Elem,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97006,2625 NW 153rd Ave,,,Public-Regular School,N,,N,,,,,,589,498,73,18,91,9256,2653,23084,11909,2846,395,1338,3241,,169,169,,,,,,,,OR,11909,70.467455621,3241,19.177514793,OR@11221@3402002,SY16-17,,91,0.154499151,,Public,,,,,,,
,11222,Raleigh Hills Elem,3402002,Beaverton SD 48J,OR,Washington,Portland,97225,5225 SW Scholls Ferry Rd,,,Public-Regular School,N,,N,,,,,,593,341,216,36,252,27770,4221,13881,31991,11560,1609,1190,13169,,169,169,,,,,,,,OR,31991,189.295857988,13169,77.923076923,OR@11222@3402002,SY16-17,,252,0.424957841,,Public,,,,,,,
,11223,Raleigh Park Elem,3402002,Beaverton SD 48J,OR,Washington,Portland,97225,3670 SW 78th Ave,,,Public-Regular School,N,,N,,,,,,354,220,125,9,134,16952,1396,9381,18348,6686,305,1819,6991,,169,169,,,,,,,,OR,18348,108.568047337,6991,41.366863905,OR@11223@3402002,SY16-17,,134,0.378531073,,Public,,,,,,,
,11224,Ridgewood Elem,3402002,Beaverton SD 48J,OR,Washington,Portland,97225,10100 SW Inglewood St,,,Public-Regular School,N,,N,,,,,,469,379,72,18,90,7854,2014,14152,9868,3713,497,2294,4210,,169,169,,,,,,,,OR,9868,58.390532544,4210,24.911242604,OR@11224@3402002,SY16-17,,90,0.191897655,,Public,,,,,,,
,11225,Rock Creek Elem,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97229,4125 NW 185th Ave,,,Public-Regular School,N,,N,,,,,,596,460,111,25,136,13968,3690,25568,17658,4923,1421,2589,6344,,169,169,,,,,,,,OR,17658,104.485207101,6344,37.538461538,OR@11225@3402002,SY16-17,,136,0.228187919,,Public,,,,,,,
,11533,Scholls Heights,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97007,16400 SW Loon Dr,,,Public-Regular School,N,,N,,,,,,543,461,75,7,82,7501,1209,21259,8710,2107,456,1343,2563,,169,169,,,,,,,,OR,8710,51.538461538,2563,15.165680473,OR@11533@3402002,SY16-17,,82,0.151012891,,Public,,,,,,,
,11226,Sexton Mountain Elem,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97007,15645 SW Sexton Mtn Dr,,,Public-Regular School,N,,N,,,,,,533,429,91,13,104,10570,1513,22341,12083,2588,88,1311,2676,,169,169,,,,,,,,OR,12083,71.497041420,2676,15.834319527,OR@11226@3402002,SY16-17,,104,0.195121951,,Public,,,,,,,
,11536,Southridge,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97008,9625 SW 125th Ave,,,Public-Regular School,N,,N,,,,,,1635,1160,387,88,475,31209,8216,28240,39425,7159,2285,1296,9444,,170,170,,,,,,,,OR,39425,231.911764706,9444,55.552941176,OR@11536@3402002,SY16-17,,475,0.290519878,,Public,,,,,,,
