Operating Days-Breakfast Only,Provision 1 (Y/N),State-Physical,School ID,School Name,District ID,District Name,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
166.181818182,,,10079,Dallas High School,2704001,Dallas SD,Polk,,,,,,,N,N,,,,,,918,,,,331,18337,3627,12072,,,,2646,10150,,167,,,,,,,,,OR,21964,131.520958084,10150,61.077680525,OR@10079@2704001,SY17-18,,331,0.360566449,,,,,,,,,
167.855421687,,,10066,LaCreole Middle School,2704001,Dallas SD,Polk,,,,,,,N,N,,,,,,664,,,,313,27196,5743,18900,,,,1901,12031,,165,,,,,,,,,OR,32939,199.630303030,12031,71.674777491,OR@10066@2704001,SY17-18,,313,0.471385542,,,,,,,,,
163.336956522,,,10068,Lyle Elementary,2704001,Dallas SD,Polk,,,,,,,N,N,,,,,,418,,,,225,24011,3046,9169,,,,1583,13444,,164,,,,,,,,,OR,27057,164.981707317,13444,82.308378252,OR@10068@2704001,SY17-18,,225,0.538277512,,,,,,,,,
159.166666667,,,10069,Oakdale Heights Elementary,2704001,Dallas SD,Polk,,,,,,,N,N,,,,,,351,,,,185,19965,3623,8985,,,,2531,9884,,163,,,,,,,,,OR,23588,144.711656442,9884,62.098429319,OR@10069@2704001,SY17-18,,185,0.527065527,,,,,,,,,
142.5,,,13852,Polk Adolescent Day Treatment Center,2704001,Dallas SD,Polk,,,,,,,N,N,,,,,,18,,,,14,759,183,26,,,,5,565,,175,,,,,,,,,OR,942,5.382857143,565,3.964912281,OR@13852@2704001,SY17-18,,14,0.777777778,,,,,,,,,
166.397590361,,,10072,Whitworth Elementary,2704001,Dallas SD,Polk,,,,,,,N,N,,,,,,445,,,,229,22449,4140,9786,,,,1719,12092,,165,,,,,,,,,OR,26589,161.145454545,12092,72.669321555,OR@10072@2704001,SY17-18,,229,0.514606742,,,,,,,,,
171.121951220,,,10937,Alice Ott Middle,2604001,David Douglas SD 40,Multnomah,,,,,,,N,N,,,,,,747,,,,476,48053,10302,17220,,,,11495,30601,,167,,BAB,,,,,,,OR,58355,349.431137725,30601,178.825684151,OR@10937@2604001,SY17-18,,476,0.637215529,,,,,,BAB,,,
18.5,,,13847,Arthur Academy Charter School,2604001,David Douglas SD 40,Multnomah,,,,,,,N,N,,,,,,178,,,,63,4050,1205,2965,,,,0,0,,168,,,,,,,,,OR,5255,31.279761905,0,0,OR@13847@2604001,SY17-18,,63,0.353932584,,,,,,,,,
167.894179894,,,10939,Cherry Park Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,566,,,,393,40560,4312,9815,,,,5841,25891,,167,,,,,,,,,OR,44872,268.694610778,25891,154.210229421,OR@10939@2604001,SY17-18,,393,0.694346290,,,,,,,,,
163.6875,,,14626,Community Transition Program,2604001,David Douglas SD 40,Multnomah,,,,,,,N,N,,,,,,54,,,,40,2602,23,54,,,,141,2478,,163,,BAB,,,,,,,OR,2625,16.104294479,2478,15.138602520,OR@14626@2604001,SY17-18,,40,0.740740741,,,,,,BAB,,,
173.240963855,,,10936,David Douglas High,2604001,David Douglas SD 40,Multnomah,,,,,,,N,N,,,,,,3243,,,,2170,174546,35664,47550,,,,20467,80186,,170,,,,,,,,,OR,210210,1236.529411765,80186,462.858195980,OR@10936@2604001,SY17-18,,2170,0.669133518,,,,,,,,,
168.476415094,,,12494,Earl Boyles,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,583,,,,415,38281,8445,9635,,,,4074,31643,,167,,,,,,,,,OR,46726,279.796407186,31643,187.818573788,OR@12494@2604001,SY17-18,,415,0.711835334,,,,,,,,,
169.581818182,,,10935,Fir Ridge Campus,2604001,David Douglas SD 40,Multnomah,,,,,,,Y,N,,,,,,190,,,,190,14869,0,0,,,,0,9327,,167,,,,,,,,,OR,14869,89.035928144,9327,55,OR@10935@2604001,SY17-18,,190,1,,,,,,,,,
171.916167665,,,10938,Floyd Light Middle,2604001,David Douglas SD 40,Multnomah,,,,,,,N,N,,,,,,937,,,,648,58354,11185,16851,,,,5169,23541,,167,,,,,,,,,OR,69539,416.401197605,23541,136.933019854,OR@10938@2604001,SY17-18,,648,0.691568837,,,,,,,,,
167.640939597,,,10940,Gilbert Heights Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,644,,,,467,51437,8220,13866,,,,10110,39847,,167,,,,,,,,,OR,59657,357.227544910,39847,237.692535581,OR@10940@2604001,SY17-18,,467,0.725155280,,,,,,,,,
168.927272727,,,10941,Gilbert Park Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,635,,,,423,47291,7178,12235,,,,8957,28207,,167,,,,,,,,,OR,54469,326.161676647,28207,166.977182219,OR@10941@2604001,SY17-18,,423,0.666141732,,,,,,,,,
168.282142857,,,10942,Lincoln Park Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,Y,N,,,,,,712,,,,712,86878,0,0,,,,0,47119,,167,,,,,,,,,OR,86878,520.227544910,47119,280,OR@10942@2604001,SY17-18,,712,1,,,,,,,,,
167.884444444,,,10943,Menlo Park Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,517,,,,360,36016,5606,8817,,,,6036,31738,,167,,,,,,,,,OR,41622,249.233532934,31738,189.046698788,OR@10943@2604001,SY17-18,,360,0.696324952,,,,,,,,,
167.952380952,,,10944,Mill Park Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,Y,N,,,,,,677,,,,677,69630,0,0,,,,0,35270,,167,,,,,,,,,OR,69630,416.946107784,35270,210,OR@10944@2604001,SY17-18,,677,1,,,,,,,,,
171.139917695,,,13660,Ron Russell Middle School,2604001,David Douglas SD 40,Multnomah,,,,,,,N,N,,,,,,931,,,,717,76461,14288,13813,,,,5523,36064,,167,,,,,,,,,OR,90749,543.407185629,36064,210.728160242,OR@13660@2604001,SY17-18,,717,0.770139635,,,,,,,,,410394001676
167.361344538,,,10945,Ventura Park Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,457,,,,303,34234,4212,9725,,,,3187,16729,,167,,,,,,,,,OR,38446,230.215568862,16729,99.957370958,OR@10945@2604001,SY17-18,,303,0.663019694,,,,,,,,,
167.284263959,,,10946,West Powellhurst Elem,2604001,David Douglas SD 40,Multnomah,,,,,,,N,Y,,,,,,451,,,,373,45047,6878,5422,,,,2272,30683,,167,,,,,,,,,OR,51925,310.928143713,30683,183.418328023,OR@10946@2604001,SY17-18,,373,0.827050998,,,,,,,,,
147.548387097,,,13793,Days Creek Charter School,1004001,Days Creek SD 15,Douglas,,,,,,,N,N,,,,,,204,,,,132,11649,3699,4993,,,,2424,11298,,148,,,,,,,,,OR,15348,103.702702703,11298,76.571491036,OR@13793@1004001,SY17-18,,132,0.647058824,,,,,,,,,
170.049429658,,,11300,Dayton Grade School,3604001,Dayton SD 008,Yamhill,,,,,,,Y,N,,,,,,463,,,,311,41214,0,20116,,,,14670,30053,,170,,,,,,,,,OR,41214,242.435294118,30053,176.730966170,OR@11300@3604001,SY17-18,,311,0.672003913,,,,,,,,,
169.365591398,,,14193,Dayton High School,3604001,Dayton SD 008,Yamhill,,,,,,,Y,N,,,,,,336,,,,226,20538,0,10025,,,,10332,21170,,170,,,,,,,,,OR,20538,120.811764706,21170,124.995873278,OR@14193@3604001,SY17-18,,226,0.671989006,,,,,,,,,
169.917808219,,,11299,Dayton Jr High,3604001,Dayton SD 008,Yamhill,,,,,,,Y,N,,,,,,239,,,,161,20183,0,9851,,,,8137,16671,,170,,,,,,,,,OR,20183,118.723529412,16671,98.112141245,OR@11299@3604001,SY17-18,,161,0.672005061,,,,,,,,,
128.434782609,,,10460,Dayville School,1204001,Dayville SD 16J,Grant,,,,,,,N,N,,,,,,60,,,,35,2802,766,1606,,,,795,2159,,129,,,,,,,,,OR,3568,27.658914729,2159,16.810088016,OR@10460@1204001,SY17-18,,35,0.583333333,,,,,,,,,410402000358
181.296296296,,,13794,De La Salle North Catholic HS,2604005,De La Salle North Catholic High School,Multnomah,,,,,,,N,N,,,,,,437,,,,204,8764,3003,6240,,,,3112,6678,,183,,,,,,,,,OR,11767,64.300546448,6678,36.834729316,OR@13794@2604005,SY17-18,,204,0.466819222,,,,,,,,,
348,,,11401,DePaul,2604002,De Paul Treatment Centers,Multnomah,,,,,,,N,N,,,,,,11,,,,11,3157,0,0,,,,0,3132,,365,,,,,,,,,OR,3157,8.649315068,3132,9,OR@11401@2604002,SY17-18,,11,1,,,,,,,,,
347.8,,,11352,Deschutes Detention Center,0904001,Deschutes Co Juvenile Detention Center,Deschutes,,,,,,,N,N,,,,,,26,,,,26,3445,0,0,,,,0,3478,,365,,,,,,,,,OR,3445,9.438356164,3478,10,OR@11352@0904001,SY17-18,,26,1,,,,,,,,,
152.318181818,,,12314,Dome School,1704002,Dome School,Josephine,,,,,,,N,Y,,,,,,43,,,,38,4576,640,657,,,,44,3307,,149,,BAB,,,,,,,OR,5216,35.006711409,3307,21.711131006,OR@12314@1704002,SY17-18,,38,0.883720930,,,,,,BAB,,,
363.777777778,,,12763,Juvenile Detention,1004002,Douglas Co. Juvenile Detention & Shelter Care Facility,Douglas,,,,,,,N,N,,,,,,111,,,,111,19782,0,0,,,,0,19644,,365,,,,,,,,,OR,19782,54.197260274,19644,54,OR@12763@1004002,SY17-18,,111,1,,,,,,,,,
53.5,,,16014,Celilo Pre-school,3304001,Dufur SD 29,Wasco,,,,,,,Y,N,,,,,,6,,,,4,150,0,71,,,,70,144,,57,,BAB,,,,,,,OR,150,2.631578947,144,2.691588785,OR@16014@3304001,SY17-18,,4,0.678733032,,,,,,BAB,,,
