Claim Date,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,School Year,State-Reporting,Unique ID,Zip Code,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Claim Year,Claim Month,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,Street Address-Line 1,State-Physical,County,School Type-Original,District ID,School ID,Operating Days,Enrollment-Free,Enrollment-Reduced,Enrollment-Paid,Enrollment-Total,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,District Name,School Name,City,CEP (Y/N),Breakfast Delivery Model from State Agency Tracking-Original
10/1/2017,1505,321,1694,SY17-18,RI,RI@7123@7190,2920,,,Cafeteria,,,,Public,,0.413245033,312,,,91.3,1826,235.5,4710,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7123,20,254,58,443,755,3913,797,2818,CRANSTON PUBLIC SCHOOLS,Park View Middle School,Cranston,N,*Cafeteria
10/1/2017,1872,236,2336,SY17-18,RI,RI@7124@7190,2920,,,Cafeteria,,,,Public,,0.443148688,152,,,105.4,2108,99.75,1995,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7124,20,134,18,191,343,1776,219,886,CRANSTON PUBLIC SCHOOLS,George J. Peters School,Cranston,N,*Cafeteria
10/1/2017,2089,236,789,SY17-18,RI,RI@7125@7190,2920,,,Cafeteria,,,,Public,,0.686956522,158,,,116.25,2325,114.15,2283,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7125,20,140,18,72,230,2127,156,466,CRANSTON PUBLIC SCHOOLS,Arlington School,Cranston,N,*Cafeteria
10/1/2017,1014,135,1344,SY17-18,RI,RI@7126@7190,2920,,,Cafeteria,,,,Public,,0.218193804,331,,,57.45,1149,171.15,3423,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7126,20,265,66,1186,1517,2814,609,3627,CRANSTON PUBLIC SCHOOLS,Cranston High School West,Cranston,N,*Cafeteria
10/1/2017,291,23,422,SY17-18,RI,RI@7127@7190,2920,,,Cafeteria,,,,Public,,0.289377289,79,,,15.7,314,50.6,1012,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7127,20,65,14,194,273,850,162,1038,CRANSTON PUBLIC SCHOOLS,Stone Hill School,Cranston,N,*Cafeteria
10/1/2017,249,40,405,SY17-18,RI,RI@7128@7190,2920,,,Cafeteria,,,,Public,,0.248322148,74,,,14.45,289,36,720,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7128,20,66,8,224,298,623,97,1101,CRANSTON PUBLIC SCHOOLS,Glen Hills School,Cranston,N,*Cafeteria
10/1/2017,752,161,829,SY17-18,RI,RI@7129@7190,2920,,,Cafeteria,,,,Public,,0.299643282,252,,,45.65,913,161,3220,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7129,20,212,40,589,841,2760,460,2724,CRANSTON PUBLIC SCHOOLS,Western Hills Middle School,Cranston,N,*Cafeteria
10/1/2017,2067,195,1345,SY17-18,RI,RI@7130@7190,2920,,,Cafeteria,,,,Public,,0.584,146,,,113.1,2262,107,2140,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7130,20,129,17,104,250,1945,195,478,CRANSTON PUBLIC SCHOOLS,Edgewood Highland School,Cranston,N,*Cafeteria
10/1/2017,54,30,331,SY17-18,RI,RI@7134@7190,2921,,,Cafeteria,,,,Public,,0.0825,33,,,4.2,84,16.75,335,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7134,20,24,9,367,400,256,79,1274,CRANSTON PUBLIC SCHOOLS,Hope Highlands Elementary School,Cranston,N,*Cafeteria
10/1/2017,771,99,128,SY17-18,RI,RI@7135@7190,2920,,,Cafeteria,,,,Public,,0.693548387,129,,,43.5,870,81.15,1623,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7135,20,112,17,57,186,1406,217,196,CRANSTON PUBLIC SCHOOLS,NEL/CPS Construction Career Academy,Cranston,N,*Cafeteria
10/1/2017,129,1,464,SY17-18,RI,RI@7136@7190,2921,,,Cafeteria,,,,Public,,0.063559322,30,,,6.5,130,12.65,253,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,7136,20,22,8,442,472,225,28,1533,CRANSTON PUBLIC SCHOOLS,Orchard Farms Elementary School,Cranston,N,*Cafeteria
10/1/2017,146,20,153,SY17-18,RI,RI@078A1@7190,2905,,,Cafeteria,,,,Public,,0.6,30,,,8.3,166,7.2,144,,,,,,,,,,,,,2017,10,,,,,,,,,Providence County,LEA,7190,078A1,20,25,5,20,50,131,13,105,CRANSTON PUBLIC SCHOOLS,Sanders Academy,Cranston,N,*Cafeteria
10/1/2017,148,15,51,SY17-18,RI,RI@078B6@7190,,,,,,,,Public,,,155,,,7.761904762,163,11.809523810,248,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,7190,078B6,21,142,13,795,950,229,19,74,,,,,
10/1/2017,1610,112,428,SY17-18,RI,RI@8107@8190,,,,,,,,Public,,,199,,,90.631578947,1722,154.894736842,2943,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,8190,8107,19,173,26,197,396,2643,300,1056,,,,,
10/1/2017,673,49,565,SY17-18,RI,RI@8108@8190,,,,,,,,Public,,,97,,,38,722,61.263157895,1164,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,8190,8108,19,83,14,299,396,998,166,1827,,,,,
10/1/2017,106,18,171,SY17-18,RI,RI@8109@8190,,,,,,,,Public,,,37,,,6.888888889,124,18.833333333,339,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,8190,8109,18,26,11,591,628,250,89,3243,,,,,
10/1/2017,226,63,408,SY17-18,RI,RI@8110@8190,,,,,,,,Public,,,72,,,15.210526316,289,46.368421053,881,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,8190,8110,19,57,15,292,364,732,149,1470,,,,,
10/1/2017,419,13,270,SY17-18,RI,RI@8112@8190,,,,,,,,Public,,,58,,,22.736842105,432,38.894736842,739,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,8190,8112,19,51,7,223,281,657,82,1391,,,,,
10/1/2017,1493,92,406,SY17-18,RI,RI@8114@8190,,,,,,,,Public,,,375,,,83.421052632,1585,247.789473684,4708,,,,,,,,,,,,,2017,10,,,,,,,,,,LEA,8190,8114,19,313,62,1037,1412,3996,712,5798,,,,,
