State-Reporting,Street Address-Line 1,City,State-Physical,Zip Code,School Name,District ID,School ID,District Name,County,Street Address-Line 2,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,School Type-Original
OH,12355 Dille Rd, New Carlisle, Ohio, 45344,Park Layne Elementary School,046243,00029140,Tecumseh Local Sd,Clark,,N,,N,,,9/1/2016,9,2016,469,,254,33,,3586,461,1278,,3588,503,2144,,,18.5,18.5,,,,,,,,,4047,218.756756757,4091,221.135135135,OH@00029140@046243,390462402484,SY16-17,,287,0.611940299,Primary,Public,,,,,,,Elementary School,Public School
OH,7959 State Route 124, Latham, Ohio, 45646,Western Elementary School,049155,00029157,Western Local Sd,Pike,,Y,,N,,,9/1/2016,9,2016,466,,245,,,5154,0,1296,,5018,0,1262,,,18.5,18.5,,,,,,,,,5154,278.594594595,5018,271.243243243,OH@00029157@049155,390491503510,SY16-17,,245,0.799069767,Primary,Public,,,,,,,Elementary School,Public School
OH,1711 Penworth Dr, Columbus, Ohio, 43229,Parkmoor Urban Academy Elementary School,043802,00029181,Columbus Public Schools,Franklin,,Y,,N,,,9/1/2016,9,2016,321,,205,,,4496,0,0,,4241,0,0,,,18.5,18.5,,,,,,,,,4496,243.027027027,4241,229.243243243,OH@00029181@043802,390438000698,SY16-17,,205,1,Primary,Public,,,,,,,Elementary School,Public School
OH,2240 Dover Center Rd, Westlake, Ohio, 44145,Parkside Elementary School,045062,00029207,Westlake City Sd,Cuyahoga,,N,,N,,,9/1/2016,9,2016,587,,108,20,,1326,179,2502,,0,0,0,,,18.5,18.5,,,,,,,,,1505,81.351351351,0,0,OH@00029207@045062,390450601976,SY16-17,,128,0.218057922,Primary,Public,,,,,,,Elementary School,Public School
OH,4320 West 220 Street, Fairview Park, Ohio, 44126,Gilles-Sweet Elementary School,043976,00029223,Fairview Park,Cuyahoga,,N,,N,,,9/1/2016,9,2016,690,,154,52,,1791,377,1828,,740,157,414,,,18.5,18.5,,,,,,,,,2168,117.189189189,897,48.486486486,OH@00029223@043976,390439700937,SY16-17,,206,0.298550725,Primary,Public,,,,,,,Elementary School,Public School
OH,773 Parkview Dr, Wooster, Ohio, 44691,Parkview Elementary School,045120,00029249,Wooster City Sd,Wayne,,N,,N,,,9/1/2016,9,2016,340,,151,17,,2425,288,1328,,1491,175,297,,,18.5,18.5,,,,,,,,,2713,146.648648649,1666,90.054054054,OH@00029249@045120,391003202031,SY16-17,,168,0.494117647,Primary,Public,,,,,,,Elementary School,Public School
OH,1490 Parkway Blvd, Alliance, Ohio, 44601,Parkway Elementary School,043497,00029256,Alliance City Sd,Stark,,Y,,N,,,9/1/2016,9,2016,350,,232,,,5089,0,473,,2981,0,277,,,18.5,18.5,,,,,,,,,5089,275.081081081,2981,161.135135135,OH@00029256@043497,390434900069,SY16-17,,232,0.914958648,Primary,Public,,,,,,,Elementary School,Public School
OH,400 Buckeye St, Rockford, Ohio, 45882,Parkway High School,048579,00029280,Parkway Local Sd,Mercer,,N,,N,,,9/1/2016,9,2016,1118,,268,92,,4086,1122,7852,,1351,95,223,,,18.5,18.5,,,,,,,,,5208,281.513513514,1446,78.162162162,OH@00029280@048579,390485703303,SY16-17,,360,0.322003578,High,Public,,,,,,,High School,Public School
OH,1152 Saint Marys Rd, Sidney, Ohio, 45365,Northwood Elementary School,044784,00029306,Sidney City Sd,Shelby,,N,,N,,,9/1/2016,9,2016,485,,272,37,,4797,685,1473,,2747,263,326,,,18.5,18.5,,,,,,,,,5482,296.324324324,3010,162.702702703,OH@00029306@044784,391000301636,SY16-17,,309,0.637113402,Primary,Public,,,,,,,Elementary School,Public School
OH,1791 Wilene Dr, Beavercreek, Ohio, 45432,Parkwood Elementary School,047241,00029322,Beavercreek City Sd,Greene,,N,,N,,,9/1/2016,9,2016,452,,98,17,,1314,228,2118,,368,9,137,,,18.5,18.5,,,,,,,,,1542,83.351351351,377,20.378378378,OH@00029322@047241,390472402816,SY16-17,,115,0.254424779,Primary,Public,,,,,,,Elementary School,Public School
OH,6285 W 54th St, Parma, Ohio, 44129,Parma High School,044636,00029330,Parma City Sd,Cuyahoga,,N,,N,,,9/1/2016,9,2016,1845,,798,181,,9535,1819,5158,,1789,198,207,,,18.5,18.5,,,,,,,,,11354,613.729729730,1987,107.405405405,OH@00029330@044636,390446301506,SY16-17,,979,0.530623306,High,Public,,,,,,,High School,Public School
OH,6800 Commonwealth Blvd, Parma Heights, Ohio, 44130,Parma Park Elementary School,044636,00029348,Parma City Sd,Cuyahoga,,N,,N,,,9/1/2016,9,2016,338,,139,40,,1944,542,1157,,973,239,316,,,18.5,18.5,,,,,,,,,2486,134.378378378,1212,65.513513514,OH@00029348@044636,390446301507,SY16-17,,179,0.529585799,Primary,Public,,,,,,,Elementary School,Public School
