Lunch Meals-Reduced,Lunch Meals-Free,Enrollment-Reduced,Enrollment-Free,Breakfast Meals-Reduced,Breakfast Meals-Free,Enrollment-Paid,Breakfast Meals-Free and Reduced,State-Physical,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Breakfast Meals-Paid,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School ID,School Name,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County,School Type-Original,School Level-Original,Claim Date,Enrollment-Total,Enrollment-Free and Reduced,Operating Days-Lunch Only,Lunch Meals-Free and Reduced,Lunch Meals-Paid,ISP
,,,,,,,53,MT,N,,N,,,1,2019,74,,21,,Grab And Go,,,,,,,MT,65,3.095238095,53,2.523809524,MT@1126@0861,,SY18-19,,13,0.147727273,High,Public,,,,GNG,,,0861,Absarokee Public Schools,1126,Absarokee High School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,High,1/1/2019,88,13,21,65,291,
,,,,,,,45,MT,N,,N,,,12,2018,62,,15,,Grab And Go,,,,,,,MT,51,3.4,45,3,MT@1126@0861,,SY18-19,,11,0.127906977,High,Public,,,,GNG,,,0861,Absarokee Public Schools,1126,Absarokee High School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,High,12/1/2018,86,11,15,51,237,
,,,,,,,46,MT,N,,N,,,11,2018,66,,19,,Grab And Go,,,,,,,MT,62,3.263157895,46,2.421052632,MT@1126@0861,,SY18-19,,11,0.127906977,High,Public,,,,GNG,,,0861,Absarokee Public Schools,1126,Absarokee High School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,High,11/1/2018,86,11,19,62,214,
,,,,,,,40,MT,N,,N,,,10,2018,59,,20,,Grab And Go,,,,,,,MT,58,2.9,40,2,MT@1126@0861,,SY18-19,,13,0.151162791,High,Public,,,,GNG,,,0861,Absarokee Public Schools,1126,Absarokee High School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,High,10/1/2018,86,13,20,58,246,
,,,,,,,24,MT,N,,N,,,9,2018,49,,19,,Grab And Go,,,,,,,MT,65,3.421052632,24,1.263157895,MT@1126@0861,,SY18-19,,12,0.137931034,High,Public,,,,GNG,,,0861,Absarokee Public Schools,1126,Absarokee High School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,High,9/1/2018,87,12,19,65,244,
,,,,,,,160,MT,N,,N,,,5,2019,289,,16,,Grab And Go,,,,,,,MT,193,12.0625,160,10,MT@1125@0861,300171000001,SY18-19,,19,0.228915663,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,5/1/2019,83,19,16,193,587,
,,,,,,,209,MT,N,,N,,,4,2019,422,,20,,Grab And Go,,,,,,,MT,281,14.05,209,10.45,MT@1125@0861,300171000001,SY18-19,,19,0.228915663,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,4/1/2019,83,19,20,281,818,
,,,,,,,215,MT,N,,N,,,3,2019,378,,20,,Grab And Go,,,,,,,MT,279,13.95,215,10.75,MT@1125@0861,300171000001,SY18-19,,19,0.228915663,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,3/1/2019,83,19,20,279,777,
,,,,,,,182,MT,N,,N,,,2,2019,383,,18,,Grab And Go,,,,,,,MT,238,13.222222222,182,10.111111111,MT@1125@0861,300171000001,SY18-19,,19,0.234567901,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,2/1/2019,81,19,18,238,704,
,,,,,,,204,MT,N,,N,,,1,2019,448,,21,,Grab And Go,,,,,,,MT,297,14.142857143,204,9.714285714,MT@1125@0861,300171000001,SY18-19,,18,0.216867470,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,1/1/2019,83,18,21,297,817,
,,,,,,,168,MT,N,,N,,,12,2018,320,,15,,Grab And Go,,,,,,,MT,231,15.4,168,11.2,MT@1125@0861,300171000001,SY18-19,,18,0.216867470,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,12/1/2018,83,18,15,231,642,
,,,,,,,214,MT,N,,N,,,11,2018,366,,19,,Grab And Go,,,,,,,MT,279,14.684210526,214,11.263157895,MT@1125@0861,300171000001,SY18-19,,18,0.219512195,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,11/1/2018,82,18,19,279,764,
,,,,,,,212,MT,N,,N,,,10,2018,388,,20,,Grab And Go,,,,,,,MT,300,15,212,10.6,MT@1125@0861,300171000001,SY18-19,,21,0.256097561,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,10/1/2018,82,21,20,300,779,
