School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
"Center for Academic Success, The #2",4191,4802,"Center for Academic Success, Inc.",,Cochise,,85607,,,,Charter School,N,,,,,,,,,,,,,19072,116,532,,17044,117,440,,167,167,167,,Cafeteria,,,,,,,AZ,19188,114.898203593,17161,102.760479042,AZ@4802@4191,040001600481,SY16-17,,,0.96,,Charter,,,,Cafeteria,,
"Center for Academic Success, The #3",4191,79039,"Center for Academic Success, Inc.",,Cochise,,85607,,,,Charter School,N,,,,,,,,,,,,,35942,651,344,,33202,574,289,,167,167,167,,Cafeteria,,,,,,,AZ,36593,219.119760479,33776,202.251497006,AZ@79039@4191,040001601942,SY16-17,,,0.98,,Charter,,,,Cafeteria,,
Center for Academic Success #4,4191,85876,"Center for Academic Success, Inc.",,Cochise,,85607,,,,Charter School,N,,,,,,,,,,,,,35337,1078,1120,,27553,761,829,,167,167,167,,Cafeteria,,,,,,,AZ,36415,218.053892216,28314,169.544910180,AZ@85876@4191,040001602442,SY16-17,,,0.97,,Charter,,,,Cafeteria,,
Center for Academic Success #5,4191,85877,"Center for Academic Success, Inc.",,Cochise,,85635,,,,Charter School,N,,,,,,,,,,,,,31420,5585,20650,,31312,5796,20534,,167,167,167,,Cafeteria,,,,,,,AZ,37005,221.586826347,37108,222.203592814,AZ@85877@4191,040001602443,SY16-17,,,0.65,,Charter,,,,Cafeteria,,
El Capitan Public School,4370,5567,Colorado City Unified District,,Mohave,,86021,,,,Regular School,,,,,,,,,,,,,,26425,1315,1541,,,,,,167,167,167,,,,,,,,,AZ,27740,166.107784431,,,AZ@5567@4370,040002101276,SY16-17,,,0.86,,Public,,,,,,
Cottonwood Elementary,4370,92635,Colorado City Unified District,,Mohave,,86021,,,,Regular School,,,,,,,,,,,,,,15612,814,927,,,,,,167,167,167,,,,,,,,,AZ,16426,98.359281437,,,AZ@92635@4370,040002103446,SY16-17,,,0.82,,Public,,,,,,
Vernon Elementary School,4162,4744,Vernon Elementary District,,Apache,,85940,,,,Regular School,Y,,N,N,,,,,,,,,,8503,0,1709,,5016,0,1008,,167,167,167,,Cafeteria,,,,,,,AZ,8503,50.916167665,5016,30.035928144,AZ@4744@4162,040002201354,SY16-17,,,0.82,,Public,,,,Cafeteria,,
Pinon Elementary School,4390,5611,Pinon Unified District,,Navajo,,86510,,,,Regular School,Y,,N,N,,,,,,,,,,88692,0,0,,74304,0,0,,167,167,167,,BIC,,,,,,,AZ,88692,531.089820359,74304,444.934131737,AZ@5611@4390,040002301352,SY16-17,,,0.99,,Public,,,,BIC,,
Pinon Accelerated Middle School,4390,5612,Pinon Unified District,,Navajo,,86510,,,,Regular School,Y,,N,N,,,,,,,,,,41694,0,0,,17077,0,0,,167,167,167,,Cafeteria,,,,,,,AZ,41694,249.664670659,17077,102.257485030,AZ@5612@4390,040002301355,SY16-17,,,0.98,,Public,,,,Cafeteria,,
Pinon High School,4390,5613,Pinon Unified District,,Navajo,,86510,,,,Regular School,Y,,N,N,,,,,,,,,,38411,0,0,,19252,0,0,,167,167,167,,Cafeteria,,,,,,,AZ,38411,230.005988024,19252,115.281437126,AZ@5613@4390,040002301524,SY16-17,,,0.99,,Public,,,,Cafeteria,,
Capps Elementary School,4392,5623,Heber-Overgaard Unified District,,Navajo,,85928,,,,Regular School,N,,,,,,,,,,,,,7011,246,954,,4491,155,152,,167,167,167,,Cafeteria,,,,,,,AZ,7257,43.455089820,4646,27.820359281,AZ@5623@4392,040002601389,SY16-17,,,0.57,,Public,,,,Cafeteria,,
Mogollon High School,4392,5625,Heber-Overgaard Unified District,,Navajo,,85928,,,,Regular School,N,,,,,,,,,,,,,6842,1224,1641,,3019,58,164,,167,167,167,,Cafeteria,,,,,,,AZ,8066,48.299401198,3077,18.425149701,AZ@5625@4392,040002601460,SY16-17,,,0.47,,Public,,,,Cafeteria,,
Mountain Meadows Primary,4392,6053,Heber-Overgaard Unified District,,Navajo,,85933,,,,Regular School,N,,,,,,,,,,,,,7887,904,2169,,5174,60,275,,167,167,167,,Cafeteria,,,,,,,AZ,8791,52.640718563,5234,31.341317365,AZ@6053@4392,040002601767,SY16-17,,,0.62,,Public,,,,Cafeteria,,
"Ridgeline Academy, Inc.",4301,5467,"Ridgeline Academy, Inc.",,Maricopa,,85085,,,,Charter School,N,,,,,,,,,,,,,9201,1332,8799,,4773,806,330,,167,167,167,,Cafeteria,,,,,,,AZ,10533,63.071856287,5579,33.407185629,AZ@5467@4301,040003100689,SY16-17,,,0.18,,Charter,,,,Cafeteria,,
Mesa Arts Academy,4305,5470,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,,Maricopa,,85210,,,,Charter School,N,,,,,,,,,,,,,27034,2960,3798,,7629,832,915,,167,167,167,,Cafeteria,,,,,,,AZ,29994,179.604790419,8461,50.664670659,AZ@5470@4305,040003300703,SY16-17,,,0.85,,Charter,,,,Cafeteria,,
