School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,ISP,NCES ID,State-Physical,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,District ID,District Name,School ID,School Name,Claim Date,Enrollment-Free,Enrollment-Reduced,Enrollment-Total,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County
SY18-19,,354,0.909423127,Primary,,,,,,,,,210171000333,,Primary,,Y,,N,,,10,2018,,,,2154,0,215,,,13,13,,,,,,,,,KY,3484,268,2154,165.692307692,KY@1000@10055,10055,Eminence Board of Education,1000,Eminence Elementary School,10/1/2018,354,0,389,3484,0,347,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,357,0.909336212,Primary,,,,,,,,,210171000333,,Primary,,Y,,N,,,9,2018,,,,3336,0,333,,,19,19,,,,,,,,,KY,5055,266.052631579,3336,175.578947368,KY@1000@10055,10055,Eminence Board of Education,1000,Eminence Elementary School,9/1/2018,357,0,393,5055,0,504,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,361,0.909362736,Primary,,,,,,,,,210171000333,,Primary,,Y,,N,,,8,2018,,,,3078,0,307,,,21,21,,,,,,,,,KY,4866,231.714285714,3078,146.571428571,KY@1000@10055,10055,Eminence Board of Education,1000,Eminence Elementary School,8/1/2018,361,0,397,4866,0,485,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,298,0.776757725,Other,,,,,,,,,,,Other,,Y,,N,,,5,2019,,,,1313,0,377,,,18,18,,,,,,,,,KY,3469,192.722222222,1313,72.944444444,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,5/1/2019,298,0,383,3469,0,997,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,298,0.776855797,Other,,,,,,,,,,,Other,,Y,,N,,,4,2019,,,,1147,0,329,,,17,17,,,,,,,,,KY,3464,203.764705882,1147,67.470588235,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,4/1/2019,298,0,384,3464,0,995,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,296,0.776787703,Other,,,,,,,,,,,Other,,Y,,N,,,3,2019,,,,1283,0,369,,,18,18,,,,,,,,,KY,3487,193.722222222,1283,71.277777778,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,3/1/2019,296,0,381,3487,0,1002,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,297,0.776866284,Other,,,,,,,,,,,Other,,Y,,N,,,2,2019,,,,1303,0,375,,,19,19,,,,,,,,,KY,3788,199.368421053,1303,68.578947368,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,2/1/2019,297,0,382,3788,0,1088,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,298,0.776828110,Other,,,,,,,,,,,Other,,Y,,N,,,1,2019,,,,1079,0,310,,,18,18,,,,,,,,,KY,3272,181.777777778,1079,59.944444444,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,1/1/2019,298,0,383,3272,0,940,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,298,0.776687598,Other,,,,,,,,,,,Other,,Y,,N,,,12,2018,,,,710,0,204,,,10,10,,,,,,,,,KY,1979,197.9,710,71,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,12/1/2018,298,0,384,1979,0,569,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,301,0.776709178,Other,,,,,,,,,,,Other,,Y,,N,,,11,2018,,,,1209,0,348,,,19,19,,,,,,,,,KY,3715,195.526315789,1209,63.631578947,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,11/1/2018,301,0,387,3715,0,1068,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
