Unique ID,District Name,School Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,School ID
DE@SD49@GD324,Caesar Rodney,Welch Elem,,,,,,,,,,,,,Y,10/1/2016,10,2016,453,,42,56,,,,,1496,,,,468,,20,20,,,,,,,,,DE,1496,74.8,468,23.4,,SY16-17,,98,,,,,,,,,,GD324,SD49
DE@SD50@GD325,Campus Community,Campus Community School,,,,,,,,,,,,,,10/1/2016,10,2016,435,,231,40,,,,,3386,,,,1733,,18,18,,,,,,,,,DE,3386,188.111111111,1733,96.277777778,,SY16-17,,271,,,,,,,,,,GD325,SD50
DE@SD52@GD326,Cape Henlopen,Cape Henlopen High School,,,,,,,,,,,,,,10/1/2016,10,2016,1423,,544,47,,,,,7894,,,,2480,,18,18,,GNG,,,,,,,DE,7894,438.555555556,2480,137.777777778,,SY16-17,,591,,,,,,,GNG,,,GD326,SD52
DE@SD54@GD326,Cape Henlopen,Lewes School,,,,,,,,,,,,,,10/1/2016,10,2016,401,,172,16,,,,,1905,,,,1897,,18,17,,GNG,,,,,,,DE,1905,112.058823529,1897,105.388888889,,SY16-17,,188,,,,,,,GNG,,,GD326,SD54
DE@SD51@GD326,Cape Henlopen,Beacon Middle School,,,,,,,,,,,,,,10/1/2016,10,2016,634,,212,21,,,,,3559,,,,813,,17,18,,,,,,,,,DE,3559,197.722222222,813,47.823529412,,SY16-17,,233,,,,,,,,,,GD326,SD51
DE@SD58@GD326,Cape Henlopen,Richard Shields Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,603,,202,15,,,,,3059,,,,1790,,18,17,,,,,,,,,DE,3059,179.941176471,1790,99.444444444,,SY16-17,,217,,,,,,,,,,GD326,SD58
DE@SD55@GD326,Cape Henlopen,Mariner Middle School,,,,,,,,,Y,,,,,10/1/2016,10,2016,604,,471,0,,,,,8038,,,,3018,,20,19,,,,,,,,,DE,8038,423.052631579,3018,150.9,,SY16-17,,471,,,,,,,,,,GD326,SD55
DE@SD56@GD326,Cape Henlopen,Milton Elementary School,,,,,,,,,Y,,,,,10/1/2016,10,2016,570,,447,0,,,,,6800,,,,4988,,20,19,,BIC,,,,,,,DE,6800,357.894736842,4988,249.4,,SY16-17,,447,,,,,,,BIC,,,GD326,SD56
DE@SD53@GD326,Cape Henlopen,H.O. Brittingham Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,567,,445,0,,,,,7684,,,,6465,,20,20,,BIC,,,,,,,DE,7684,384.2,6465,323.25,,SY16-17,,445,,,,,,,BIC,,,GD326,SD53
DE@SD57@GD326,Cape Henlopen,Rehoboth Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,621,,251,19,,,,,4128,,,,2368,,19,19,,,,,,,,,DE,4128,217.263157895,2368,124.631578947,,SY16-17,,270,,,,,,,,,,GD326,SD57
DE@SD59@GD327,Capital,Booker T Washington,,,,,,,,,Y,,,,,10/1/2016,10,2016,355,,303,0,,,,,5016,,,,3468,,21,21,,,,,,,,,DE,5016,238.857142857,3468,165.142857143,,SY16-17,,303,,,,,,,,,,GD327,SD59
DE@SD60@GD327,Capital,Central Middle School,,,,,,,,,Y,,,,,10/1/2016,10,2016,989,,821,0,,,,,14316,,,,7706,,21,21,,GNG,,,,,,,DE,14316,681.714285714,7706,366.952380952,,SY16-17,,821,,,,,,,GNG,,,GD327,SD60
DE@SD61@GD327,Capital,Dover High School,,,,,,,,,Y,,,,,10/1/2016,10,2016,1897,,1313,0,,,,,19125,,,,7813,,21,21,,GNG,,,,,,,DE,19125,910.714285714,7813,372.047619048,,SY16-17,,1313,,,,,,,GNG,,,GD327,SD61
DE@SD62@GD327,Capital,East Dover Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,366,,365,0,,,,,5481,,,,5369,,21,21,,BIC,,,,,,,DE,5481,261,5369,255.666666667,,SY16-17,,365,,,,,,,BIC,,,GD327,SD62
DE@SD63@GD327,Capital,Fairview elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,310,,253,0,,,,,3981,,,,2418,,21,21,,,,,,,,,DE,3981,189.571428571,2418,115.142857143,,SY16-17,,253,,,,,,,,,,GD327,SD63
DE@SD64@GD327,Capital,Hartly Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,371,,303,0,,,,,4133,,,,2159,,21,21,,GNG,,,,,,,DE,4133,196.809523810,2159,102.809523810,,SY16-17,,303,,,,,,,GNG,,,GD327,SD64
DE@SD67@GD327,Capital,North Dover Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,389,,323,0,,,,,5395,,,,4025,,21,21,,BIC,,,,,,,DE,5395,256.904761905,4025,191.666666667,,SY16-17,,323,,,,,,,BIC,,,GD327,SD67
