BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,District ID,District Name,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced
,,,,,,,,,780,,,0502-000,BERGMAN,AR@000@0502-000,454.725714286,79577,524.914285714,91860,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,615,165,63552,74031,16025,17829,,,,
,,,,,,,,,1459,,,0801-000,BERRYVILLE,AR@000@0801-000,578.578947368,109930,969.247368421,184157,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,190,190,1197,262,94284,152952,15646,31205,,,,
,,,,,,,,,665,,,3001-000,BISMARCK,AR@000@3001-000,193.988505747,33754,482.126436782,83890,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,174,174,543,122,28608,69367,5146,14523,,,,
,,,,,,,,,444,,,2901-000,BLEVINS,AR@000@2901-000,193.098265896,33406,289.627906977,49816,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,173,172,381,63,29298,43472,4108,6344,,,,
,,,,,,,,,2150,,,4702-000,BLYTHEVILLE,AR@000@4702-000,983.762711864,174126,1642.474576271,290718,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,2150,0,174126,290718,0,0,,,,
,,,,,,,,,989,,,4201-000,BOONEVILLE,AR@000@4201-000,383.735955056,68305,676.533707865,120423,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,989,0,68305,120423,0,0,,,,
,,,,,,,,,383,,,7303-000,BRADFORD,AR@000@7303-000,183.914285714,32185,315.063218391,54821,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,174,383,0,32185,54821,0,0,,,,
,,,,,,,,,473,,,4801-000,BRINKLEY,AR@000@4801-000,264.436781609,46012,370.768786127,64143,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,174,173,473,0,46012,64143,0,0,,,,
,,,,,,,,,1254,,,1603-000,BROOKLAND,AR@000@1603-000,432.52,75691,597.902857143,104633,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,927,327,61400,82681,14291,21952,,,,
,,,,,,,,,7118,,,6303-000,BRYANT,AR@000@6303-000,1275.286516854,227001,2532.769662921,450833,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,3934,3184,194466,378536,32535,72297,,,,
,,,,,,,,,588,,,1605-000,BUFFALO ISLAND CENTR,AR@000@1605-000,203.715,40743,289.825,57965,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,200,200,457,131,34023,47853,6720,10112,,,,
,,,,,,,,,4669,,,4304-000,CABOT,AR@000@4304-000,1590.881355932,281586,3177.265536723,562376,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,3654,1015,230401,446286,51185,116090,,,,
,,,,,,,,,517,,,4901-000,CADDO HILLS,AR@000@4901-000,215.192090395,38089,367.564971751,65059,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,431,86,33350,55533,4739,9526,,,,
,,,,,,,,,323,,,3301-000,CALICO ROCK,AR@000@3301-000,107.921348315,19210,207.039325843,36853,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,261,62,16924,31256,2286,5597,,,,
,,,,,,,,,2226,,,5204-000,CAMDEN-FAIRVIEW,AR@000@5204-000,934.915730337,166415,1509.033707865,268608,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,2015,211,156729,248923,9686,19685,,,,
,,,,,,,,,455,,,4303-000,CARLISLE,AR@000@4303-000,169.566473988,29335,316.635838150,54778,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,173,173,383,72,26319,47664,3016,7114,,,,
,,,,,,,,,1066,,,6802-000,CAVE CITY,AR@000@6802-000,518.937142857,90814,714.102857143,124968,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,859,207,73836,100475,16978,24493,,,,
,,,,,,,,,875,,,3212-000,CEDAR RIDGE,AR@000@3212-000,216.370786517,38514,335.617977528,59740,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,764,111,38514,59740,0,0,,,,
,,,,,,,,,594,,,1702-000,CEDARVILLE,AR@000@1702-000,272.477528090,48501,427.050561798,76015,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,460,134,39185,60131,9316,15884,,,,
,,,,,,,,,824,,,5502-000,CENTERPOINT,AR@000@5502-000,333.039548023,58948,512.954802260,90793,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,640,184,47321,73273,11627,17520,,,,
,,,,,,,,,510,,,2402-000,CHARLESTON,AR@000@2402-000,200.865168539,35754,314.561797753,55992,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,411,99,32486,46964,3268,9028,,,,
,,,,,,,,,136,,,6044-000,CITY OF FIRE COM DEV,AR@000@6044-000,49.379120879,8987,77.450549451,14096,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,182,182,130,6,8895,13972,92,124,,,,
,,,,,,,,,472,,,4802-000,CLARENDON,AR@000@4802-000,177.52,31066,349.737142857,61204,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,472,0,31066,61204,0,0,,,,
,,,,,,,,,2007,,,3601-000,CLARKSVILLE,AR@000@3601-000,680.230337079,121081,1269.876404494,226038,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,1688,319,109455,197846,11626,28192,,,,
,,,,,,,,,610,,,1305-000,CLEVELAND COUNTY,AR@000@1305-000,272.683615819,48265,404.570621469,71609,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,559,51,46584,67409,1681,4200,,,,
,,,,,,,,,1498,,,7102-000,CLINTON,AR@000@7102-000,306.414772727,53929,701.517045455,123467,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,1498,0,53929,123467,0,0,,,,
,,,,,,,,,407,,,6049-000,COLLEGIATE CHOICES,AR@000@6049-000,196.520408163,38518,260.770408163,51111,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,196,196,407,0,38518,51111,0,0,,,,
,,,,,,,,,368,,,1201-000,CONCORD,AR@000@1201-000,143.404040404,28394,191.974747475,38011,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,198,198,290,78,23677,31345,4717,6666,,,,
,,,,,,,,,5868,,,2301-000,CONWAY,AR@000@2301-000,2563.101694915,453669,4215.225988701,746095,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,4957,911,404280,643193,49389,102902,,,,
,,,,,,,,,732,,,1101-000,CORNING,AR@000@1101-000,311.612716763,53909,443.988439306,76810,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,173,173,572,160,44405,61552,9504,15258,,,,
,,,,,,,,,807,,,5707-000,COSSATOT RIVER,AR@000@5707-000,606.913793103,105603,671.637931034,116865,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,174,174,658,149,86402,95603,19201,21262,,,,
