ISP,State-Reporting,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,District ID,District Name,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced
,AR,,,,,,,,,,,,,,785,,,AR@000@0502-000,466.920454545,82178,541.465909091,95298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0502-000,BERGMAN SD,176,176,644,141,69598,79851,12580,15447
,AR,,,,,,,,,,,,,,1373,,,AR@000@0801-000,601.079096045,106391,1068.316384181,189092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,0801-000,BERRYVILLE SD,177,177,1113,260,91963,156985,14428,32107
,AR,,,,,,,,,,,,,,748,,,AR@000@3001-000,204.679775281,36433,491.174157303,87429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,3001-000,BISMARCK SD,178,178,589,159,31539,70667,4894,16762
,AR,,,,,,,,,,,,,,462,,,AR@000@2901-000,185.220338983,32784,297.084745763,52584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,2901-000,BLEVINS SD,177,177,396,66,27898,45008,4886,7576
,AR,,,,,,,,,,,,,,2097,,,AR@000@4702-000,1164.404624277,201442,1542.520231214,266856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4702-000,BLYTHEVILLE SD,173,173,2097,0,201442,266856,0,0
,AR,,,,,,,,,,,,,,924,,,AR@000@4201-000,347.730337079,61896,679.589887640,120967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4201-000,BOONEVILLE SD,178,178,924,0,61896,120967,0,0
,AR,,,,,,,,,,,,,,383,,,AR@000@7303-000,187.267045455,32959,302.409090909,53224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,7303-000,BRADFORD SD,176,176,383,0,32959,53224,0,0
,AR,,,,,,,,,,,,,,438,,,AR@000@4801-000,269.893258427,48041,361,64258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4801-000,BRINKLEY SD,178,178,438,0,48041,64258,0,0
,AR,,,,,,,,,,,,,,1174,,,AR@000@1603-000,424.573033708,75574,586.629213483,104420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1603-000,BROOKLAND SD,178,178,893,281,61537,82847,14037,21573
,AR,,,,,,,,,,,,,,4768,,,AR@000@6303-000,1312.214689266,232262,2688.384180791,475844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,6303-000,BRYANT SD,177,177,3922,846,199006,398793,33256,77051
,AR,,,,,,,,,,,,,,579,,,AR@000@1605-000,160.039800995,32168,273.611940299,54996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,1605-000,BUFFALO ISLAND CENTRAL SD,201,201,459,120,27226,44284,4942,10712
,AR,,,,,,,,,,,,,,4600,,,AR@000@4304-000,1609.779005525,291370,3173.834254144,574464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4304-000,CABOT SD,181,181,3505,1095,231534,446640,59836,127824
,AR,,,,,,,,,,,,,,511,,,AR@000@4901-000,239.235955056,42584,360.915730337,64243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY18-19,4901-000,CADDO HILLS SD,178,178,424,87,35950,53842,6634,10401
