Unique ID,School ID,District ID,School Name,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
ME@720@718,720,718,Penobscot Valley High School,RSU 31/MSAD 31,ME,Penobscot,Howland,04448,23 Cross Street Howland,,9-12,Public,Y,,,,,10/1/2017,10,2017,156,,103,0,,1482,0,771,,1573,0,817,,,21,21,,,,,,,,,ME,1482,70.571428571,1573,74.904761905,231125000432,SY17-18,,103,0.657789614,High,Public,,,,,,
ME@725@722,725,722,Ashland District School,RSU 32/MSAD 32,ME,Aroostook,Ashland,04732,PO Box 369 Ashland,,PR-12,Public,,,,,,10/1/2017,10,2017,292,,107,26,,1532,379,1684,,383,64,221,,,20,20,,,,,,,,,ME,1911,95.55,447,22.35,231128023125,SY17-18,,133,,Other,Public,,,,,,
ME@727@726,727,726,Dr Levesque Elementary School,RSU 33/MSAD 33,ME,Aroostook,Frenchville,04745,PO Box 489 443 US Rte 1 Frenchville,,PR-6,Public,,,,,,10/1/2017,10,2017,125,,47,11,,558,149,663,,355,87,266,,,14,14,,,,,,,,,ME,707,50.5,442,31.571428571,231131000437,SY17-18,,58,,Primary,Public,,,,,,
ME@729@726,729,726,Wisdom Middle High School,RSU 33/MSAD 33,ME,Aroostook,Agatha,04772,PO Box 69 Saint Agatha,,7-12,Public,,,,,,10/1/2017,10,2017,104,,34,5,,459,82,687,,244,59,327,,,16,16,,,,,,,,,ME,541,33.8125,303,18.9375,231131000439,SY17-18,,39,,Middle/High,Public,,,,,,
ME@8@1466,8,1466,Alton Elementary School,RSU 34,ME,Penobscot,Alton,04468,22 Argyle Rd Alton,,PR-4,Public,,,,,,10/1/2017,10,2017,46,,24,7,,300,98,160,,249,107,87,,,20,20,,,,,,,,,ME,398,19.9,356,17.8,231478201041,SY17-18,,31,,Primary,Public,,,,,,
ME@331@1466,331,1466,Leonard Middle School,RSU 34,ME,Penobscot,Town,04468,156 Oak Street Old Town,,6-8,Public,,,,,,10/1/2017,10,2017,311,,129,29,,1424,222,719,,1158,152,527,,,20,20,,,,,,,,,ME,1646,82.3,1310,65.5,231478200246,SY17-18,,158,,Middle,Public,,,,,,
ME@333@1466,333,1466,Old Town Elementary School,RSU 34,ME,Penobscot,Town,04468,576 Stillwater Avenue Old Town,,PR-5,Public,,,,,,10/1/2017,10,2017,578,,278,49,,3713,644,1990,,2714,441,816,,,20,20,,,,,,,,,ME,4357,217.85,3155,157.75,231478200699,SY17-18,,327,,Primary,Public,,,,,,
ME@332@1466,332,1466,Old Town High School,RSU 34,ME,Penobscot,Town,04468,203 Stillwater Avenue Old Town,,9-12,Public,,,,,,10/1/2017,10,2017,518,,198,50,,1831,437,768,,1070,177,151,,,20,20,,,,,,,,,ME,2268,113.4,1247,62.35,231478200248,SY17-18,,248,,High,Public,,,,,,
ME@76@1466,76,1466,Viola Rand School,RSU 34,ME,Penobscot,Bradley,04411,55 Highland Avenue Bradley,,PR-2,Public,,,,,,10/1/2017,10,2017,47,,26,3,,332,28,127,,149,32,58,,,20,20,,,,,,,,,ME,360,18,181,9.05,231478200082,SY17-18,,29,,Primary,Public,,,,,,
ME@746@743,746,743,Central School,RSU 35/MSAD 35,ME,York,Berwick,03908,197 Main Street South Berwick,,PR-3,Public,,,,,,10/1/2017,10,2017,356,,58,10,,605,111,1463,,146,14,67,,,19,19,,,,,,,,,ME,716,37.684210526,160,8.421052632,231137000451,SY17-18,,68,,Primary,Public,,,,,,
ME@744@743,744,743,Eliot Elementary School,RSU 35/MSAD 35,ME,York,Eliot,03903,1298 State Road Eliot,,PR-3,Public,,,,,,10/1/2017,10,2017,344,,39,18,,437,204,1498,,117,43,108,,,18,18,,,,,,,,,ME,641,35.611111111,160,8.888888889,231137000452,SY17-18,,57,,Primary,Public,,,,,,
ME@747@743,747,743,Marshwood Great Works School,RSU 35/MSAD 35,ME,York,Berwick,03908,49 Academy Street South Berwick,,4-5,Public,,,,,,10/1/2017,10,2017,299,,46,12,,571,140,1672,,126,52,88,,,19,19,,,,,,,,,ME,711,37.421052632,178,9.368421053,231137000454,SY17-18,,58,,Primary,Public,,,,,,
