State-Physical,School Name,School ID,District Name,District ID,County,Claim Date,Unique ID,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Street Address-Line 1,City,Zip Code,ISP
,Lyman Moore Middle School,377,Portland Public Schools,364,Cumberland,12/1/2018,ME@377@364,,6-8,Public,,,,,,12,2018,458,,195,35,,,,,,,,,,,,,ME,2565,171,3157,210.466666667,230993000278,SY18-19,,230,,Middle,Public,,,,,,,2233,332,1012,15,2698,459,2394,15,171 Auburn ST,Portland,4103,0.331868132
,Longfellow SchoolPortland,370,Portland Public Schools,364,Cumberland,12/1/2018,ME@370@364,,KG-5,Public,,,,,,12,2018,328,,48,9,,,,,,,,,,,,,ME,451,30.066666667,182,12.133333333,,SY18-19,,57,,Primary,Public,,,,,,,371,80,925,15,134,48,51,15,432 Stevens AV,Portland,4103,0.095092025
,Lincoln Middle School,376,Portland Public Schools,364,Cumberland,12/1/2018,ME@376@364,,6-8,Public,,,,,,12,2018,531,,203,27,,,,,,,,,,,,,ME,2203,146.866666667,1493,99.533333333,230993000275,SY18-19,,230,,Middle,Public,,,,,,,1991,212,935,15,1329,164,1734,15,522 Stevens AV,Portland,4103,0.287054409
,King Middle School,375,Portland Public Schools,364,Cumberland,12/1/2018,ME@375@364,,6-8,Public,,,,,,12,2018,495,,250,16,,,,,,,,,,,,,ME,3151,210.066666667,1421,94.733333333,230993000274,SY18-19,,266,,Middle,Public,,,,,,,2957,194,1181,15,1342,79,371,15,92 Deering AV,Portland,4102,0.298597194
,Howard C Reiche Community Sch,380,Portland Public Schools,364,Cumberland,12/1/2018,ME@380@364,,PK-5,Public,Y,,,,,12,2018,448,,448,0,,,,,,,,,,,,,ME,4329,288.6,3675,245,230993000273,SY18-19,,448,1,Primary,Public,,,,,,,4329,0,0,15,3675,0,0,15,166 Brackett ST,Portland,4102,0.390350877
,Harrison Lyseth Elem School,373,Portland Public Schools,364,Cumberland,12/1/2018,ME@373@364,,PK-5,Public,,,,,,12,2018,515,,155,22,,,,,,,,,,,,,ME,1837,122.466666667,854,56.933333333,230993000272,SY18-19,,177,,Primary,Public,,,,,,,1605,232,1525,15,782,72,342,15,175 Auburn ST,Portland,4103,0.241779497
,East End Community School,385,Portland Public Schools,364,Cumberland,12/1/2018,ME@385@364,,PK-5,Public,Y,,,,,12,2018,401,,401,0,,,,,,,,,,,,,ME,5207,347.133333333,4920,328,230993000279,SY18-19,,401,1,Primary,Public,,,,,,,5207,0,0,15,4920,0,0,15,195 North ST,Portland,4101,0.477832512
,Deering High School,379,Portland Public Schools,364,Cumberland,12/1/2018,ME@379@364,,9-12,Public,,,,,,12,2018,942,,436,43,,,,,,,,,,,,,ME,3977,265.133333333,3413,227.533333333,230993000269,SY18-19,,479,,High,Public,,,,,,,3641,336,901,15,3160,253,1161,15,370 Stevens Avenue,Portland,4103,0.340587595
,Cliff Island School,367,Portland Public Schools,364,Cumberland,12/1/2018,ME@367@364,,KG-5,Public,,,,,,12,2018,2,,0,0,,,,,,,,,,,,,ME,0,,0,,230993000267,SY18-19,,0,,Primary,Public,,,,,,,0,0,0,0,0,0,0,0,PO Box 8 Cliff,Island,4019,0
,Casco Bay High School,384,Portland Public Schools,364,Cumberland,12/1/2018,ME@384@364,,9-12,Public,,,,,,12,2018,391,,142,18,,,,,,,,,,,,,ME,1201,80.066666667,494,32.933333333,230993000603,SY18-19,,160,,High,Public,,,,,,,1073,128,519,15,427,67,53,15,196 Allen Avenue,Portland,4103,0.240310078
