State-Physical,School Name,School ID,District Name,District ID,County,Claim Date,Unique ID,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Street Address-Line 1,City,Zip Code,ISP
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@256@250,,PK-6,Public,Y,,,,,12,2018,705,,699,0,,,,,,,,,,,,,ME,7596,506.4,4473,298.2,230732000196,SY18-19,,699,0.991515468,Primary,Public,,,,,,,7596,0,65,15,4473,0,38,15,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@260@250,,PK-6,Public,Y,,,,,12,2018,677,,671,0,,,,,,,,,,,,,ME,7964,530.933333333,4333,288.866666667,,SY18-19,,671,0.991533865,Primary,Public,,,,,,,7964,0,68,15,4333,0,37,15,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@254@250,,PK-6,Public,Y,,,,,12,2018,713,,707,0,,,,,,,,,,,,,ME,9159,610.6,6761,450.733333333,230732000193,SY18-19,,707,0.991448365,Primary,Public,,,,,,,9159,0,79,15,6761,0,58,15,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,12/1/2018,ME@SD403@250,,,,Y,,,,,12,2018,285,,283,0,,,,,,,,,,,,,ME,3401,226.733333333,1896,126.4,230732000192,SY18-19,,283,0.991545190,,,,,,,,,3401,0,29,15,1896,0,16,15,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@257@250,,7-8,Public,Y,,,,,12,2018,773,,766,0,,,,,,,,,,,,,ME,8897,593.133333333,3229,215.266666667,230732000191,SY18-19,,766,0.991530146,Middle,Public,,,,,,,8897,0,76,15,3229,0,28,15,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@255@250,,9-12,Public,Y,,,,,12,2018,1466,,1454,0,,,,,,,,,,,,,ME,14317,954.466666667,5988,399.2,230732000190,SY18-19,,1454,0.991481994,High,Public,,,,,,,14317,0,123,15,5988,0,51,15,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,12/1/2018,ME@SD405@250,,,,Y,,,,,12,2018,380,,377,0,,,,,,,,,,,,,ME,5145,343,4199,279.933333333,230732000194,SY18-19,,377,0.991520524,,,,,,,,,5145,0,44,15,4199,0,36,15,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,12/1/2018,ME@251@250,,PK-6,Public,Y,,,,,12,2018,444,,440,0,,,,,,,,,,,,,ME,5383,358.866666667,3040,202.666666667,230732000187,SY18-19,,440,0.991526985,Primary,Public,,,,,,,5383,0,46,15,3040,0,26,15,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@256@250,,PK-6,Public,Y,,,,,11,2018,705,,699,0,,,,,,,,,,,,,ME,7587,505.8,5249,349.933333333,230732000196,SY18-19,,699,0.991505489,Primary,Public,,,,,,,7587,0,65,15,5249,0,45,15,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@260@250,,PK-6,Public,Y,,,,,11,2018,677,,671,0,,,,,,,,,,,,,ME,8125,541.666666667,5292,352.8,,SY18-19,,671,0.991458206,Primary,Public,,,,,,,8125,0,70,15,5292,0,45,15,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@254@250,,PK-6,Public,Y,,,,,11,2018,713,,707,0,,,,,,,,,,,,,ME,8916,594.4,7451,496.733333333,230732000193,SY18-19,,707,0.991548043,Primary,Public,,,,,,,8916,0,76,15,7451,0,64,15,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,11/1/2018,ME@SD403@250,,,,Y,,,,,11,2018,285,,283,0,,,,,,,,,,,,,ME,3490,232.666666667,2138,142.533333333,230732000192,SY18-19,,283,0.991477273,,,,,,,,,3490,0,30,15,2138,0,18,15,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@257@250,,7-8,Public,Y,,,,,11,2018,773,,766,0,,,,,,,,,,,,,ME,9042,602.8,3940,262.666666667,230732000191,SY18-19,,766,0.991447368,Middle,Public,,,,,,,9042,0,78,15,3940,0,34,15,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@255@250,,9-12,Public,Y,,,,,11,2018,1466,,1454,0,,,,,,,,,,,,,ME,14664,977.6,6930,462,230732000190,SY18-19,,1454,0.991480730,High,Public,,,,,,,14664,0,126,15,6930,0,59,15,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,11/1/2018,ME@SD405@250,,,,Y,,,,,11,2018,380,,377,0,,,,,,,,,,,,,ME,4881,325.4,4546,303.066666667,230732000194,SY18-19,,377,0.991468617,,,,,,,,,4881,0,42,15,4546,0,39,15,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,11/1/2018,ME@251@250,,PK-6,Public,Y,,,,,11,2018,444,,440,0,,,,,,,,,,,,,ME,5498,366.533333333,3609,240.6,230732000187,SY18-19,,440,0.991523895,Primary,Public,,,,,,,5498,0,47,15,3609,0,31,15,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,10/1/2018,ME@256@250,,PK-6,Public,Y,,,,,10,2018,705,,699,0,,,,,,,,,,,,,ME,10501,500.047619048,7100,338.095238095,230732000196,SY18-19,,699,0.991502219,Primary,Public,,,,,,,10501,0,90,21,7100,0,61,21,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,10/1/2018,ME@260@250,,PK-6,Public,Y,,,,,10,2018,677,,671,0,,,,,,,,,,,,,ME,11102,528.666666667,7143,340.142857143,,SY18-19,,671,0.991515585,Primary,Public,,,,,,,11102,0,95,21,7143,0,61,21,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,10/1/2018,ME@254@250,,PK-6,Public,Y,,,,,10,2018,713,,707,0,,,,,,,,,,,,,ME,13421,639.095238095,11509,548.047619048,230732000193,SY18-19,,707,0.991504137,Primary,Public,,,,,,,13421,0,115,21,11509,0,99,21,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,10/1/2018,ME@SD403@250,,,,Y,,,,,10,2018,285,,283,0,,,,,,,,,,,,,ME,4860,231.428571429,3058,145.619047619,230732000192,SY18-19,,283,0.991432069,,,,,,,,,4860,0,42,21,3058,0,26,21,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,10/1/2018,ME@257@250,,7-8,Public,Y,,,,,10,2018,773,,766,0,,,,,,,,,,,,,ME,11888,566.095238095,5655,269.285714286,230732000191,SY18-19,,766,0.991492911,Middle,Public,,,,,,,11888,0,102,21,5655,0,48,21,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,10/1/2018,ME@255@250,,9-12,Public,Y,,,,,10,2018,1466,,1454,0,,,,,,,,,,,,,ME,20873,993.952380952,9883,470.619047619,230732000190,SY18-19,,1454,0.991497245,High,Public,,,,,,,20873,0,179,21,9883,0,85,21,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,10/1/2018,ME@SD405@250,,,,Y,,,,,10,2018,380,,377,0,,,,,,,,,,,,,ME,7354,350.190476190,6966,331.714285714,230732000194,SY18-19,,377,0.991506000,,,,,,,,,7354,0,63,21,6966,0,60,21,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,10/1/2018,ME@251@250,,PK-6,Public,Y,,,,,10,2018,444,,440,0,,,,,,,,,,,,,ME,7226,344.095238095,4877,232.238095238,230732000187,SY18-19,,440,0.991492865,Primary,Public,,,,,,,7226,0,62,21,4877,0,42,21,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,9/1/2018,ME@256@250,,PK-6,Public,Y,,,,,9,2018,705,,699,0,,,,,,,,,,,,,ME,9763,513.842105263,6926,364.526315789,230732000196,SY18-19,,699,0.991469483,Primary,Public,,,,,,,9763,0,84,19,6926,0,59,19,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,9/1/2018,ME@260@250,,PK-6,Public,Y,,,,,9,2018,677,,671,0,,,,,,,,,,,,,ME,10084,530.736842105,6322,332.736842105,,SY18-19,,671,0.991543756,Primary,Public,,,,,,,10084,0,86,19,6322,0,54,19,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,9/1/2018,ME@254@250,,PK-6,Public,Y,,,,,9,2018,713,,707,0,,,,,,,,,,,,,ME,11957,629.315789474,10280,541.052631579,230732000193,SY18-19,,707,0.991459370,Primary,Public,,,,,,,11957,0,103,19,10280,0,88,19,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,9/1/2018,ME@SD403@250,,,,Y,,,,,9,2018,285,,283,0,,,,,,,,,,,,,ME,4220,222.105263158,2671,140.578947368,230732000192,SY18-19,,283,0.991541353,,,,,,,,,4220,0,36,19,2671,0,23,19,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,9/1/2018,ME@257@250,,7-8,Public,Y,,,,,9,2018,773,,766,0,,,,,,,,,,,,,ME,11576,609.263157895,4103,215.947368421,230732000191,SY18-19,,766,0.991520343,Middle,Public,,,,,,,11576,0,99,19,4103,0,35,19,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,9/1/2018,ME@255@250,,9-12,Public,Y,,,,,9,2018,1466,,1454,0,,,,,,,,,,,,,ME,18595,978.684210526,7938,417.789473684,230732000190,SY18-19,,1454,0.991521809,High,Public,,,,,,,18595,0,159,19,7938,0,68,19,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,9/1/2018,ME@SD405@250,,,,Y,,,,,9,2018,380,,377,0,,,,,,,,,,,,,ME,6911,363.736842105,6600,347.368421053,230732000194,SY18-19,,377,0.991535151,,,,,,,,,6911,0,59,19,6600,0,57,19,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,9/1/2018,ME@251@250,,PK-6,Public,Y,,,,,9,2018,444,,440,0,,,,,,,,,,,,,ME,6843,360.157894737,4573,240.684210526,230732000187,SY18-19,,440,0.991451753,Primary,Public,,,,,,,6843,0,59,19,4573,0,39,19,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,8/1/2018,ME@256@250,,PK-6,Public,Y,,,,,8,2018,705,,699,0,,,,,,,,,,,,,ME,1217,405.666666667,771,257,230732000196,SY18-19,,699,0.991850041,Primary,Public,,,,,,,1217,0,10,3,771,0,7,3,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,8/1/2018,ME@260@250,,PK-6,Public,Y,,,,,8,2018,677,,671,0,,,,,,,,,,,,,ME,1262,420.666666667,556,185.333333333,,SY18-19,,671,0.991358995,Primary,Public,,,,,,,1262,0,11,3,556,0,5,3,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,8/1/2018,ME@254@250,,PK-6,Public,Y,,,,,8,2018,713,,707,0,,,,,,,,,,,,,ME,1414,471.333333333,1260,420,230732000193,SY18-19,,707,0.991584853,Primary,Public,,,,,,,1414,0,12,3,1260,0,11,3,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,8/1/2018,ME@SD403@250,,,,Y,,,,,8,2018,285,,283,0,,,,,,,,,,,,,ME,599,199.666666667,289,96.333333333,230732000192,SY18-19,,283,0.991721854,,,,,,,,,599,0,5,3,289,0,2,3,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,8/1/2018,ME@257@250,,7-8,Public,Y,,,,,8,2018,773,,766,0,,,,,,,,,,,,,ME,1872,624,563,187.666666667,230732000191,SY18-19,,766,0.991525424,Middle,Public,,,,,,,1872,0,16,3,563,0,5,3,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,8/1/2018,ME@255@250,,9-12,Public,Y,,,,,8,2018,1466,,1454,0,,,,,,,,,,,,,ME,2359,786.333333333,808,269.333333333,230732000190,SY18-19,,1454,0.991593106,High,Public,,,,,,,2359,0,20,3,808,0,7,3,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,8/1/2018,ME@SD405@250,,,,Y,,,,,8,2018,380,,377,0,,,,,,,,,,,,,ME,796,265.333333333,762,254,230732000194,SY18-19,,377,0.991282690,,,,,,,,,796,0,7,3,762,0,7,3,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,8/1/2018,ME@251@250,,PK-6,Public,Y,,,,,8,2018,444,,440,0,,,,,,,,,,,,,ME,858,286,483,161,230732000187,SY18-19,,440,0.991907514,Primary,Public,,,,,,,858,0,7,3,483,0,4,3,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,7/1/2018,ME@256@250,,PK-6,Public,Y,,,,,7,2018,705,,699,0,,,,,,,,,,,,,ME,0,,0,,230732000196,SY18-19,,699,,Primary,Public,,,,,,,0,0,0,0,0,0,0,0,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,7/1/2018,ME@260@250,,PK-6,Public,Y,,,,,7,2018,677,,671,0,,,,,,,,,,,,,ME,0,,0,,,SY18-19,,671,,Primary,Public,,,,,,,0,0,0,0,0,0,0,0,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,7/1/2018,ME@254@250,,PK-6,Public,Y,,,,,7,2018,713,,707,0,,,,,,,,,,,,,ME,0,,0,,230732000193,SY18-19,,707,,Primary,Public,,,,,,,0,0,0,0,0,0,0,0,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,7/1/2018,ME@SD403@250,,,,Y,,,,,7,2018,285,,283,0,,,,,,,,,,,,,ME,0,,0,,230732000192,SY18-19,,283,,,,,,,,,,0,0,0,0,0,0,0,0,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,7/1/2018,ME@257@250,,7-8,Public,Y,,,,,7,2018,773,,766,0,,,,,,,,,,,,,ME,0,,0,,230732000191,SY18-19,,766,,Middle,Public,,,,,,,0,0,0,0,0,0,0,0,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,7/1/2018,ME@255@250,,9-12,Public,Y,,,,,7,2018,1466,,1454,0,,,,,,,,,,,,,ME,0,,0,,230732000190,SY18-19,,1454,,High,Public,,,,,,,0,0,0,0,0,0,0,0,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,7/1/2018,ME@SD405@250,,,,Y,,,,,7,2018,380,,377,0,,,,,,,,,,,,,ME,0,,0,,230732000194,SY18-19,,377,,,,,,,,,,0,0,0,0,0,0,0,0,,,,
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,6/1/2019,ME@256@250,,PK-6,Public,Y,,,,,6,2019,705,,699,0,,,,,,,,,,,,,ME,6080,506.666666667,3838,319.833333333,230732000196,SY18-19,,699,0.991519896,Primary,Public,,,,,,,6080,0,52,12,3838,0,33,12,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,6/1/2019,ME@260@250,,PK-6,Public,Y,,,,,6,2019,677,,671,0,,,,,,,,,,,,,ME,6298,524.833333333,3813,317.75,,SY18-19,,671,0.991498741,Primary,Public,,,,,,,6298,0,54,12,3813,0,33,12,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,6/1/2019,ME@254@250,,PK-6,Public,Y,,,,,6,2019,713,,707,0,,,,,,,,,,,,,ME,7362,613.5,5858,488.166666667,230732000193,SY18-19,,707,0.991515152,Primary,Public,,,,,,,7362,0,63,12,5858,0,50,12,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,6/1/2019,ME@SD403@250,,,,Y,,,,,6,2019,285,,283,0,,,,,,,,,,,,,ME,2606,217.166666667,1756,146.333333333,230732000192,SY18-19,,283,0.991628615,,,,,,,,,2606,0,22,12,1756,0,15,12,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,6/1/2019,ME@257@250,,7-8,Public,Y,,,,,6,2019,773,,766,0,,,,,,,,,,,,,ME,6247,520.583333333,2111,175.916666667,230732000191,SY18-19,,766,0.991429932,Middle,Public,,,,,,,6247,0,54,12,2111,0,18,12,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,6/1/2019,ME@255@250,,9-12,Public,Y,,,,,6,2019,1466,,1454,0,,,,,,,,,,,,,ME,8529,710.75,4026,335.5,230732000190,SY18-19,,1454,0.991513601,High,Public,,,,,,,8529,0,73,12,4026,0,35,12,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,6/1/2019,ME@SD405@250,,,,Y,,,,,6,2019,380,,377,0,,,,,,,,,,,,,ME,3917,326.416666667,3730,310.833333333,230732000194,SY18-19,,377,0.991394584,,,,,,,,,3917,0,34,12,3730,0,32,12,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,6/1/2019,ME@251@250,,PK-6,Public,Y,,,,,6,2019,444,,440,0,,,,,,,,,,,,,ME,4332,361,2767,230.583333333,230732000187,SY18-19,,440,0.991531243,Primary,Public,,,,,,,4332,0,37,12,2767,0,24,12,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,5/1/2019,ME@256@250,,PK-6,Public,Y,,,,,5,2019,705,,699,0,,,,,,,,,,,,,ME,11014,500.636363636,7540,342.727272727,230732000196,SY18-19,,699,0.991537631,Primary,Public,,,,,,,11014,0,94,22,7540,0,65,22,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,5/1/2019,ME@260@250,,PK-6,Public,Y,,,,,5,2019,677,,671,0,,,,,,,,,,,,,ME,11285,512.954545455,7185,326.590909091,,SY18-19,,671,0.991477772,Primary,Public,,,,,,,11285,0,97,22,7185,0,62,22,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,5/1/2019,ME@254@250,,PK-6,Public,Y,,,,,5,2019,713,,707,0,,,,,,,,,,,,,ME,13634,619.727272727,10943,497.409090909,230732000193,SY18-19,,707,0.991491528,Primary,Public,,,,,,,13634,0,117,22,10943,0,94,22,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,5/1/2019,ME@SD403@250,,,,Y,,,,,5,2019,285,,283,0,,,,,,,,,,,,,ME,4909,223.136363636,3279,149.045454545,230732000192,SY18-19,,283,0.991516865,,,,,,,,,4909,0,42,22,3279,0,28,22,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,5/1/2019,ME@257@250,,7-8,Public,Y,,,,,5,2019,773,,766,0,,,,,,,,,,,,,ME,10905,495.681818182,4032,183.272727273,230732000191,SY18-19,,766,0.991543917,Middle,Public,,,,,,,10905,0,93,22,4032,0,35,22,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,5/1/2019,ME@255@250,,9-12,Public,Y,,,,,5,2019,1466,,1454,0,,,,,,,,,,,,,ME,17625,801.136363636,8019,364.5,230732000190,SY18-19,,1454,0.991505401,High,Public,,,,,,,17625,0,151,22,8019,0,69,22,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,5/1/2019,ME@SD405@250,,,,Y,,,,,5,2019,380,,377,0,,,,,,,,,,,,,ME,7778,353.545454545,7052,320.545454545,230732000194,SY18-19,,377,0.991459528,,,,,,,,,7778,0,67,22,7052,0,60,22,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,5/1/2019,ME@251@250,,PK-6,Public,Y,,,,,5,2019,444,,440,0,,,,,,,,,,,,,ME,8059,366.318181818,5246,238.454545455,230732000187,SY18-19,,440,0.991510827,Primary,Public,,,,,,,8059,0,69,22,5246,0,45,22,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,4/1/2019,ME@256@250,,PK-6,Public,Y,,,,,4,2019,705,,699,0,,,,,,,,,,,,,ME,8892,523.058823529,6006,353.294117647,230732000196,SY18-19,,699,0.991525424,Primary,Public,,,,,,,8892,0,76,17,6006,0,51,17,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,4/1/2019,ME@260@250,,PK-6,Public,Y,,,,,4,2019,677,,671,0,,,,,,,,,,,,,ME,8949,526.411764706,5576,328,,SY18-19,,671,0.991469089,Primary,Public,,,,,,,8949,0,77,17,5576,0,48,17,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,4/1/2019,ME@254@250,,PK-6,Public,Y,,,,,4,2019,713,,707,0,,,,,,,,,,,,,ME,10584,622.588235294,9116,536.235294118,230732000193,SY18-19,,707,0.991475410,Primary,Public,,,,,,,10584,0,91,17,9116,0,78,17,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,4/1/2019,ME@SD403@250,,,,Y,,,,,4,2019,285,,283,0,,,,,,,,,,,,,ME,3869,227.588235294,2405,141.470588235,230732000192,SY18-19,,283,0.991542799,,,,,,,,,3869,0,33,17,2405,0,21,17,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,4/1/2019,ME@257@250,,7-8,Public,Y,,,,,4,2019,773,,766,0,,,,,,,,,,,,,ME,10787,634.529411765,4307,253.352941176,230732000191,SY18-19,,766,0.991543340,Middle,Public,,,,,,,10787,0,92,17,4307,0,37,17,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,4/1/2019,ME@255@250,,9-12,Public,Y,,,,,4,2019,1466,,1454,0,,,,,,,,,,,,,ME,15790,928.823529412,7884,463.764705882,230732000190,SY18-19,,1454,0.991522763,High,Public,,,,,,,15790,0,135,17,7884,0,68,17,156 East Avenue,Lewiston,4240,0.441955193
,Governor James B Longley Elem Sch,SD405,Lewiston Public Schools,250,,4/1/2019,ME@SD405@250,,,,Y,,,,,4,2019,380,,377,0,,,,,,,,,,,,,ME,6116,359.764705882,5597,329.235294118,230732000194,SY18-19,,377,0.991569390,,,,,,,,,6116,0,52,17,5597,0,48,17,,,,
,Farwell Elementary School,251,Lewiston Public Schools,250,Androscoggin,4/1/2019,ME@251@250,,PK-6,Public,Y,,,,,4,2019,444,,440,0,,,,,,,,,,,,,ME,6271,368.882352941,3884,228.470588235,230732000187,SY18-19,,440,0.991462451,Primary,Public,,,,,,,6271,0,54,17,3884,0,33,17,84-110 Farwell Street,Lewiston,4240,0.452702703
,Thomas J McMahon Elementary Sch,256,Lewiston Public Schools,250,Androscoggin,3/1/2019,ME@256@250,,PK-6,Public,Y,,,,,3,2019,705,,699,0,,,,,,,,,,,,,ME,10059,502.95,6968,348.4,230732000196,SY18-19,,699,0.991522918,Primary,Public,,,,,,,10059,0,86,20,6968,0,60,20,151 North Temple Street,Lewiston,4240,0.515363128
,Raymond A Geiger Elementary School,260,Lewiston Public Schools,250,Androscoggin,3/1/2019,ME@260@250,,PK-6,Public,Y,,,,,3,2019,677,,671,0,,,,,,,,,,,,,ME,10061,503.05,6578,328.9,,SY18-19,,671,0.991524589,Primary,Public,,,,,,,10061,0,86,20,6578,0,56,20,601 College Street,Lewiston,4240,0.456681351
,Montello School,254,Lewiston Public Schools,250,Androscoggin,3/1/2019,ME@254@250,,PK-6,Public,Y,,,,,3,2019,713,,707,0,,,,,,,,,,,,,ME,12260,613,9880,494,230732000193,SY18-19,,707,0.991508290,Primary,Public,,,,,,,12260,0,105,20,9880,0,85,20,407 East Avenue,Lewiston,4240,0.655076495
,Martel School,SD403,Lewiston Public Schools,250,,3/1/2019,ME@SD403@250,,,,Y,,,,,3,2019,285,,283,0,,,,,,,,,,,,,ME,4989,249.45,2845,142.25,230732000192,SY18-19,,283,0.991454690,,,,,,,,,4989,0,43,20,2845,0,24,20,,,,
,Lewiston Middle School,257,Lewiston Public Schools,250,Androscoggin,3/1/2019,ME@257@250,,7-8,Public,Y,,,,,3,2019,773,,766,0,,,,,,,,,,,,,ME,11623,581.15,4049,202.45,230732000191,SY18-19,,766,0.991469760,Middle,Public,,,,,,,11623,0,100,20,4049,0,35,20,75 Central Avenue,Lewiston,4240,0.529702970
,Lewiston High School,255,Lewiston Public Schools,250,Androscoggin,3/1/2019,ME@255@250,,9-12,Public,Y,,,,,3,2019,1466,,1454,0,,,,,,,,,,,,,ME,18674,933.7,9047,452.35,230732000190,SY18-19,,1454,0.991504725,High,Public,,,,,,,18674,0,160,20,9047,0,78,20,156 East Avenue,Lewiston,4240,0.441955193
