"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2017-2018","79","Richmond County","20","Richmond County Elementary","847","","847"
"2017-2018","124","Roanoke City","280","Addison Aerospace Magnet Middle","609","","609"
"2017-2018","124","Roanoke City","210","Breckinridge Middle","624","","624"
"2017-2018","124","Roanoke City","20","Crystal Spring Elementary","344","","344"
"2017-2018","124","Roanoke City","410","Fairview Elementary","556","","556"
"2017-2018","124","Roanoke City","50","Fallon Park Elementary","660","","660"
"2017-2018","124","Roanoke City","380","Fishburn Park Elementary","321","","321"
"2017-2018","124","Roanoke City","300","Garden City Elementary","274","","274"
"2017-2018","124","Roanoke City","310","Grandin Court Elementary","342","","342"
"2017-2018","124","Roanoke City","110","Highland Park Elementary","355","","355"
"2017-2018","124","Roanoke City","420","Hurt Park Elementary","365","","365"
"2017-2018","124","Roanoke City","450","James Madison Middle","585","","585"
"2017-2018","124","Roanoke City","340","Lincoln Terrace Elementary","353","","353"
"2017-2018","124","Roanoke City","370","Monterey Elementary","495","","495"
"2017-2018","124","Roanoke City","60","Morningside Elementary","288","","288"
"2017-2018","124","Roanoke City","390","Patrick Henry High","1,923","","1,923"
"2017-2018","124","Roanoke City","240","Preston Park Elementary","531","","531"
"2017-2018","124","Roanoke City","220","Roanoke Academy For Mathematics & Science Elementary","450","","450"
"2017-2018","124","Roanoke City","320","Round Hill Elementary","694","","694"
"2017-2018","124","Roanoke City","230","Stonewall Jackson Middle","571","","571"
"2017-2018","124","Roanoke City","70","Virginia Heights Elementary","322","","322"
"2017-2018","124","Roanoke City","90","Wasena Elementary","224","","224"
"2017-2018","124","Roanoke City","350","Westside Elementary","756","","756"
"2017-2018","124","Roanoke City","400","William Fleming High","1,659","","1,659"
"2017-2018","124","Roanoke City","150","Woodrow Wilson Middle","487","","487"
"2017-2018","80","Roanoke County","420","Back Creek Elementary","312","","312"
"2017-2018","80","Roanoke County","752","Bonsack Elementary","366","","366"
"2017-2018","80","Roanoke County","180","Burlington Elementary","464","","464"
"2017-2018","80","Roanoke County","560","Cave Spring Elementary","488","","488"
"2017-2018","80","Roanoke County","470","Cave Spring High","1,023","","1,023"
"2017-2018","80","Roanoke County","620","Cave Spring Middle","764","","764"
"2017-2018","80","Roanoke County","330","Clearbrook Elementary","352","","352"
"2017-2018","80","Roanoke County","40","Fort Lewis Elementary","255","","255"
"2017-2018","80","Roanoke County","650","Glen Cove Elementary","475","","475"
"2017-2018","80","Roanoke County","490","Glenvar Elementary","377","","377"
"2017-2018","80","Roanoke County","610","Glenvar High","585","","585"
"2017-2018","80","Roanoke County","751","Glenvar Middle","433","","433"
"2017-2018","80","Roanoke County","600","Green Valley Elementary","517","","517"
"2017-2018","80","Roanoke County","540","Herman L. Horn Elementary","397","","397"
"2017-2018","80","Roanoke County","754","Hidden Valley High","882","","882"
"2017-2018","80","Roanoke County","10","Hidden Valley Middle","599","","599"
"2017-2018","80","Roanoke County","530","Mason's Cove Elementary","183","","183"
"2017-2018","80","Roanoke County","290","Mount Pleasant Elementary","315","","315"
"2017-2018","80","Roanoke County","500","Mountain View Elementary","356","","356"
"2017-2018","80","Roanoke County","520","Northside High","1,013","","1,013"
"2017-2018","80","Roanoke County","640","Northside Middle","671","","671"
"2017-2018","80","Roanoke County","480","Oak Grove Elementary","419","","419"
"2017-2018","80","Roanoke County","50","Penn Forest Elementary","467","","467"
"2017-2018","80","Roanoke County","60","W.E. Cundiff Elementary","529","","529"
"2017-2018","80","Roanoke County","630","William Byrd High","1,063","","1,063"
"2017-2018","80","Roanoke County","232","William Byrd Middle","850","","850"
"2017-2018","81","Rockbridge County","650","Central Elementary","530","","530"
"2017-2018","81","Rockbridge County","150","Fairfield Elementary","312","","312"
"2017-2018","81","Rockbridge County","678","Maury River Middle","620","","620"
"2017-2018","81","Rockbridge County","340","Mountain View Elementary","124","","124"
"2017-2018","81","Rockbridge County","641","Natural Bridge Elementary","277","","277"
"2017-2018","81","Rockbridge County","22","Rockbridge County High","967","","967"
"2017-2018","82","Rockingham County","870","Broadway High","1,020","6","1,026"
"2017-2018","82","Rockingham County","861","Cub Run Elementary","606","","606"
"2017-2018","82","Rockingham County","391","East Rockingham High","704","2","706"
"2017-2018","82","Rockingham County","400","Elkton Elementary","390","","390"
"2017-2018","82","Rockingham County","900","Elkton Middle","466","","466"
"2017-2018","82","Rockingham County","940","Fulks Run Elementary","171","","171"
"2017-2018","82","Rockingham County","960","J. Frank Hillyard Middle","737","","737"
"2017-2018","82","Rockingham County","1071","John C. Myers Elementary","520","","520"
"2017-2018","82","Rockingham County","970","John W. Wayland Elementary","573","","573"
"2017-2018","82","Rockingham County","500","Lacey Spring Elementary","234","","234"
"2017-2018","82","Rockingham County","360","Linville-Edom Elementary","183","","183"
"2017-2018","82","Rockingham County","600","McGaheysville Elementary","261","","261"
"2017-2018","82","Rockingham County","860","Montevideo Middle","733","","733"
"2017-2018","82","Rockingham County","520","Mountain View Elementary","485","","485"
"2017-2018","82","Rockingham County","920","Ottobine Elementary","198","","198"
"2017-2018","82","Rockingham County","1073","Peak View Elementary","464","","464"
"2017-2018","82","Rockingham County","10","Plains Elementary","434","","434"
"2017-2018","82","Rockingham County","950","Pleasant Valley Elementary","206","","206"
"2017-2018","82","Rockingham County","390","River Bend Elementary","393","","393"
"2017-2018","82","Rockingham County","830","South River Elementary","341","","341"
"2017-2018","82","Rockingham County","20","Spotswood High","942","2","944"
"2017-2018","82","Rockingham County","850","Turner Ashby High","1,020","2","1,022"
"2017-2018","82","Rockingham County","890","Wilbur S. Pence Middle","724","","724"
"2017-2018","83","Russell County","580","Belfast Elk Garden Elementary","84","","84"
"2017-2018","83","Russell County","792","Castlewood Elementary","442","","442"
"2017-2018","83","Russell County","791","Castlewood High","339","","339"
"2017-2018","83","Russell County","820","Copper Creek Elementary","118","","118"
"2017-2018","83","Russell County","890","Honaker Elementary","652","","652"
"2017-2018","83","Russell County","540","Honaker High","439","","439"
"2017-2018","83","Russell County","410","Lebanon Elementary","353","","353"
"2017-2018","83","Russell County","140","Lebanon High","609","","609"
"2017-2018","83","Russell County","902","Lebanon Middle","367","","367"
"2017-2018","83","Russell County","390","Lebanon Primary","281","","281"
"2017-2018","83","Russell County","710","Swords Creek Elementary","142","","142"
"2017-2018","139","Salem City","100","Andrew Lewis Middle","924","","924"
"2017-2018","139","Salem City","550","East Salem Elementary","439","","439"
"2017-2018","139","Salem City","90","G.W. Carver Elementary","438","","438"
"2017-2018","139","Salem City","70","Salem High","1,292","","1,292"
"2017-2018","139","Salem City","580","South Salem Elementary","421","","421"
"2017-2018","139","Salem City","460","West Salem Elementary","439","","439"
"2017-2018","84","Scott County","750","Duffield-Pattonsville Primary","293","","293"
"2017-2018","84","Scott County","42","Dungannon Intermediate","68","","68"
"2017-2018","84","Scott County","102","Fort Blackmore Primary","75","","75"
"2017-2018","84","Scott County","770","Gate City High","492","1","493"
"2017-2018","84","Scott County","771","Gate City Middle","487","","487"
"2017-2018","84","Scott County","670","Hilton Elementary","139","","139"
"2017-2018","84","Scott County","220","Nickelsville Elementary","247","","247"
"2017-2018","84","Scott County","260","Rye Cove High","258","","258"
"2017-2018","84","Scott County","20","Rye Cove Intermediate","165","","165"
"2017-2018","84","Scott County","641","Shoemaker Elementary","565","","565"
"2017-2018","84","Scott County","780","Twin Springs High","236","","236"
"2017-2018","84","Scott County","740","Weber City Elementary","329","","329"
"2017-2018","84","Scott County","790","Yuma Elementary","191","","191"
"2017-2018","85","Shenandoah County","820","Ashby Lee Elementary","794","","794"
"2017-2018","85","Shenandoah County","780","Central High","797","","797"
"2017-2018","85","Shenandoah County","40","North Fork Middle","339","","339"
"2017-2018","85","Shenandoah County","30","Peter Muhlenberg Middle","549","","549"
"2017-2018","85","Shenandoah County","810","Sandy Hook Elementary","904","","904"
"2017-2018","85","Shenandoah County","50","Signal Knob Middle","444","","444"
"2017-2018","85","Shenandoah County","790","Stonewall Jackson High","509","","509"
"2017-2018","85","Shenandoah County","770","Strasburg High","606","","606"
"2017-2018","85","Shenandoah County","20","W.W. Robinson Elementary","1,118","","1,118"
"2017-2018","86","Smyth County","290","Atkins Elementary","212","","212"
"2017-2018","86","Smyth County","730","Chilhowie Elementary","581","","581"
"2017-2018","86","Smyth County","460","Chilhowie High","402","","402"
"2017-2018","86","Smyth County","851","Chilhowie Middle","331","","331"
"2017-2018","86","Smyth County","710","Marion Elementary","359","","359"
"2017-2018","86","Smyth County","680","Marion Middle","515","","515"
"2017-2018","86","Smyth County","700","Marion Senior High","656","","656"
"2017-2018","86","Smyth County","250","Northwood High","281","","281"
"2017-2018","86","Smyth County","120","Northwood Middle","177","","177"
"2017-2018","86","Smyth County","690","Oak Point Elementary","430","","430"
"2017-2018","86","Smyth County","720","Rich Valley Elementary","159","","159"
"2017-2018","86","Smyth County","740","Saltville Elementary","210","","210"
"2017-2018","86","Smyth County","555","Sugar Grove Elementary","118","","118"
"2017-2018","87","Southampton County","710","Capron Elementary","190","","190"
"2017-2018","87","Southampton County","20","Meherrin Elementary","309","","309"
"2017-2018","87","Southampton County","10","Nottoway Elementary","315","","315"
"2017-2018","87","Southampton County","780","Riverdale Elementary","542","","542"
"2017-2018","87","Southampton County","690","Southampton High","837","","837"
"2017-2018","87","Southampton County","700","Southampton Middle","607","","607"
"2017-2018","88","Spotsylvania County","10","Battlefield Elementary","645","1","646"
"2017-2018","88","Spotsylvania County","50","Battlefield Middle","833","1","834"
"2017-2018","88","Spotsylvania County","340","Berkeley Elementary","296","","296"
"2017-2018","88","Spotsylvania County","400","Brock Road Elementary","654","1","655"
"2017-2018","88","Spotsylvania County","511","Cedar Forest Elementary","749","","749"
"2017-2018","88","Spotsylvania County","40","Chancellor Elementary","443","","443"
"2017-2018","88","Spotsylvania County","381","Chancellor High","1,276","1","1,277"
"2017-2018","88","Spotsylvania County","382","Chancellor Middle","859","","859"
"2017-2018","88","Spotsylvania County","501","Courthouse Road Elementary","808","","808"
"2017-2018","88","Spotsylvania County","22","Courtland Elementary","532","","532"
"2017-2018","88","Spotsylvania County","20","Courtland High","1,174","3","1,177"
"2017-2018","88","Spotsylvania County","509","Freedom Middle","769","","769"
"2017-2018","88","Spotsylvania County","507","Harrison Road Elementary","793","","793"
"2017-2018","88","Spotsylvania County","30","Lee Hill Elementary","666","","666"
"2017-2018","88","Spotsylvania County","350","Livingston Elementary","404","","404"
"2017-2018","88","Spotsylvania County","506","Massaponax High","2,023","5","2,028"
"2017-2018","88","Spotsylvania County","505","Ni River Middle","723","","723"
"2017-2018","88","Spotsylvania County","508","Parkside Elementary","860","","860"
"2017-2018","88","Spotsylvania County","220","Post Oak Middle","727","","727"
"2017-2018","88","Spotsylvania County","510","Riverbend High","1,980","2","1,982"
"2017-2018","88","Spotsylvania County","503","Riverview Elementary","634","","634"
"2017-2018","88","Spotsylvania County","130","Robert E. Lee Elementary","538","","538"
"2017-2018","88","Spotsylvania County","60","Salem Elementary","669","","669"
"2017-2018","88","Spotsylvania County","390","Smith Station Elementary","677","","677"
"2017-2018","88","Spotsylvania County","360","Spotswood Elementary","545","","545"
"2017-2018","88","Spotsylvania County","370","Spotsylvania High","1,181","","1,181"
"2017-2018","88","Spotsylvania County","330","Spotsylvania Middle","907","","907"
"2017-2018","88","Spotsylvania County","502","Thornburg Middle","713","","713"
"2017-2018","88","Spotsylvania County","504","Wilderness Elementary","716","","716"
"2017-2018","89","Stafford County","40","Andrew G. Wright Middle","900","","900"
"2017-2018","89","Stafford County","260","Anne E. Moncure Elementary","805","","805"
"2017-2018","89","Stafford County","433","Anthony Burns Elementary","851","2","853"
"2017-2018","89","Stafford County","421","Brooke Point High","1,862","","1,862"
"2017-2018","89","Stafford County","424","Colonial Forge High","2,103","2","2,105"
"2017-2018","89","Stafford County","431","Conway Elementary","792","16","808"
"2017-2018","89","Stafford County","432","Donald B. Dixon-Lyle R. Smith Middle","800","2","802"
"2017-2018","89","Stafford County","10","Edward E. Drew Jr. Middle","531","1","532"
"2017-2018","89","Stafford County","280","Falmouth Elementary","679","2","681"
"2017-2018","89","Stafford County","230","Ferry Farm Elementary","637","","637"
"2017-2018","89","Stafford County","41","Garrisonville Elementary","626","","626"
"2017-2018","89","Stafford County","270","Grafton Village Elementary","631","29","660"
"2017-2018","89","Stafford County","422","H.H. Poole Middle","780","","780"
"2017-2018","89","Stafford County","320","Hampton Oaks Elementary","830","","830"
"2017-2018","89","Stafford County","250","Hartwood Elementary","587","17","604"
"2017-2018","89","Stafford County","427","Kate Waller Barrett Elementary","816","1","817"
"2017-2018","89","Stafford County","429","Margaret Brent Elementary","905","6","911"
"2017-2018","89","Stafford County","430","Mountain View High","1,773","4","1,777"
"2017-2018","89","Stafford County","30","North Stafford High","1,755","2","1,757"
"2017-2018","89","Stafford County","300","Park Ridge Elementary","720","28","748"
"2017-2018","89","Stafford County","60","Rockhill Elementary","568","50","618"
"2017-2018","89","Stafford County","425","Rocky Run Elementary","934","","934"
"2017-2018","89","Stafford County","426","Rodney E. Thompson Middle","912","3","915"
"2017-2018","89","Stafford County","440","Shirley C. Heim Middle","964","","964"
"2017-2018","89","Stafford County","111","Stafford Elementary","719","","719"
"2017-2018","89","Stafford County","112","Stafford Middle","869","","869"
"2017-2018","89","Stafford County","20","Stafford Senior High","1,960","4","1,964"
"2017-2018","89","Stafford County","162","T. Benton Gayle Middle","930","1","931"
"2017-2018","89","Stafford County","50","Widewater Elementary","779","7","786"
"2017-2018","89","Stafford County","423","Winding Creek Elementary","918","","918"
"2017-2018","126","Staunton City","40","Arthur R. Ware Elementary","410","","410"
"2017-2018","126","Staunton City","70","Bessie Weller Elementary","380","","380"
"2017-2018","126","Staunton City","30","Robert E. Lee High","755","","755"
"2017-2018","126","Staunton City","110","Shelburne Middle","655","","655"
"2017-2018","126","Staunton City","90","Thomas C. McSwain Elementary","427","","427"
"2017-2018","127","Suffolk City","50","Booker T. Washington Elementary","422","","422"
"2017-2018","127","Suffolk City","440","Creekside Elementary","947","","947"
"2017-2018","127","Suffolk City","80","Driver Elementary","597","","597"
"2017-2018","127","Suffolk City","210","Elephant's Fork Elementary","594","","594"
"2017-2018","127","Suffolk City","390","Forest Glen Middle","449","","449"
"2017-2018","127","Suffolk City","450","Hillpoint Elementary","762","","762"
"2017-2018","127","Suffolk City","370","John F. Kennedy Middle","528","","528"
"2017-2018","127","Suffolk City","380","John Yeates Middle","1,241","","1,241"
"2017-2018","127","Suffolk City","230","Kilby Shores Elementary","530","","530"
"2017-2018","127","Suffolk City","395","King's Fork High","1,501","","1,501"
"2017-2018","127","Suffolk City","393","King's Fork Middle","1,003","","1,003"
"2017-2018","127","Suffolk City","300","Lakeland High","1,019","","1,019"
"2017-2018","127","Suffolk City","330","Mack Benn Jr. Elementary","662","","662"
"2017-2018","127","Suffolk City","220","Nansemond Parkway Elementary","539","","539"
"2017-2018","127","Suffolk City","240","Nansemond River High","1,553","","1,553"
"2017-2018","127","Suffolk City","391","Northern Shores Elementary","895","","895"
"2017-2018","127","Suffolk City","70","Oakland Elementary","478","","478"
"2017-2018","127","Suffolk City","47","Pioneer Elementary","639","","639"
"2017-2018","90","Surry County","30","Luther P. Jackson Middle","222","","222"
"2017-2018","90","Surry County","10","Surry County High","249","","249"
"2017-2018","90","Surry County","20","Surry Elementary","321","","321"
"2017-2018","91","Sussex County","483","Sussex Central Elementary","527","2","529"
"2017-2018","91","Sussex County","340","Sussex Central High","316","1","317"
"2017-2018","91","Sussex County","482","Sussex Central Middle","234","","234"
"2017-2018","92","Tazewell County","1020","Abb's Valley-Boissevain Elementary","167","","167"
"2017-2018","92","Tazewell County","830","Cedar Bluff Elementary","427","","427"
"2017-2018","92","Tazewell County","750","Dudley Primary","256","","256"
"2017-2018","92","Tazewell County","940","Graham High","520","","520"
"2017-2018","92","Tazewell County","960","Graham Intermediate","280","","280"
"2017-2018","92","Tazewell County","10","Graham Middle","416","","416"
"2017-2018","92","Tazewell County","450","North Tazewell Elementary","256","","256"
"2017-2018","92","Tazewell County","920","Raven Elementary","148","","148"
"2017-2018","92","Tazewell County","822","Richlands Elementary","539","","539"
"2017-2018","92","Tazewell County","821","Richlands High","692","","692"
"2017-2018","92","Tazewell County","823","Richlands Middle","561","","561"
"2017-2018","92","Tazewell County","980","Springville Elementary","112","","112"
"2017-2018","92","Tazewell County","1030","Tazewell Elementary","477","","477"
"2017-2018","92","Tazewell County","890","Tazewell High","530","","530"
"2017-2018","92","Tazewell County","100","Tazewell Middle","409","","409"
"2017-2018","128","Virginia Beach City","590","Alanton Elementary","610","","610"
"2017-2018","128","Virginia Beach City","550","Arrowhead Elementary","510","","510"
"2017-2018","128","Virginia Beach City","115","Bayside 6th Grade Campus","440","","440"
"2017-2018","128","Virginia Beach City","280","Bayside Elementary","513","","513"
"2017-2018","128","Virginia Beach City","530","Bayside High","1,967","","1,967"
"2017-2018","128","Virginia Beach City","700","Bayside Middle","695","","695"
"2017-2018","128","Virginia Beach City","60","Birdneck Elementary","632","","632"
"2017-2018","128","Virginia Beach City","790","Brandon Middle","1,216","","1,216"
"2017-2018","128","Virginia Beach City","630","Brookwood Elementary","653","","653"
"2017-2018","128","Virginia Beach City","40","Centerville Elementary","730","","730"
"2017-2018","128","Virginia Beach City","990","Christopher Farms Elementary","708","","708"
"2017-2018","128","Virginia Beach City","720","College Park Elementary","550","","550"
"2017-2018","128","Virginia Beach City","1041","Corporate Landing Elementary","450","","450"
"2017-2018","128","Virginia Beach City","980","Corporate Landing Middle","1,229","","1,229"
"2017-2018","128","Virginia Beach City","230","Creeds Elementary","311","","311"
"2017-2018","128","Virginia Beach City","106","Diamond Springs Elementary","608","","608"
"2017-2018","128","Virginia Beach City","780","Fairfield Elementary","551","","551"
"2017-2018","128","Virginia Beach City","610","First Colonial High","1,849","","1,849"
"2017-2018","128","Virginia Beach City","440","Floyd Kellam High","2,058","","2,058"
"2017-2018","128","Virginia Beach City","30","Frank W. Cox High","1,858","","1,858"
"2017-2018","128","Virginia Beach City","870","Glenwood Elementary","1,002","","1,002"
"2017-2018","128","Virginia Beach City","430","Great Neck Middle","1,183","","1,183"
"2017-2018","128","Virginia Beach City","1050","Green Run Collegiate","336","","336"
"2017-2018","128","Virginia Beach City","770","Green Run Elementary","385","","385"
"2017-2018","128","Virginia Beach City","10","Green Run High","1,468","","1,468"
"2017-2018","128","Virginia Beach City","540","Hermitage Elementary","671","","671"
"2017-2018","128","Virginia Beach City","600","Holland Elementary","620","","620"
"2017-2018","128","Virginia Beach City","740","Independence Middle","1,231","","1,231"
"2017-2018","128","Virginia Beach City","800","Indian Lakes Elementary","603","","603"
"2017-2018","128","Virginia Beach City","360","John B. Dey Elementary","817","","817"
"2017-2018","128","Virginia Beach City","450","Kempsville Elementary","477","","477"
"2017-2018","128","Virginia Beach City","620","Kempsville High","1,662","","1,662"
"2017-2018","128","Virginia Beach City","410","Kempsville Meadows Elementary","491","","491"
"2017-2018","128","Virginia Beach City","690","Kempsville Middle","812","","812"
"2017-2018","128","Virginia Beach City","420","King's Grant Elementary","577","","577"
"2017-2018","128","Virginia Beach City","580","Kingston Elementary","526","","526"
"2017-2018","128","Virginia Beach City","932","Landstown Elementary","782","","782"
"2017-2018","128","Virginia Beach City","1030","Landstown High","2,199","","2,199"
"2017-2018","128","Virginia Beach City","931","Landstown Middle","1,440","","1,440"
"2017-2018","128","Virginia Beach City","970","Larkspur Middle","1,557","","1,557"
"2017-2018","128","Virginia Beach City","330","Linkhorn Park Elementary","608","","608"
"2017-2018","128","Virginia Beach City","460","Luxford Elementary","540","","540"
"2017-2018","128","Virginia Beach City","520","Lynnhaven Elementary","427","","427"
"2017-2018","128","Virginia Beach City","730","Lynnhaven Middle","923","","923"
"2017-2018","128","Virginia Beach City","500","Malibu Elementary","418","","418"
"2017-2018","128","Virginia Beach City","1020","New Castle Elementary","785","","785"
"2017-2018","128","Virginia Beach City","710","Newtown Elementary","510","","510"
"2017-2018","128","Virginia Beach City","760","North Landing Elementary","461","","461"
"2017-2018","128","Virginia Beach City","880","Ocean Lakes Elementary","536","","536"
"2017-2018","128","Virginia Beach City","960","Ocean Lakes High","2,111","","2,111"
"2017-2018","128","Virginia Beach City","80","Old Donation","1,181","","1,181"
"2017-2018","128","Virginia Beach City","820","Parkway Elementary","473","","473"
"2017-2018","128","Virginia Beach City","490","Pembroke Elementary","532","","532"
"2017-2018","128","Virginia Beach City","660","Pembroke Meadows Elementary","502","","502"
"2017-2018","128","Virginia Beach City","640","Plaza Middle","1,104","","1,104"
"2017-2018","128","Virginia Beach City","680","Point O' View Elementary","708","","708"
"2017-2018","128","Virginia Beach City","340","Princess Anne Elementary","595","","595"
"2017-2018","128","Virginia Beach City","321","Princess Anne High","1,799","","1,799"
"2017-2018","128","Virginia Beach City","750","Princess Anne Middle","1,509","","1,509"
"2017-2018","128","Virginia Beach City","692","Providence Elementary","569","","569"
"2017-2018","128","Virginia Beach City","900","Red Mill Elementary","641","","641"
"2017-2018","128","Virginia Beach City","810","Rosemont Elementary","443","","443"
"2017-2018","128","Virginia Beach City","840","Rosemont Forest Elementary","502","","502"
"2017-2018","128","Virginia Beach City","830","Salem Elementary","490","","490"
"2017-2018","128","Virginia Beach City","850","Salem High","1,753","","1,753"
"2017-2018","128","Virginia Beach City","50","Salem Middle","1,037","","1,037"
"2017-2018","128","Virginia Beach City","290","Seatack Elementary an Achievable Dream Academy","393","","393"
"2017-2018","128","Virginia Beach City","300","Shelton Park Elementary","423","","423"
"2017-2018","128","Virginia Beach City","940","Strawbridge Elementary","674","","674"
"2017-2018","128","Virginia Beach City","910","Tallwood Elementary","599","","599"
"2017-2018","128","Virginia Beach City","920","Tallwood High","1,998","","1,998"
"2017-2018","128","Virginia Beach City","350","Thalia Elementary","612","","612"
"2017-2018","128","Virginia Beach City","400","Thoroughgood Elementary","685","","685"
"2017-2018","128","Virginia Beach City","100","Three Oaks Elementary","753","","753"
"2017-2018","128","Virginia Beach City","510","Trantwood Elementary","548","","548"
"2017-2018","128","Virginia Beach City","140","Virginia Beach Middle","879","","879"
"2017-2018","128","Virginia Beach City","130","W.T. Cooke Elementary","533","","533"
"2017-2018","128","Virginia Beach City","20","White Oaks Elementary","601","","601"
"2017-2018","128","Virginia Beach City","470","Williams Elementary","484","","484"
"2017-2018","128","Virginia Beach City","670","Windsor Oaks Elementary","597","","597"
"2017-2018","128","Virginia Beach City","560","Windsor Woods Elementary","385","","385"
"2017-2018","128","Virginia Beach City","390","Woodstock Elementary","688","","688"
"2017-2018","93","Warren County","90","A.S. Rhodes Elementary","279","","279"
"2017-2018","93","Warren County","140","E. Wilson Morrison Elementary","545","","545"
"2017-2018","93","Warren County","371","Hilda J. Barbour Elementary","502","2","504"
"2017-2018","93","Warren County","20","Leslie Fox Keyser Elementary","558","","558"
"2017-2018","93","Warren County","240","Ressie Jeffries Elementary","557","","557"
"2017-2018","93","Warren County","250","Skyline High","887","1","888"
"2017-2018","93","Warren County","260","Skyline Middle","650","","650"
"2017-2018","93","Warren County","230","Warren County High","819","2","821"
"2017-2018","93","Warren County","280","Warren County Middle","593","","593"
"2017-2018","94","Washington County","1080","Abingdon Elementary","484","9","493"
"2017-2018","94","Washington County","1030","Abingdon High","941","1","942"
"2017-2018","94","Washington County","40","Damascus Middle","204","","204"
"2017-2018","94","Washington County","1110","E.B. Stanley Middle","650","","650"
"2017-2018","94","Washington County","1090","Glade Spring Middle","285","","285"
"2017-2018","94","Washington County","260","Greendale Elementary","339","","339"
"2017-2018","94","Washington County","1070","High Point Elementary","592","","592"
"2017-2018","94","Washington County","1060","Holston High","301","","301"
"2017-2018","94","Washington County","1040","John S. Battle High","617","1","618"
"2017-2018","94","Washington County","20","Meadowview Elementary","617","","617"
"2017-2018","94","Washington County","1050","Patrick Henry High","423","1","424"
"2017-2018","94","Washington County","50","Rhea Valley Elementary","425","","425"
"2017-2018","94","Washington County","1020","Valley Institute Elementary","310","","310"
"2017-2018","94","Washington County","620","Wallace Middle","480","","480"
"2017-2018","94","Washington County","70","Watauga Elementary","565","2","567"
"2017-2018","130","Waynesboro City","650","Berkeley Glenn Elementary","285","","285"
"2017-2018","130","Waynesboro City","640","Kate Collins Middle","666","","666"
"2017-2018","130","Waynesboro City","600","Waynesboro High","837","","837"
"2017-2018","130","Waynesboro City","580","Wenonah Elementary","236","","236"
"2017-2018","130","Waynesboro City","630","Westwood Hills Elementary","467","","467"
"2017-2018","130","Waynesboro City","751","William Perry Elementary","507","1","508"
"2017-2018","207","West Point","280","West Point Elementary","355","","355"
"2017-2018","207","West Point","290","West Point High","273","","273"
"2017-2018","207","West Point","391","West Point Middle","184","","184"
"2017-2018","95","Westmoreland County","210","Cople Elementary","380","1","381"
"2017-2018","95","Westmoreland County","300","Montross Middle","350","","350"
"2017-2018","95","Westmoreland County","120","Washington & Lee High","456","","456"
"2017-2018","95","Westmoreland County","310","Washington District Elementary","423","","423"
"2017-2018","131","Williamsburg-James City County","60","Berkeley Middle","883","","883"
"2017-2018","131","Williamsburg-James City County","40","Clara Byrd Baker Elementary","545","40","585"
"2017-2018","131","Williamsburg-James City County","80","D.J. Montague Elementary","485","","485"
"2017-2018","131","Williamsburg-James City County","190","J. Blaine Blayton Elementary","539","54","593"
"2017-2018","131","Williamsburg-James City County","201","James River Elementary","498","","498"
"2017-2018","131","Williamsburg-James City County","202","Jamestown High","1,329","","1,329"
"2017-2018","131","Williamsburg-James City County","90","Lafayette High","1,135","","1,135"
"2017-2018","131","Williamsburg-James City County","50","Laurel Lane Elementary","517","41","558"
"2017-2018","131","Williamsburg-James City County","191","Lois Hornsby Middle","945","","945"
"2017-2018","131","Williamsburg-James City County","205","Matoaka Elementary","754","","754"
"2017-2018","131","Williamsburg-James City County","10","Matthew Whaley Elementary","482","","482"
"2017-2018","131","Williamsburg-James City County","70","Norge Elementary","635","50","685"
"2017-2018","131","Williamsburg-James City County","203","Stonehouse Elementary","724","","724"
"2017-2018","131","Williamsburg-James City County","100","Toano Middle","820","","820"
"2017-2018","131","Williamsburg-James City County","204","Warhill High","1,376","1","1,377"
"2017-2018","132","Winchester City","75","Daniel Morgan Intermediate","672","","672"
"2017-2018","132","Winchester City","70","Daniel Morgan Middle","632","","632"
"2017-2018","132","Winchester City","80","Frederick Douglass Elementary","330","","330"
"2017-2018","132","Winchester City","50","Garland R. Quarles Elementary","429","","429"
"2017-2018","132","Winchester City","40","John Handley High","1,313","","1,313"
"2017-2018","132","Winchester City","90","John Kerr Elementary","557","","557"
"2017-2018","132","Winchester City","20","Virginia Avenue Charlotte Dehart Elementary","452","","452"
"2017-2018","96","Wise County","1000","Central High","659","","659"
"2017-2018","96","Wise County","651","Coeburn Middle","357","","357"
"2017-2018","96","Wise County","653","Coeburn Primary","457","","457"
"2017-2018","96","Wise County","652","Eastside High","422","","422"
"2017-2018","96","Wise County","73","J.W. Adams Combined","457","","457"
"2017-2018","96","Wise County","320","L.F. Addington Middle","498","","498"
"2017-2018","96","Wise County","871","St. Paul Elementary","232","","232"
"2017-2018","96","Wise County","1010","Union High","678","","678"
"2017-2018","96","Wise County","1013","Union Middle","606","","606"
"2017-2018","96","Wise County","1012","Union Primary","786","","786"
"2017-2018","96","Wise County","1020","Wise Primary","675","","675"
"2017-2018","97","Wythe County","760","Fort Chiswell High","498","","498"
"2017-2018","97","Wythe County","1073","Fort Chiswell Middle","367","","367"
"2017-2018","97","Wythe County","721","George Wythe High","441","","441"
"2017-2018","97","Wythe County","730","Jackson Memorial Elementary","218","","218"
"2017-2018","97","Wythe County","100","Max Meadows Elementary","229","","229"
"2017-2018","97","Wythe County","201","Rural Retreat Elementary","373","","373"
"2017-2018","97","Wythe County","202","Rural Retreat High","367","","367"
