ISP,State-Physical,Street Address-Line 1,Street Address-Line 2,School Level-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School Name,School Type-Original,School ID,County,City,Zip Code,CEP (Y/N),Claim Date,Operating Days,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
,,,,,,,,,2,2019,,,,,28,28,,,,,,,,KS,311,11.107142857,311,11.107142857,KS@9544@X0928,,SY18-19,,21,1,,Other,,,,Cafeteria,,,X0928,"The Villages, Inc.",Edwin Linquist Cottage,Private Residential Child Care Institution,9544,Shawnee,Topeka,66615,N,2/1/2019,28,Traditional,21,21,0,311,0,0,311,0,0
,,,,,,,,,10,2018,,,,,19,19,,,,,,,,KS,422,22.210526316,21,1.105263158,KS@7786@D0229,201200001269,SY18-19,,26,0.024809160,,Public,,,,Cafeteria,,,D0229,Blue Valley,Blue River Elementary School,Public School,7786,Johnson,Overland Park,66085-9383,N,10/1/2018,19,Traditional,1048,19,7,313,109,3991,16,5,71
,,,,,,,,,8,2018,,,,,13,13,,,,,,,,KS,486,37.384615385,374,28.769230769,KS@7140@D0457,200639001181,SY18-19,,45,0.288461538,,Public,,,,Cafeteria,,,D0457,Garden City,Pierceville-Plymell Elementary School,Public School,7140,Finney,Garden City,67846-8962,N,8/1/2018,13,Traditional,156,36,9,385,101,682,311,63,230
,,,,,,,,,2,2019,,,,,15,15,,,,,,,,KS,1283,85.533333333,750,50,KS@7228@D0461,200990001196,SY18-19,,97,0.598765432,,Public,,,,Cafeteria,,,D0461,Neodesha,North Lawn Elementary School,Public School,7228,Wilson,Neodesha,66757-1279,N,2/1/2019,15,Traditional,162,68,29,885,398,664,554,196,297
,,,,,,,,,5,2019,,,,,15,15,,,,,,,,KS,295,19.666666667,261,17.4,KS@8801@D0512,,SY18-19,,32,0.551724138,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Arrowhead,Public School,8801,Johnson,Shawnee Mission,66202-3925,N,5/1/2019,15,Traditional,58,27,5,242,53,180,222,39,146
,,,,,,,,,4,2019,,,,,19,19,,,,,,,,KS,1244,65.473684211,267,14.052631579,KS@1106@D0241,201161000169,SY18-19,,80,0.408163265,,Public,,,,Cafeteria,,,D0241,Wallace County Schools,Wallace County High School,Public School,1106,Wallace,Sharon Springs,67758,N,4/1/2019,19,Traditional,196,49,31,813,431,1565,220,47,149
,,,,,,,,,2,2019,,,,,13,13,,,,,,,,KS,175,13.461538462,0,0,KS@9893@X0626,,SY18-19,,18,0.102857143,,Nonpublic,,,,,,,X0626,John Paul II Catholic School,John Paul II Catholic School,Private School,9893,Johnson,Overland Park,66204,N,2/1/2019,13,NULL,175,13,5,142,33,970,0,0,0
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,1024,53.894736842,942,49.578947368,KS@8552@D0501,201226001471,SY18-19,,92,0.868532655,,Public,,,,,,,D0501,Topeka Public Schools,Capitol City High School,Public School,8552,Shawnee,Topeka,66606-2403,Y,9/1/2018,19,NULL,106,92,0,1024,0,155,942,0,142
,,,,,,,,,12,2018,,,,,15,15,,,,,,,,KS,2508,167.2,1567,104.466666667,KS@1428@D0253,200594000227,SY18-19,,193,0.807531381,,Public,,,,Second Chance,,,D0253,Emporia,Logan Avenue Elementary School,Public School,1428,Lyon,Emporia,66801-4999,N,12/1/2018,15,"Traditional Second Chance,",239,162,31,2126,382,390,1370,197,118
,,,,,,,,,4,2019,,,,,19,19,,,,,,,,KS,4035,212.368421053,1510,79.473684211,KS@450@D0214,201242000070,SY18-19,,278,0.621923937,,Public,,,,Cafeteria,,,D0214,Ulysses,Hickok Attendance Center,Public School,450,Grant,Ulysses,67880,N,4/1/2019,19,Traditional,447,223,55,3260,775,1564,1304,206,265
,,,,,,,,,5,2019,,,,,11,11,,,,,,,,KS,322,29.272727273,98,8.909090909,KS@4342@D0356,200513000735,SY18-19,,40,0.246913580,,Public,,,,Cafeteria,,,D0356,Conway Springs,Conway Springs High School,Public School,4342,Sumner,Conway Springs,67031,N,5/1/2019,11,Traditional,162,25,15,216,106,807,69,29,52
,,,,,,,,,10,2018,,,,,20,20,,,,,,,,KS,1092,54.6,565,28.25,KS@884@S0610,200001901752,SY18-19,,66,0.488888889,,Other,,,,Cafeteria,,,S0610,Kansas School For The Deaf,Kansas School for the Deaf,State School / Institution,884,Johnson,Olathe,66061,N,10/1/2018,20,Traditional,135,42,24,699,393,1112,398,167,497
,,,,,,,,,2,2019,,,,,15,15,,,,,,,,KS,2984,198.933333333,1532,102.133333333,KS@5880@D0413,200459000972,SY18-19,,290,0.582329317,,Public,,,,Other,,,D0413,Chanute,Royster Middle School,Public School,5880,Neosho,Chanute,66720-1697,N,2/1/2019,15,"Traditional Kiosk,",498,243,47,2501,483,1481,1340,192,161
,,,,,,,,,5,2019,,,,,12,12,,,,,,,,KS,548,45.666666667,358,29.833333333,KS@410@D0113,200035001996,SY18-19,,60,0.242914980,,Public,,,,Second Chance,,,D0113,Prairie Hills,Sabetha High School,Public School,410,Nemaha,Sabetha,66534-9416,N,5/1/2019,12,"Traditional Second Chance,",247,35,25,334,214,1220,237,121,224
,,,,,,,,,5,2019,,,,,13,13,,,,,,,,KS,549,42.230769231,364,28,KS@416@D0112,200034902044,SY18-19,,59,0.388157895,,Public,,,,Cafeteria,,,D0112,Central Plains,Central Plains Elementary School-Holyrood,Public School,416,Ellsworth,Holyrood,67450,N,5/1/2019,13,Traditional,152,45,14,422,127,699,274,90,150
,,,,,,,,,10,2018,,,,,19,19,,,,,,,,KS,169,8.894736842,0,0,KS@9002@X0851,,SY18-19,,11,0.018549747,,Nonpublic,,,,,,,X0851,Cure of Ars School,Cure' of Ars,Private School,9002,Johnson,Leawood,66206,N,10/1/2018,19,NULL,593,8,3,127,42,4938,0,0,0
,,,,,,,,,11,2018,,,,,15,15,,,,,,,,KS,3799,253.266666667,865,57.666666667,KS@4810@D0373,200996000796,SY18-19,,407,0.420889349,,Public,,,,Second Chance,,,D0373,Newton,Newton High School,Public School,4810,Harvey,Newton,67114,N,11/1/2018,15,"Traditional Second Chance,",967,328,79,3120,679,3351,731,134,273
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,2616,137.684210526,901,47.421052632,KS@4700@D0368,201050000779,SY18-19,,208,0.314199396,,Public,,,,Cafeteria,,,D0368,Paola,Paola High School,Public School,4700,Miami,Paola,66071,N,9/1/2018,19,Traditional,662,159,49,2103,513,3654,749,152,170
