ISP,State-Physical,Street Address-Line 1,Street Address-Line 2,School Level-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School Name,School Type-Original,School ID,County,City,Zip Code,CEP (Y/N),Claim Date,Operating Days,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,1609,134.083333333,1074,89.5,KS@7226@D0461,200990001195,SY18-19,,175,0.636363636,,Public,,,,Other,,,D0461,Neodesha,Heller Elementary School,Public School,7226,Wilson,Neodesha,66757-1414,N,8/1/2018,12,"Traditional Class,",275,143,32,1342,267,615,925,149,142
,,,,,,,,,8,2018,,,,,9,9,,,,,,,,KS,91,10.111111111,0,0,KS@9002@X0851,,SY18-19,,14,0.023608769,,Nonpublic,,,,,,,X0851,Cure of Ars School,Cure' of Ars,Private School,9002,Johnson,Leawood,66206,N,8/1/2018,9,NULL,593,12,2,84,7,2079,0,0,0
,,,,,,,,,8,2018,,,,,13,13,,,,,,,,KS,1483,114.076923077,810,62.307692308,KS@7126@D0457,200639001173,SY18-19,,138,0.745945946,,Public,,,,Cafeteria,,,D0457,Garden City,Georgia Matthews Elementary School,Public School,7126,Finney,Garden City,67846-4437,N,8/1/2018,13,Traditional,185,107,31,1140,343,391,630,180,166
,,,,,,,,,5,2019,,,,,16,16,,,,,,,,KS,244,15.25,0,0,KS@8570@X0783,,SY18-19,,23,0.261363636,,Nonpublic,,,,,,,X0783,Topeka Lutheran School,Topeka Lutheran School,Private School,8570,Shawnee,Topeka,66606,N,5/1/2019,16,NULL,88,12,11,179,65,310,0,0,0
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,828,46,493,27.388888889,KS@6324@D0429,201233001038,SY18-19,,76,0.311475410,,Public,,,,Cafeteria,,,D0429,Troy,Troy Elementary School,Public School,6324,Doniphan,Troy,66087,N,9/1/2018,18,Traditional,244,53,23,617,211,1327,409,84,363
,,,,,,,,,8,2018,,,,,14,14,,,,,,,,KS,2633,188.071428571,1205,86.071428571,KS@5776@D0409,200354000958,SY18-19,,254,0.659740260,,Public,,,,Cafeteria,,,D0409,Atchison,Atchison Middle School,Public School,5776,Atchison,Atchison,66002-2456,N,8/1/2018,14,Traditional,385,199,55,2206,427,721,1047,158,74
,,,,,,,,,12,2018,,,,,14,14,,,,,,,,KS,1234,88.142857143,760,54.285714286,KS@5554@D0402,200363000915,SY18-19,,117,0.475609756,,Public,,,,Cafeteria,,,D0402,Augusta,Garfield Elementary School,Public School,5554,Butler,Augusta,67010,N,12/1/2018,14,Traditional,246,79,38,818,416,633,528,232,193
,,,,,,,,,5,2019,,,,,17,17,,,,,,,,KS,3583,210.764705882,2358,138.705882353,KS@7124@D0457,200639001172,SY18-19,,232,0.856088561,,Public,,,,Cafeteria,,,D0457,Garden City,Buffalo Jones Elementary School,Public School,7124,Finney,Garden City,67846-5136,N,5/1/2019,17,Traditional,271,204,28,3191,392,481,2158,200,194
,,,,,,,,,8,2018,,,,,7,7,,,,,,,,KS,234,33.428571429,180,25.714285714,KS@4404@D0359,200343000740,SY18-19,,39,0.464285714,,Public,,,,Other,,,D0359,Argonia Public Schools,Argonia Elementary School,Public School,4404,Sumner,Argonia,67004-9741,N,8/1/2018,7,"Traditional Class,",84,36,3,221,13,196,167,13,41
,,,,,,,,,1,2019,,,,,18,18,,,,,,,,KS,1462,81.222222222,1104,61.333333333,KS@3870@D0335,,SY18-19,,105,0.423387097,,Public,,,,Cafeteria,,,D0335,North Jackson,Jackson Heights Elementary,Public School,3870,Jackson,Holton,66436,N,1/1/2019,18,Traditional,248,82,23,1114,348,1414,892,212,560
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,194,10.777777778,97,5.388888889,KS@6726@D0444,200888001101,SY18-19,,13,0.276595745,,Public,,,,Second Chance,,,D0444,Little River,Little River Jr. High School,Public School,6726,Rice,Little River,67457-0008,N,11/1/2018,18,"Traditional Second Chance,",47,10,3,147,47,490,67,30,153
,,,,,,,,,8,2018,,,,,9,9,,,,,,,,KS,917,101.888888889,491,54.555555556,KS@1430@D0253,200594001797,SY18-19,,148,0.360097324,,Public,,,,Cafeteria,,,D0253,Emporia,Timmerman Elementary,Public School,1430,Lyon,Emporia,66801-7748,N,8/1/2018,9,Traditional,411,115,33,711,206,844,385,106,242
,,,,,,,,,4,2019,,,,,22,22,,,,,,,,KS,4458,202.636363636,2059,93.590909091,KS@8208@D0497,200840001372,SY18-19,,238,0.631299735,,Public,,,,Cafeteria,,,D0497,Lawrence,Schwegler Elementary,Public School,8208,Douglas,Lawrence,66046-2757,N,4/1/2019,22,Traditional,377,205,33,3959,499,1378,1829,230,269
,,,,,,,,,10,2018,,,,,21,21,,,,,,,,KS,2346,111.714285714,760,36.190476190,KS@1592@D0258,200759000247,SY18-19,,157,0.489096573,,Public,,,,Cafeteria,,,D0258,Humboldt,Humboldt High School,Public School,1592,Allen,Humboldt,66748-1835,N,10/1/2018,21,Traditional,321,115,42,1704,642,2386,538,222,235
,,,,,,,,,8,2018,,,,,14,14,,,,,,,,KS,371,26.5,259,18.5,KS@702@D0226,200942000106,SY18-19,,45,0.326086957,,Public,,,,Cafeteria,,,D0226,Meade,Meade High School,Public School,702,Meade,Meade,67864-0400,N,8/1/2018,14,Traditional,138,32,13,259,112,521,199,60,290
,,,,,,,,,9,2018,,,,,13,13,,,,,,,,KS,100,7.692307692,230,17.692307692,KS@9547@X0928,,SY18-19,,9,1,,Other,,,,Cafeteria,,,X0928,"The Villages, Inc.",Raymond Cert Cottage,Private Residential Child Care Institution,9547,Shawnee,Lawrence,66047,N,9/1/2018,13,Traditional,9,9,0,100,0,0,230,0,0
,,,,,,,,,5,2019,,,,,12,12,,,,,,,,KS,1649,137.416666667,850,70.833333333,KS@2156@D0271,201206000401,SY18-19,,192,0.559766764,,Public,,,,Cafeteria,,,D0271,Stockton,Stockton Elem,Public School,2156,Rooks,Stockton,67669,N,5/1/2019,12,Traditional,343,132,60,1122,527,1147,639,211,292
,,,,,,,,,5,2019,,,,,11,11,,,,,,,,KS,1172,106.545454545,776,70.545454545,KS@6375@D0431,200732001886,SY18-19,,124,0.579439252,,Public,,,,Cafeteria,,,D0431,Hoisington,Lincoln Elementary School,Public School,6375,Barton,Hoisington,67544-1894,N,5/1/2019,11,Traditional,214,89,35,848,324,698,558,218,102
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,1304,65.2,844,42.2,KS@8624@D0504,201035001491,SY18-19,,87,0.6,,Public,,,,Cafeteria,,,D0504,Oswego,Oswego Junior Senior High School,Public School,8624,Labette,Oswego,67356-0129,N,4/1/2019,20,Traditional,145,61,26,941,363,620,667,177,194
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,1937,107.611111111,547,30.388888889,KS@847@D0233,201014001676,SY18-19,,149,0.188607595,,Public,,,,Second Chance,,,D0233,Olathe,Frontier Trail Middle School,Public School,847,Johnson,Olathe,66062-2068,N,11/1/2018,18,"Traditional Second Chance,",790,80,69,1060,877,5565,341,206,388
,,,,,,,,,8,2018,,,,,7,7,,,,,,,,KS,1479,211.285714286,274,39.142857143,KS@3292@D0315,200501000572,SY18-19,,302,0.446745562,,Public,,,,Cafeteria,,,D0315,Colby Public Schools,Colby Middle School,Public School,3292,Thomas,Colby,67701-2000,N,8/1/2018,7,Traditional,676,220,82,1101,378,1438,241,33,15
,,,,,,,,,1,2019,,,,,15,15,,,,,,,,KS,4191,279.4,2137,142.466666667,KS@8281@D0500,200795001778,SY18-19,,314,0.897142857,,Public,,,,Cafeteria,,,D0500,Kansas City,McKinley Elementary,Public School,8281,Wyandotte,Kansas City,66102,N,1/1/2019,15,Traditional,350,314,0,4191,0,476,2137,0,242
,,,,,,,,,8,2018,,,,,13,13,,,,,,,,KS,849,65.307692308,559,43,KS@7592@D0475,200789001255,SY18-19,,78,0.772277228,,Public,,,,Cafeteria,,,D0475,Geary County Schools,Grandview Elementary School,Public School,7592,Geary,Junction City,66441,N,8/1/2018,13,Traditional,101,59,19,684,165,139,446,113,65
,,,,,,,,,1,2019,,,,,18,18,,,,,,,,KS,48,2.666666667,72,4,KS@15189@D0258,,SY18-19,,5,0.714285714,,Public,,,,Cafeteria,,,D0258,Humboldt,ANW Elementary Day School,Public School,15189,Allen,Humboldt,66748,N,1/1/2019,18,Traditional,7,4,1,31,17,21,54,18,27
,,,,,,,,,1,2019,,,,,17,17,,,,,,,,KS,3773,221.941176471,2399,141.117647059,KS@3114@D0308,200762000535,SY18-19,,248,0.920917745,,Public,,,,Cafeteria,,,D0308,Hutchinson,Lincoln Elementary School,Public School,3114,Reno,Hutchinson,67501,Y,1/1/2019,17,Traditional,269,248,0,3773,0,324,2399,0,206
,,,,,,,,,5,2019,,,,,17,17,,,,,,,,KS,380,22.352941176,62,3.647058824,KS@774@D0229,201200000114,SY18-19,,26,0.115044248,,Public,,,,Cafeteria,,,D0229,Blue Valley,Stilwell Elementary School,Public School,774,Johnson,Stilwell,66085-9415,N,5/1/2019,17,Traditional,226,10,16,145,235,1758,14,48,38
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,432,21.6,387,19.35,KS@7534@D0473,200462001246,SY18-19,,25,0.320512821,,Public,,,,Cafeteria,,,D0473,Chapman,Blue Ridge Elem,Public School,7534,Dickinson,Abilene,67410-0196,N,4/1/2019,20,Traditional,78,15,10,274,158,702,249,138,303
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,2091,139.4,718,47.866666667,KS@819@D0231,200642001878,SY18-19,,162,0.292418773,,Public,,,,Cafeteria,,,D0231,Gardner Edgerton,Wheatridge Middle School,Public School,819,Johnson,Gardner,66030,N,3/1/2019,15,Traditional,554,106,56,1371,720,3587,526,192,239
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,705,47,183,12.2,KS@6350@D0430,200747001042,SY18-19,,84,0.579310345,,Public,,,,Cafeteria,,,D0430,South Brown County,Horton High School,Public School,6350,Brown,Horton,66439-1899,N,3/1/2019,15,Traditional,145,73,11,626,79,357,173,10,17
,,,,,,,,,3,2019,,,,,13,13,,,,,,,,KS,1456,112,509,39.153846154,KS@4442@D0361,200339000749,SY18-19,,172,0.535825545,,Public,,,,Cafeteria,,,D0361,Chaparral Schools,Chaparral High School,Public School,4442,Harper,Anthony,67003-9030,N,3/1/2019,13,Traditional,321,135,37,1153,303,776,445,64,91
,,,,,,,,,12,2018,,,,,13,13,,,,,,,,KS,136,10.461538462,0,0,KS@9002@X0851,,SY18-19,,13,0.021885522,,Nonpublic,,,,,,,X0851,Cure of Ars School,Cure' of Ars,Private School,9002,Johnson,Leawood,66206,N,12/1/2018,13,NULL,594,10,3,108,28,3728,0,0,0
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,662,36.777777778,334,18.555555556,KS@3600@D0327,200587000612,SY18-19,,42,0.381818182,,Public,,,,Cafeteria,,,D0327,Ellsworth,Kanopolis Middle,Public School,3600,Ellsworth,Kanopolis,67454,N,11/1/2018,18,Traditional,110,25,17,411,251,691,264,70,120
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,1122,56.1,744,37.2,KS@5555@D0402,200363000741,SY18-19,,77,0.288389513,,Public,,,,Cafeteria,,,D0402,Augusta,Ewalt Elementary School,Public School,5555,Butler,Augusta,67010,N,4/1/2019,20,Traditional,267,61,16,920,202,1574,606,138,393
,,,,,,,,,2,2019,,,,,16,16,,,,,,,,KS,4307,269.1875,2213,138.3125,KS@7456@D0470,200345001241,SY18-19,,446,0.578469520,,Public,,,,Other,,,D0470,Arkansas City,Arkansas City High School,Public School,7456,Cowley,Arkansas City,67005-4099,N,2/1/2019,16,"Traditional Kiosk,",771,368,78,3569,738,1702,1934,279,433
,,,,,,,,,12,2018,,,,,15,15,,,,,,,,KS,2978,198.533333333,954,63.6,KS@6944@D0450,201218001135,SY18-19,,325,0.279690189,,Public,,,,Second Chance,,,D0450,Shawnee Heights,Shawnee Heights High School,Public School,6944,Shawnee,Tecumseh,66542-9794,N,12/1/2018,15,"Traditional Second Chance,",1162,235,90,2187,791,4549,798,156,161
,,,,,,,,,11,2018,,,,,14,14,,,,,,,,KS,367,26.214285714,169,12.071428571,KS@2890@D0300,200504000491,SY18-19,,33,0.358695652,,Public,,,,Cafeteria,,,D0300,Comanche County,South Central High School,Public School,2890,Comanche,Coldwater,67029-0578,N,11/1/2018,14,Traditional,92,24,9,261,106,617,127,42,205
,,,,,,,,,10,2018,,,,,20,20,,,,,,,,KS,2132,106.6,1244,62.2,KS@804@D0231,200642000120,SY18-19,,142,0.442367601,,Public,,,,Other,,,D0231,Gardner Edgerton,Gardner Elementary School,Public School,804,Johnson,Gardner,66030-1394,N,10/1/2018,20,"Traditional Class,",321,98,44,1433,699,1812,950,294,473
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,644,53.666666667,0,0,KS@3044@X0957,,SY18-19,,59,0.264573991,,Nonpublic,,,,,,,X0957,St Marys Elementary/Love N Learn,St Marys Elementary School,Private School,3044,Saline,Salina,67401,N,8/1/2018,12,NULL,223,40,19,436,208,1353,0,0,0
,,,,,,,,,2,2019,,,,,14,14,,,,,,,,KS,1289,92.071428571,538,38.428571429,KS@8212@D0497,200840001374,SY18-19,,113,0.530516432,,Public,,,,Cafeteria,,,D0497,Lawrence,Woodlawn Elementary,Public School,8212,Douglas,Lawrence,66044-5401,N,2/1/2019,14,Traditional,213,97,16,1130,159,751,518,20,63
,,,,,,,,,2,2019,,,,,13,13,,,,,,,,KS,2356,181.230769231,1039,79.923076923,KS@8828@D0512,201164001547,SY18-19,,210,0.456521739,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Pawnee Elementary School,Public School,8828,Johnson,Shawnee Mission,66212-4738,N,2/1/2019,13,Traditional,460,165,45,1871,485,1584,938,101,274
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,856,71.333333333,116,9.666666667,KS@2092@D0268,200467000395,SY18-19,,108,0.251748252,,Public,,,,Cafeteria,,,D0268,Cheney,Cheney High School,Public School,2092,Sedgwick,Cheney,67025,N,8/1/2018,12,Traditional,429,59,49,492,364,1558,88,28,13
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,1054,70.266666667,760,50.666666667,KS@7331@D0465,201305001213,SY18-19,,146,0.542750929,,Public,,,,Cafeteria,,,D0465,Winfield,Winfield Early Learning Center,Public School,7331,Cowley,Winfield,67156-3691,N,3/1/2019,15,Traditional,269,123,23,990,64,196,678,82,188
,,,,,,,,,8,2018,,,,,7,7,,,,,,,,KS,375,53.571428571,83,11.857142857,KS@3748@D0332,200537000634,SY18-19,,69,0.368983957,,Public,,,,Cafeteria,,,D0332,Cunningham,Cunningham Elementary School,Public School,3748,Kingman,Cunningham,67035-0098,N,8/1/2018,7,Traditional,187,59,10,319,56,539,63,20,3
,,,,,,,,,2,2019,,,,,13,13,,,,,,,,KS,6511,500.846153846,3795,291.923076923,KS@864@D0233,201014000137,SY18-19,,748,0.381632653,,Public,,,,Other,,,D0233,Olathe,Olathe North Sr. High School,Public School,864,Johnson,Olathe,66061-3397,N,2/1/2019,13,"Traditional Kiosk, Second Chance,",1960,579,169,5260,1251,5115,3208,587,1193
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,173,9.105263158,132,6.947368421,KS@3010@D0305,,SY18-19,,15,0.681818182,,Public,,,,Cafeteria,,,D0305,Salina,Opportunity Now,Public School,3010,Saline,Salina,67401,N,9/1/2018,19,Traditional,22,11,4,132,41,43,100,32,21
,,,,,,,,,8,2018,,,,,10,10,,,,,,,,KS,192,19.2,0,0,KS@1860@X0869,,SY18-19,,39,0.098734177,,Nonpublic,,,,,,,X0869,Blessed Sacrament School,Blessed Sacrament Catholic School,Private School,1860,Sedgwick,Wichita,67208,N,8/1/2018,10,NULL,395,28,11,163,29,882,0,0,0
,,,,,,,,,1,2019,,,,,17,17,,,,,,,,KS,209,12.294117647,92,5.411764706,KS@3220@D0311,201092000556,SY18-19,,18,0.257142857,,Public,,,,Cafeteria,,,D0311,Pretty Prairie,Pretty Prairie High School,Public School,3220,Reno,Pretty Prairie,67570-0326,N,1/1/2019,17,Traditional,70,17,1,193,16,761,88,4,18
,,,,,,,,,4,2019,,,,,21,21,,,,,,,,KS,1412,67.238095238,1430,68.095238095,KS@1881@X0798,,SY18-19,,70,1,,Other,,,,Other,,,X0798,Heartspring,Heartspring School Cafeteria,Private Residential Child Care Institution,1881,Sedgwick,Wichita,67226,N,4/1/2019,21,"Traditional Class,",70,70,0,1412,0,0,1430,0,0
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,1943,129.533333333,834,55.6,KS@4831@D0373,200996002037,SY18-19,,148,0.478964401,,Public,,,,Cafeteria,,,D0373,Newton,South Breeze Elementary School,Public School,4831,Harvey,Newton,67114,N,3/1/2019,15,Traditional,309,112,36,1486,457,1682,679,155,209
,,,,,,,,,1,2019,,,,,17,17,,,,,,,,KS,3032,178.352941176,2018,118.705882353,KS@5936@D0415,200000600975,SY18-19,,234,0.536697248,,Public,,,,Cafeteria,,,D0415,Hiawatha,Hiawatha Elementary School,Public School,5936,Brown,Hiawatha,66434-2099,N,1/1/2019,17,Traditional,436,199,35,2517,515,1778,1694,324,319
,,,,,,,,,2,2019,,,,,13,13,,,,,,,,KS,1629,125.307692308,608,46.769230769,KS@8844@D0512,201164001555,SY18-19,,154,0.443804035,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Rushton Elementary School,Public School,8844,Johnson,Shawnee Mission,66202-1699,N,2/1/2019,13,Traditional,347,109,45,1168,461,1115,429,179,170
,,,,,,,,,5,2019,,,,,16,16,,,,,,,,KS,1801,112.5625,1017,63.5625,KS@8210@D0497,200840001373,SY18-19,,153,0.408,,Public,,,,Cafeteria,,,D0497,Lawrence,Sunset Hill Elementary,Public School,8210,Douglas,Lawrence,66049-2664,N,5/1/2019,16,Traditional,375,122,31,1459,342,1522,874,143,141
,,,,,,,,,5,2019,,,,,14,14,,,,,,,,KS,1758,125.571428571,899,64.214285714,KS@4180@D0350,201191000710,SY18-19,,163,0.504643963,,Public,,,,Cafeteria,,,D0350,St John-Hudson,St John Elementary School,Public School,4180,Stafford,St. John,67576-1644,N,5/1/2019,14,Traditional,323,121,42,1374,384,1450,759,140,310
,,,,,,,,,8,2018,,,,,31,31,,,,,,,,KS,296,9.548387097,352,11.354838710,KS@9456@X0913,,SY18-19,,12,1,,Other,,,,Cafeteria,,,X0913,"EmberHope, Inc.",Newton Circle 2,Private Residential Child Care Institution,9456,Harvey,Newton,67114,N,8/1/2018,31,Traditional,12,12,0,296,0,0,352,0,0
