School ID,School Name,District ID,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,County
1319,Bell City High School,356,Calcasieu Parish School Board,LA,Bell City,70630,PO Box 100,,[PK K 1-12],,N,,,,,,,,768,,277,77,,26483,5433,23096,,11939,1850,9163,,,167,167,,,,,,,,,LA,31916,191.113772455,13789,82.568862275,LA@1319@356,,SY17-18,,354,0.4609375,Other,,,,,,,,Calcasieu Parish
254,Brenda Hunter Head Start Center,356,Calcasieu Parish School Board,LA,Lake Charles,70601,2200 Elder Street,,[PK],,Y,,,,,,,,237,,230,0,,30901,0,960,,30916,0,960,,,165,165,,,,,,,,,LA,30901,187.278787879,30916,187.369696970,LA@254@356,,SY17-18,,230,0.969869119,Primary,,,,,,,,Calcasieu Parish
1320,Brentwood Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,3825 Brentwood Ave,,[PK K 1-5],,Y,,,,,,,,297,,288,0,,43975,0,1364,,27875,0,864,,,167,167,,,,,,,,,LA,43975,263.323353293,27875,166.916167665,LA@1320@356,,SY17-18,,288,0.969915525,Primary,,,,,,,,Calcasieu Parish
1324,College Oaks Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,3618 Ernest St,,[PK K 1-5],,Y,,,,,,,,317,,307,0,,37907,0,1177,,21404,0,665,,,167,167,,,,,,,,,LA,37907,226.988023952,21404,128.167664671,LA@1324@356,,SY17-18,,307,0.969885375,Primary,,,,,,,,Calcasieu Parish
1325,Combre/Fondel Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,2115 Fitzenreiter Rd,,[3-5],,Y,,,,,,,,179,,174,0,,24679,0,767,,19447,0,605,,,167,167,,,,,,,,,LA,24679,147.778443114,19447,116.449101796,LA@1325@356,,SY17-18,,174,0.969857738,Primary,,,,,,,,Calcasieu Parish
1370,Cypress Cove Elementary School,356,Calcasieu Parish School Board,LA,Sulphur,70665,700 Currie Drive,,[PK K 1-5],,N,,,,,,,,546,,230,47,,22931,4258,14587,,16180,2460,8429,,,167,167,,,,,,,,,LA,27189,162.808383234,18640,111.616766467,LA@1370@356,,SY17-18,,277,0.507326007,Primary,,,,,,,,Calcasieu Parish
5092,DeQuincy Elementary School,356,Calcasieu Parish School Board,LA,DeQuincy,70633,1605 West Fourth Street,,[3-5],,Y,,,,,,,,275,,267,0,,34720,0,1078,,17454,0,542,,,167,167,,,,,,,,,LA,34720,207.904191617,17454,104.514970060,LA@5092@356,,SY17-18,,267,0.969886586,Primary,,,,,,,,Calcasieu Parish
1329,DeQuincy High School,356,Calcasieu Parish School Board,LA,DeQuincy,70633,207 N Overton,,[9-12],,N,,,,,,,,381,,98,16,,5984,881,7104,,2299,537,1679,,,167,167,,,,,,,,,LA,6865,41.107784431,2836,16.982035928,LA@1329@356,,SY17-18,,114,0.299212598,High,,,,,,,,Calcasieu Parish
1330,DeQuincy Middle School,356,Calcasieu Parish School Board,LA,DeQuincy,70633,1603 W Fourth St,,[6-8],,N,,,,,,,,279,,119,17,,11577,675,2630,,9132,424,773,,,167,167,,,,,,,,,LA,12252,73.365269461,9556,57.221556886,LA@1330@356,,SY17-18,,136,0.487455197,Middle,,,,,,,,Calcasieu Parish
1328,DeQuincy Primary School,356,Calcasieu Parish School Board,LA,DeQuincy,70633,304 McNeese St,,[PK K 1-2],,Y,,,,,,,,366,,355,0,,36174,0,1124,,26583,0,825,,,167,167,,,,,,,,,LA,36174,216.610778443,26583,159.179640719,LA@1328@356,,SY17-18,,355,0.969864336,Primary,,,,,,,,Calcasieu Parish
