Unique ID,District Name,School ID,District ID,School Name,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),School Type-Original,Street Address-Line 2,State-Physical,Enrollment-Reduced,Enrollment-Free,Enrollment-Total,School Year,School Level-Original,Street Address-Line 1,City,Zip Code,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,NCES ID,County
GA@0001@11266,TWIN CEDARS YOUTH & FAMILY SERVICES,0001,11266,Bradfield Center,,,,,,,,,,,,48.509536785,17803,43.621253406,16009,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1022 E. Depot,LaGrange,30241,N,,N,,367,367,0,17803,0,0,16009,0,,
GA@0005@11266,TWIN CEDARS YOUTH & FAMILY SERVICES,0005,11266,Anne Elizabeth Shepheard Home,,,,,,,,,,,,35.868852459,13128,35.890710383,13136,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,751 Double Churches Road,Columbus,31904,N,,N,,366,366,0,13128,0,0,13136,0,,
GA@0008@11266,TWIN CEDARS YOUTH & FAMILY SERVICES,0008,11266,Georgia Industrial Children's Home,,,,,,,,,,,,51.879781421,18988,32.571038251,11921,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,4690 N. Mumford,Macon,31210,N,,N,,366,366,0,18988,0,0,11921,0,,
GA@0002@11267, METHODIST HOME FOR CHILDREN,0002,11267,The Methodist Home-2,,,,,,,,,,,,7.419178082,2708,3.832876712,1399,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,9308 GA Hwy. 85,Waverly Hall,31831,N,,N,,365,365,0,2708,0,0,1399,0,,
GA@0003@11267, METHODIST HOME FOR CHILDREN,0003,11267,The Methodist Home-3,,,,,,,,,,,,54.172602740,19773,37.602739726,13725,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,304 Pierce Avenue,Macon,31204,N,,N,,365,365,0,19773,0,0,13725,0,,
GA@0004@11267, METHODIST HOME FOR CHILDREN,0004,11267,The Methodist Home -1,,,,,,,,,,,,11.805479452,4309,6.605479452,2411,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1645 Hunter Road,Cataula,31804,N,,N,,365,365,0,4309,0,0,2411,0,,
GA@0006@11267, METHODIST HOME FOR CHILDREN,0006,11267,The Methodist Home-5,,,,,,,,,,,,7.027397260,2565,3.079452055,1124,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,102 Hill Creek Road,Americus,31709,N,,N,,365,365,0,2565,0,0,1124,0,,
GA@0007@11267, METHODIST HOME FOR CHILDREN,0007,11267,The Methodist Home-6,,,,,,,,,,,,3.498630137,1277,1.395209581,466,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2545 E Park Avenue,Valdosta,31605,N,,N,,334,365,0,1277,0,0,466,0,,
GA@0008@11267, METHODIST HOME FOR CHILDREN,0008,11267,The Methodist Home - St. Mary,,,,,,,,,,,,9.180821918,3351,2.528767123,923,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,3296 Winding Road,St. Mary,31558,N,,N,,365,365,0,3351,0,0,923,0,,
GA@0001@11269,BROKEN SHACKLE RANCH INC,0001,11269,Broken Shackle Ranch,,,,,,,,,,,,20.340909091,7160,20.652542373,7311,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1542 Francis Bridge Road,Davisboro,31018,N,,N,,354,352,0,7160,0,0,7311,0,,
