Claim Year,Claim Month,Street Address-Line 1,Zip Code,Operating Days-Lunch Only,Claim Date,County,ISP,School Level-Original,State-Physical,City,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free,Enrollment-Total,Enrollment-Free,Operating Days,School Name,School ID,District ID,District Name,CEP (Y/N),Lunch Meals-Reduced,Lunch Meals-Free,Lunch Meals-Paid,School Type-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Street Address-Line 2,NCES ID,Enrollment-Reduced,Enrollment-Paid
2019,03,809 Tri- County BLVD,37840,15,3/1/2019,,,"HS,PK,K,1,2,3,4,5",TN,Oliver Springs,0,220,1906,236,212,15,Norwood Elementary,0080,00010,Anderson County,Y,0,2912,337,,,,,,,,,15,,,,,,,,,TN,2912,194.133333333,1906,127.066666667,TN@0080@00010,SY18-19,,212,0.896275777,Primary,,,,,,,,,470009000020,0,24
2019,03,803 Tri- County BLVD,37840,15,3/1/2019,,,"6,7,8",TN,Oliver Springs,0,147,1266,179,160,15,Norwood Middle,0085,00010,Anderson County,Y,0,2122,246,,,,,,,,,15,,,,,,,,,TN,2122,141.466666667,1266,84.4,TN@0085@00010,SY18-19,,160,0.896114865,Middle,,,,,,,,,470009000021,0,19
2019,03,160 Maverick CIR,37716,15,3/1/2019,,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",TN,Clinton,0,80,695,118,106,15,Clinch River Community School,0105,00010,Anderson County,Y,0,927,107,,,,,,,,,15,,,,,,,,,TN,927,61.8,695,46.333333333,TN@0105@00010,SY18-19,,106,0.896518375,Other,,,,,,,,,470009002291,0,12
2019,03,210  N  Hicks ST,37716,14,3/1/2019,,,"K,1,2,3,4,5,6",TN,Clinton,246,496,856,520,150,14,Clinton Elementary,0005,00011,Clinton City,,486,1496,1341,,,,,,,,,14,,,,,,,,,TN,1982,141.571428571,1102,78.714285714,TN@0005@00011,SY18-19,,207,,Primary,,,,,,,,,470072000271,57,313
2019,03,305  Beets  ST,37716,14,3/1/2019,,,"PK,K,1,2,3,4,5,6",TN,Clinton,0,0,2062,180,180,14,North Clinton,0010,00011,Clinton City,Y,0,2097,0,,,,,,,,,14,,,,,,,,,TN,2097,149.785714286,2062,147.285714286,TN@0010@00011,SY18-19,,180,1,Primary,,,,,,,,,470072000272,0,0
2019,03,242  Hiway  DR,37716,14,3/1/2019,,,"K,1,2,3,4,5,6",TN,Clinton,164,276,755,262,114,14,South Clinton,0015,00011,Clinton City,,324,1173,552,,,,,,,,,14,,,,,,,,,TN,1497,106.928571429,919,65.642857143,TN@0015@00011,SY18-19,,148,,Primary,,,,,,,,,470072001949,34,114
2019,03,125 Audubon RD,37830,15,3/1/2019,,,"K,1,2,3,4",TN,Oak Ridge,0,754,2833,384,303,15,Glenwood Elementary,0015,00012,Oak Ridge City,Y,0,2739,729,,,,,,,,,15,,,,,,,,,TN,2739,182.6,2833,188.866666667,TN@0015@00012,SY18-19,,303,0.789792388,Primary,,,,,,,,,470324001393,0,81
2019,03,200  Fairbanks  RD,37830,11,3/1/2019,,,"5,6,7,8",TN,Oak Ridge,192,149,745,700,240,11,Jefferson Middle,0025,00012,Oak Ridge City,,556,1802,1101,,,,,,,,,11,,,,,,,,,TN,2358,214.363636364,937,85.181818182,TN@0025@00012,SY18-19,,315,,Middle,,,,,,,,,470324001394,75,385
2019,03,700  Robertsville  RD,37830,15,3/1/2019,,,"K,1,2,3,4",TN,Oak Ridge,202,214,1557,421,160,15,Linden Elementary,0030,00012,Oak Ridge City,,384,1575,701,,,,,,,,,15,,,,,,,,,TN,1959,130.6,1759,117.266666667,TN@0030@00012,SY18-19,,204,,Primary,,,,,,,,,470324001395,44,217
2019,03,1450 Oak Ridge Turnpike,37830,15,3/1/2019,,,"9,10,11,12",TN,Oak Ridge,110,96,719,1302,389,15,Oak Ridge High School,0035,00012,Oak Ridge City,,691,2252,987,,,,,,,,,15,,,,,,,,,TN,2943,196.2,829,55.266666667,TN@0035@00012,SY18-19,,508,,High,,,,,,,,,470324001396,119,794
2019,03,245  Robertsville  RD,37830,15,3/1/2019,,,"5,6,7,8",TN,Oak Ridge,157,86,721,720,347,15,Robertsville Middle School,0040,00012,Oak Ridge City,,627,2481,898,,,,,,,,,15,,,,,,,,,TN,3108,207.2,878,58.533333333,TN@0040@00012,SY18-19,,436,,Middle,,,,,,,,,470324001397,89,284
2019,03,298  Robertsville  RD,37830,15,3/1/2019,,,"K,1,2,3,4",TN,Oak Ridge,0,790,2966,333,263,15,Willow Brook Elementary,0045,00012,Oak Ridge City,Y,0,2481,660,,,,,,,,,15,,,,,,,,,TN,2481,165.4,2966,197.733333333,TN@0045@00012,SY18-19,,263,0.789875836,Primary,,,,,,,,,470324001398,0,70
2019,03,168  Manhattan  AVE,37830,15,3/1/2019,,,"K,1,2,3,4",TN,Oak Ridge,103,191,764,412,134,15,Woodland Elementary,0050,00012,Oak Ridge City,,257,1257,938,,,,,,,,,15,,,,,,,,,TN,1514,100.933333333,867,57.8,TN@0050@00012,SY18-19,,166,,Primary,,,,,,,,,470324001399,32,246
2019,03,2998  Fairfield  PIKE,37183,15,3/1/2019,,,"K,1,2,3,4,5",TN,Wartrace,0,1892,5695,558,419,15,Cascade Elementary,0012,00020,Bedford County,Y,0,4895,1627,,,,,,,,,15,,,,,,,,,TN,4895,326.333333333,5695,379.666666667,TN@0012@00020,SY18-19,,419,0.750536645,Primary,,,,,,,,,470018000578,0,139
2019,03,1165  Bell  Bckle/Wartrace,37183,15,3/1/2019,,,"9,10,11,12",TN,Wartrace,0,463,1394,479,360,15,Cascade High School,0013,00020,Bedford County,Y,0,3469,1153,,,,,,,,,15,,,,,,,,,TN,3469,231.266666667,1394,92.933333333,TN@0013@00020,SY18-19,,360,0.750540891,High,,,,,,,,,470018000034,0,119
2019,03,1100  Glenoaks  RD,37160,15,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Shelbyville,0,2192,6597,673,505,15,Eakin Elementary,0015,00020,Bedford County,Y,0,6836,2271,,,,,,,,,15,,,,,,,,,TN,6836,455.733333333,6597,439.8,TN@0015@00020,SY18-19,,505,0.750631382,Primary,,,,,,,,,470018000035,0,168
2019,03,1165 Bell Buckle Wartrace RD,37183,15,3/1/2019,,,"6,7,8",TN,Wartrace,0,389,1171,397,298,15,Cascade Middle School,0017,00020,Bedford County,Y,0,3577,1188,,,,,,,,,15,,,,,,,,,TN,3577,238.466666667,1171,78.066666667,TN@0017@00020,SY18-19,,298,0.750682057,Middle,,,,,,,,,470018002276,0,99
2019,03,401  Eagle  BLVD,37160,15,3/1/2019,,,"9,10,11,12",TN,Shelbyville,0,1184,3563,1388,1042,15,Central High School,0020,00020,Bedford County,Y,0,9823,3264,,,,,,,,,15,,,,,,,,,TN,9823,654.866666667,3563,237.533333333,TN@0020@00020,SY18-19,,1042,0.750592191,High,,,,,,,,,470018000036,0,346
2019,03,570 Eagle BLVD,37160,15,3/1/2019,,,"6,7,8",TN,Shelbyville,0,1336,4021,1016,763,15,Harris Middle,0025,00020,Bedford County,Y,0,10140,3369,,,,,,,,,15,,,,,,,,,TN,10140,676,4021,268.066666667,TN@0025@00020,SY18-19,,763,0.750610704,Middle,,,,,,,,,470018000037,0,253
2019,03,3480 Highway  41a,37180,15,3/1/2019,,,"K,1,2,3,4,5",TN,Unionville,0,2283,6870,623,468,15,Community Elementary,0033,00020,Bedford County,Y,0,5813,1931,,,,,,,,,15,,,,,,,,,TN,5813,387.533333333,6870,458,TN@0033@00020,SY18-19,,468,0.750645661,Primary,,,,,,,,,470018000582,0,155
2019,03,100 Community Crossing,37180,15,3/1/2019,,,"9,10,11,12",TN,Unionville,0,223,672,499,375,15,Community High School,0035,00020,Bedford County,Y,0,4054,1347,,,,,,,,,15,,,,,,,,,TN,4054,270.266666667,672,44.8,TN@0035@00020,SY18-19,,375,0.750601740,High,,,,,,,,,470018000039,0,124
2019,03,3470 Hwy 41A RD,37180,15,3/1/2019,,,"6,7,8",TN,Unionville,0,469,1410,413,310,15,Community Middle School,0037,00020,Bedford County,Y,0,3836,1275,,,,,,,,,15,,,,,,,,,TN,3836,255.733333333,1410,94,TN@0037@00020,SY18-19,,310,0.750538055,Middle,,,,,,,,,470018002218,0,103
2019,03,200 Learning Way DR,37160,15,3/1/2019,,,"K,1,2,3,4,5",TN,Shelbyville,0,1063,3200,511,384,15,Learning Way Elementary,0039,00020,Bedford County,Y,0,5299,1761,,,,,,,,,15,,,,,,,,,TN,5299,353.266666667,3200,213.333333333,TN@0039@00020,SY18-19,,384,0.750566572,Primary,,,,,,,,,470018002222,0,127
2019,03,421  Elliott  ST,37160,15,3/1/2019,,,"K,1,2,3,4,5",TN,Shelbyville,0,1480,4453,422,317,15,East Side Elementary,0040,00020,Bedford County,Y,0,4631,1539,,,,,,,,,15,,,,,,,,,TN,4631,308.733333333,4453,296.866666667,TN@0040@00020,SY18-19,,317,0.750567261,Primary,,,,,,,,,470018000040,0,105
2019,03,500  Snell  RD,37160,15,3/1/2019,,,"K,1,2,3,4,5,6,7,8",TN,Shelbyville,0,2322,6988,712,534,15,Liberty,0053,00020,Bedford County,Y,0,6523,2167,,,,,,,,,15,,,,,,,,,TN,6523,434.866666667,6988,465.866666667,TN@0053@00020,SY18-19,,534,0.750632911,Other,,,,,,,,,470018000042,0,178
2019,03,903  Cannon  BLVD,37160,15,3/1/2019,,,"K,1,2,3,4,5",TN,Shelbyville,0,1305,3927,373,280,15,South Side Elementary,0075,00020,Bedford County,Y,0,4066,1351,,,,,,,,,15,,,,,,,,,TN,4066,271.066666667,3927,261.8,TN@0075@00020,SY18-19,,280,0.750599963,Primary,,,,,,,,,470018000044,0,93
2019,03,515 Tate Avenue,37160,15,3/1/2019,,,"PK,K,1,2,3,4,5,9,10,11,12",TN,Shelbyville,0,1225,3686,419,315,15,Thomas Magnet School,0078,00020,Bedford County,Y,0,3920,1302,,,,,,,,,15,,,,,,,,,TN,3920,261.333333333,3686,245.733333333,TN@0078@00020,SY18-19,,315,0.750670241,Other,,,,,,,,,470018000041,0,104
2019,03,175 Briarwood AVE,38320,18.5,3/1/2019,,,,TN,Camden,,,,,,,Benton County Academy,0004,00030,Benton County,,,,,,,,,,,,,18.5,,,,,,,,,TN,,,,,TN@0004@00030,SY18-19,,,,,,,,,,,,,470024000250,,
2019,03,155  Schools  DR,38320,18.5,3/1/2019,,,,TN,Camden,,,,,,,Senator Frank P. Lashlee Career & Technical Center,0009,00030,Benton County,,,,,,,,,,,,,18.5,,,,,,,,,TN,,,,,TN@0009@00030,SY18-19,,,,,,,,,,,,,470024001828,,
2019,03,13305 Highway  69 A,38221,20,3/1/2019,,,"K,1,2,3,4,5,6,7,8,9,10,11,12",TN,Big Sandy,123,431,1590,278,167,20,Big Sandy School,0010,00030,Benton County,,173,2198,715,,,,,,,,,20,,,,,,,,,TN,2371,118.55,1713,85.65,TN@0010@00030,SY18-19,,186,,Other,,,,,,,,,470024000049,19,92
2019,03,169 Briarwood AVE,38320,20,3/1/2019,,,"3,4,5",TN,Camden,553,2148,3784,424,235,20,Briarwood Middle School,0015,00030,Benton County,,601,4093,1708,,,,,,,,,20,,,,,,,,,TN,4694,234.7,4337,216.85,TN@0015@00030,SY18-19,,271,,Primary,,,,,,,,,470024000050,36,153
2019,03,208  Washington  AVE,38320,20,3/1/2019,,,"PK,K,1,2",TN,Camden,545,2664,5113,488,290,20,Camden Elementary,0020,00030,Benton County,,452,4302,1360,,,,,,,,,20,,,,,,,,,TN,4754,237.7,5658,282.9,TN@0020@00030,SY18-19,,322,,Primary,,,,,,,,,470024000051,32,166
2019,03,115  Schools  DR,38320,20,3/1/2019,,,"9,10,11,12",TN,Camden,288,1660,2720,579,335,20,Camden Central High,0025,00030,Benton County,,502,4310,2596,,,,,,,,,20,,,,,,,,,TN,4812,240.6,3008,150.4,TN@0025@00030,SY18-19,,381,,High,,,,,,,,,470024000052,46,198
2019,03,75  Schools  DR,38320,20,3/1/2019,,,"6,7,8",TN,Camden,428,2557,3688,367,206,20,Camden Jr. High School,0027,00030,Benton County,,389,3209,1457,,,,,,,,,20,,,,,,,,,TN,3598,179.9,4116,205.8,TN@0027@00030,SY18-19,,230,,Middle,,,,,,,,,470024001033,24,137
2019,03,148  Stokes  RD,38341,20,3/1/2019,,,"K,1,2,3,4,5,6,7,8",TN,Holladay,174,491,1219,128,80,20,Holladay Elementary,0030,00030,Benton County,,196,1325,441,,,,,,,,,20,,,,,,,,,TN,1521,76.05,1393,69.65,TN@0030@00030,SY18-19,,92,,Other,,,,,,,,,470024000053,12,36
2019,03,877 Main ST,37367,16,3/1/2019,,,"9,10,11,12",TN,Pikeville,0,1656,4163,498,356,16,Bledsoe County High,0005,00040,Bledsoe County,Y,0,5271,2097,,,,,,,,,16,,,,,,,,,TN,5271,329.4375,4163,260.1875,TN@0005@00040,SY18-19,,356,0.715390879,High,,,,,,,,,470027000055,0,142
2019,03,857 Main ST,37367,16,3/1/2019,,,"6,7,8",TN,Pikeville,0,1383,3478,396,283,16,Bledsoe Middle School,0006,00040,Bledsoe County,Y,0,4181,1663,,,,,,,,,16,,,,,,,,,TN,4181,261.3125,3478,217.375,TN@0006@00040,SY18-19,,283,0.715434634,Middle,,,,,,,,,470027001035,0,113
2019,03,8231 New Harmony RD,37367,16,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Pikeville,0,296,1617,160,135,16,Cecil B. Rigsby Elementary,0010,00040,Bledsoe County,Y,0,1854,339,,,,,,,,,16,,,,,,,,,TN,1854,115.875,1617,101.0625,TN@0010@00040,SY18-19,,135,0.845417237,Primary,,,,,,,,,470027000057,0,25
2019,03,33073 S R 30,37367,16,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Pikeville,0,496,2715,244,206,16,Mary V. Wheeler Elementary,0025,00040,Bledsoe County,Y,0,2831,518,,,,,,,,,16,,,,,,,,,TN,2831,176.9375,2715,169.6875,TN@0025@00040,SY18-19,,206,0.845326963,Primary,,,,,,,,,470027000059,0,38
2019,03,41068 S R 30,37367,16,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Pikeville,0,890,4865,410,347,16,Pikeville Elementary,0030,00040,Bledsoe County,Y,0,5022,918,,,,,,,,,16,,,,,,,,,TN,5022,313.875,4865,304.0625,TN@0030@00040,SY18-19,,347,0.845454545,Primary,,,,,,,,,470027000060,0,63
2019,03,915 Huffstetler RD,37803,15,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Maryville,188,576,1535,522,203,15,Carpenters Elementary School,0022,00050,Blount County,,294,2403,1904,,,,,,,,,15,,,,,,,,,TN,2697,179.8,1723,114.866666667,TN@0022@00050,SY18-19,,230,,Primary,,,,,,,,,470030002099,27,292
2019,03,920 Huffstetler RD,37803,15,3/1/2019,,,"6,7,8",TN,Maryville,247,517,1840,617,231,15,Carpenters Middle,0023,00050,Blount County,,567,2834,2276,,,,,,,,,15,,,,,,,,,TN,3401,226.733333333,2087,139.133333333,TN@0023@00050,SY18-19,,285,,Middle,,,,,,,,,470030001387,54,332
2019,03,2610 Cinema DR,37804,15,3/1/2019,,,"K,1,2,3,4,5",TN,Maryville,228,467,1846,471,257,15,Eagleton Elementary,0030,00050,Blount County,,548,2931,1038,,,,,,,,,15,,,,,,,,,TN,3479,231.933333333,2074,138.266666667,TN@0030@00050,SY18-19,,306,,Primary,,,,,,,,,470030000065,49,165
2019,03,708 Sam Houston School RD,37804,15,3/1/2019,,,"6,7,8",TN,Maryville,0,921,1871,357,239,15,Eagleton Middle,0043,00050,Blount County,Y,0,2861,1408,,,,,,,,,15,,,,,,,,,TN,2861,190.733333333,1871,124.733333333,TN@0043@00050,SY18-19,,239,0.670180370,Middle,,,,,,,,,470030001669,0,118
2019,03,2130  Old  Niles Ferry,37803,15,3/1/2019,,,"K,1,2,3,4,5",TN,Maryville,161,350,744,297,115,15,Fairview Elementary,0045,00050,Blount County,,296,1251,978,,,,,,,,,15,,,,,,,,,TN,1547,103.133333333,905,60.333333333,TN@0045@00050,SY18-19,,145,,Primary,,,,,,,,,470030000068,30,152
2019,03,210 E  4th AVE,37777,15,3/1/2019,,,"K,1,2,3,4,5",TN,Friendsville,85,565,609,219,79,15,Friendsville Elementary,0055,00050,Blount County,,183,992,1069,,,,,,,,,15,,,,,,,,,TN,1175,78.333333333,694,46.266666667,TN@0055@00050,SY18-19,,94,,Primary,,,,,,,,,470030000070,15,125
2019,03,3737  E  Lamar Alex Pkwy,37804,15,3/1/2019,,,"6,7,8",TN,Maryville,292,534,1624,779,294,15,Heritage Middle,0061,00050,Blount County,,598,3294,2254,,,,,,,,,15,,,,,,,,,TN,3892,259.466666667,1916,127.733333333,TN@0061@00050,SY18-19,,352,,Middle,,,,,,,,,470030001041,58,427
2019,03,3741  E  Lamar Alex Pkwy,37804,15,3/1/2019,,,"9,10,11,12",TN,Maryville,562,1584,3018,1239,464,15,Heritage High,0063,00050,Blount County,,1125,4583,4822,,,,,,,,,15,,,,,,,,,TN,5708,380.533333333,3580,238.666666667,TN@0063@00050,SY18-19,,572,,High,,,,,,,,,470030000072,108,667
2019,03,6006 Lanier RD,37742,15,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Maryville,0,1207,2452,293,196,15,Lanier Elementary,0070,00050,Blount County,Y,0,2515,1237,,,,,,,,,15,,,,,,,,,TN,2515,167.666666667,2452,163.466666667,TN@0070@00050,SY18-19,,196,0.670309168,Primary,,,,,,,,,470030000074,0,97
2019,03,334 South Old Grey Ridge RD,37737,15,3/1/2019,,,"6,7,8",TN,Friendsville,229,501,1793,613,255,15,Union Grove Middle,0084,00050,Blount County,,451,2794,1758,,,,,,,,,15,,,,,,,,,TN,3245,216.333333333,2022,134.8,TN@0084@00050,SY18-19,,297,,Middle,,,,,,,,,470030001652,42,316
2019,03,131 South Old Glory RD,37801,15,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Maryville,0,1865,3790,595,399,15,Mary Blount Elementary,0090,00050,Blount County,Y,0,4716,2321,,,,,,,,,15,,,,,,,,,TN,4716,314.4,3790,252.666666667,TN@0090@00050,SY18-19,,399,0.670171948,Primary,,,,,,,,,470030001991,0,196
2019,03,3105  Miser  Station RD,37777,15,3/1/2019,,,"PK,K,1,2,3,4,5",TN,Louisville,225,774,1231,351,138,15,Middlesettlements,0093,00050,Blount County,,301,1647,1338,,,,,,,,,15,,,,,,,,,TN,1948,129.866666667,1456,97.066666667,TN@0093@00050,SY18-19,,163,,Primary,,,,,,,,,470030001873,25,188
2019,03,3128  Montvale  RD,37803,15,3/1/2019,,,"K,1,2,3,4,5",TN,Maryville,151,306,1369,323,156,15,Montvale Elementary,0094,00050,Blount County,,256,1947,1019,,,,,,,,,15,,,,,,,,,TN,2203,146.866666667,1520,101.333333333,TN@0094@00050,SY18-19,,191,,Primary,,,,,,,,,470030001916,35,132
2019,03,4520  Wildwood  Springs RD,37804,15,3/1/2019,,,"K,1,2,3,4,5",TN,Maryville,104,264,527,248,87,15,Porter Elementary,0095,00050,Blount County,,180,968,832,,,,,,,,,15,,,,,,,,,TN,1148,76.533333333,631,42.066666667,TN@0095@00050,SY18-19,,106,,Primary,,,,,,,,,470030000078,19,142
