Enrollment-Paid,Provision 2 (Y/N),BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Type-Original,School Level-Standardized,FR Enrollment Percentage,Enrollment-Reduced,Enrollment-Free,FR Enrollment,Target Area,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,State-Physical,Claim Year,School Year,State-Reporting,Enrollment-Free and Reduced,ISP,District ID,District Name,School ID,School Name,County,Claim Month,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,CEP (Y/N),NCES ID
,,,,,,,,,,,,,,,,NE@0002@000003,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0002,Brook Valley North,Sarpy,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000003,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0002,Brook Valley North,Sarpy,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000003,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0002,Brook Valley North,Sarpy,5,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,30.6,,NE@0002@000003,,,25.7,514,,,,,,,,,,514,9/1/2017,,,,,,,,,,2017,SY17-18,NE,30.6,,000003,ESU #3,0002,Brook Valley North,Sarpy,9,,,,480,34,41,18.5,20,,45,,
,,,,,,,,,,,,,,28.6,,NE@0002@000003,,,24.473684211,465,,,,,,,,,,465,10/1/2017,,,,,,,,,,2017,SY17-18,NE,28.6,,000003,ESU #3,0002,Brook Valley North,Sarpy,10,,,,446,19,53,18.5,19,,44,,
,,,,,,,,,,,,,,28.8,,NE@0002@000003,,,24.052631579,457,,,,,,,,,,457,11/1/2017,,,,,,,,,,2017,SY17-18,NE,28.8,,000003,ESU #3,0002,Brook Valley North,Sarpy,11,,,,441,16,53,18.5,19,,45,,
,,,,,,,,,,,,,,28.8,,NE@0002@000003,,,24.733333333,371,,,,,,,,,,371,12/1/2017,,,,,,,,,,2017,SY17-18,NE,28.8,,000003,ESU #3,0002,Brook Valley North,Sarpy,12,,,,357,14,43,18.5,15,,45,,
,,,,,,,,,,,,,,,,NE@0003@000003,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0003,Brook Valley South,Sarpy,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000003,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0003,Brook Valley South,Sarpy,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000003,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0003,Brook Valley South,Sarpy,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000003,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0003,Brook Valley South,Sarpy,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000003,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000003,ESU #3,0003,Brook Valley South,Sarpy,5,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,24.4,,NE@0003@000003,,,20.4,408,,,,,,,,,,408,9/1/2017,,,,,,,,,,2017,SY17-18,NE,24.4,,000003,ESU #3,0003,Brook Valley South,Sarpy,9,,,,319,89,133,18.5,20,,61,,
,,,,,,,,,,,,,,36.75,,NE@0003@000003,,,21.315789474,405,,,,,,,,,,405,10/1/2017,,,,,,,,,,2017,SY17-18,NE,36.75,,000003,ESU #3,0003,Brook Valley South,Sarpy,10,,,,320,85,163,18.5,19,,75,,
,,,,,,,,,,,,,,41.87,,NE@0003@000003,,,25.684210526,488,,,,,,,,,,488,11/1/2017,,,,,,,,,,2017,SY17-18,NE,41.87,,000003,ESU #3,0003,Brook Valley South,Sarpy,11,,,,373,115,129,18.5,19,,79,,
,,,,,,,,,,,,,,42.93,,NE@0003@000003,,,27.066666667,406,,,,,,,,,,406,12/1/2017,,,,,,,,,,2017,SY17-18,NE,42.93,,000003,ESU #3,0003,Brook Valley South,Sarpy,12,,,,325,81,106,18.5,15,,81,,
,,,,,,,,,,,,,,,,NE@0001@000004,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000004,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000004,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000004,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000004,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,5,,,,,,,18.5,18.5,,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0001@000004,0,0,0,0,,,,,,,,,0,0,9/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,9,0,0,255,0,0,315,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0001@000004,0,0,0,0,,,,,,,,,0,0,10/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,10,0,0,245,0,0,307,19,19,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0001@000004,0,0,0,0,,,,,,,,,0,0,11/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,11,0,0,244,0,0,308,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0001@000004,0,0,0,0,,,,,,,,,0,0,12/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0001,NCECBVI/ESU4,Otoe,12,0,0,193,0,0,231,16,16,TRADITIONAL,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,5,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,3,54,,,,,,,,,,54,9/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,9,,,,41,13,16,18.5,18,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,2.6875,43,,,,,,,,,,43,10/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,10,,,,28,15,28,18.5,16,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,1.705882353,29,,,,,,,,,,29,11/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,11,,,,12,17,47,18.5,17,,,,
,,,,,,,,,,,,,,,,NE@0002@000004,,,2.071428571,29,,,,,,,,,,29,12/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000004,ESU #4,0002,ESU4 Learning Center,Otoe,12,,,,15,14,40,18.5,14,,,,
,,,,,,,,,,,,,,,,NE@0001@000008,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0001,Norfolk,Antelope,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000008,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0001,Norfolk,Antelope,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000008,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0001,Norfolk,Antelope,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000008,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0001,Norfolk,Antelope,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000008,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0001,Norfolk,Antelope,5,,,,,,,18.5,18.5,,,,
,,,,Cafeteria,,,,,,,,,,14.96,,NE@0001@000008,7.95,159,9.85,197,,,,,,,,,159,197,9/1/2017,,,,,,,,,,2017,SY17-18,NE,14.96,,000008,ESU #8,0001,Norfolk,Antelope,9,133,26,20,160,37,58,20,20,TRADITIONAL,22,,
,,,,Cafeteria,,,,,,,,,,10.88,,NE@0001@000008,7.318181818,161,6.818181818,150,,,,,,,,,161,150,10/1/2017,,,,,,,,,,2017,SY17-18,NE,10.88,,000008,ESU #8,0001,Norfolk,Antelope,10,106,55,21,109,41,52,22,22,TRADITIONAL,17,,
,,,,Cafeteria,,,,,,,,,,10.88,,NE@0001@000008,7.65,153,8.05,161,,,,,,,,,153,161,11/1/2017,,,,,,,,,,2017,SY17-18,NE,10.88,,000008,ESU #8,0001,Norfolk,Antelope,11,97,56,17,111,50,49,20,20,TRADITIONAL,17,,
,,,,Cafeteria,,,,,,,,,,10.88,,NE@0001@000008,7.5,120,7.75,124,,,,,,,,,120,124,12/1/2017,,,,,,,,,,2017,SY17-18,NE,10.88,,000008,ESU #8,0001,Norfolk,Antelope,12,74,46,14,87,37,37,16,16,TRADITIONAL,17,,
,,,,,,,,,,,,,,,,NE@0002@000008,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000008,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000008,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000008,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0002@000008,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,5,,,,,,,18.5,18.5,,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0002@000008,1.7,34,4.1,82,,,,,,,,,34,82,9/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,9,34,0,0,82,0,0,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0002@000008,1.636363636,36,4.454545455,98,,,,,,,,,36,98,10/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,10,36,0,0,93,5,0,22,22,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0002@000008,1.45,29,4.05,81,,,,,,,,,29,81,11/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,11,29,0,0,74,7,0,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0002@000008,1.125,18,4.0625,65,,,,,,,,,18,65,12/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0002,Neligh,Antelope,12,18,0,0,52,13,0,16,16,TRADITIONAL,,,
,,,,,,,,,,,,,,,,NE@0003@000008,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000008,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000008,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000008,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0003@000008,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,5,,,,,,,18.5,18.5,,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0003@000008,0.9,18,1.3,26,,,,,,,,,18,26,9/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,9,0,18,0,13,13,0,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0003@000008,0.818181818,18,1.5,33,,,,,,,,,18,33,10/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,10,0,18,0,17,16,0,22,22,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0003@000008,0.85,17,1.55,31,,,,,,,,,17,31,11/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,11,0,17,0,16,15,0,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0003@000008,0.8125,13,1.4375,23,,,,,,,,,13,23,12/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0003,O'Neill,Antelope,12,0,13,0,12,11,0,16,16,TRADITIONAL,,,
,,,,,,,,,,,,,,,,NE@0004@000008,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0004@000008,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0004@000008,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0004@000008,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0004@000008,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,5,,,,,,,18.5,18.5,,,,
,,,,Cafeteria,,,,,,,,,,12,,NE@0004@000008,4.75,95,7,140,,,,,,,,,95,140,9/1/2017,,,,,,,,,,2017,SY17-18,NE,12,,000008,ESU #8,0004,Neligh South,Antelope,9,62,33,4,99,41,64,20,20,TRADITIONAL,20,,
,,,,Cafeteria,,,,,,,,,,,,NE@0004@000008,4.272727273,94,5.772727273,127,,,,,,,,,94,127,10/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,10,54,40,16,89,38,91,22,22,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0004@000008,4.2,84,6.7,134,,,,,,,,,84,134,11/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,11,45,39,16,98,36,75,20,20,TRADITIONAL,,,
,,,,Cafeteria,,,,,,,,,,,,NE@0004@000008,3.8125,61,6.125,98,,,,,,,,,61,98,12/1/2017,,,,,,,,,,2017,SY17-18,NE,,,000008,ESU #8,0004,Neligh South,Antelope,12,30,31,15,71,27,63,16,16,TRADITIONAL,,,
,,,,,,,,,,,,,,,,NE@0001@000013,,,,,,,,,,,,,,,1/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000013,ESU #13,0001,Meridan,Scotts Bluff,1,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000013,,,,,,,,,,,,,,,2/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000013,ESU #13,0001,Meridan,Scotts Bluff,2,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000013,,,,,,,,,,,,,,,3/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000013,ESU #13,0001,Meridan,Scotts Bluff,3,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000013,,,,,,,,,,,,,,,4/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000013,ESU #13,0001,Meridan,Scotts Bluff,4,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,,,NE@0001@000013,,,,,,,,,,,,,,,5/1/2018,,,,,,,,,,2018,SY17-18,NE,,,000013,ESU #13,0001,Meridan,Scotts Bluff,5,,,,,,,18.5,18.5,,,,
,,,,,,,,,,,,,,14.96,,NE@0001@000013,,,11.631578947,221,,,,,,,,,,221,9/1/2017,,,,,,,,,,2017,SY17-18,NE,14.96,,000013,ESU #13,0001,Meridan,Scotts Bluff,9,,,,185,36,21,18.5,19,,17,,
,,,,,,,,,,,,,,14.94,,NE@0001@000013,,,10.705882353,182,,,,,,,,,,182,10/1/2017,,,,,,,,,,2017,SY17-18,NE,14.94,,000013,ESU #13,0001,Meridan,Scotts Bluff,10,,,,146,36,37,18.5,17,,18,,
,,,,,,,,,,,,,,14.94,,NE@0001@000013,,,10.210526316,194,,,,,,,,,,194,11/1/2017,,,,,,,,,,2017,SY17-18,NE,14.94,,000013,ESU #13,0001,Meridan,Scotts Bluff,11,,,,142,52,38,18.5,19,,18,,
,,,,,,,,,,,,,,13.94,,NE@0001@000013,,,11.266666667,169,,,,,,,,,,169,12/1/2017,,,,,,,,,,2017,SY17-18,NE,13.94,,000013,ESU #13,0001,Meridan,Scotts Bluff,12,,,,123,46,36,18.5,15,,17,,
,,,,Cafeteria,,,,,,,,,,80.64,,NE@0001@010003,30.947368421,588,72.210526316,1372,,,,,,,,,588,1372,1/1/2018,,,,,,,,,,2018,SY17-18,NE,80.64,,010003,Kenesaw Public School,0001,Kenesaw Public School,Adams,1,442,146,229,967,405,2881,19,19,TRADITIONAL,252,,
