IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
59,Ada Elementary School,Elementary School,Public School,Hardin,"435 Grand Ave, Ada, Ohio, 45810",45187
67,Ada High School,High School,Public School,Hardin,"435 Grand Ave, Ada, Ohio, 45810",45187
83,Sandusky Middle School,Middle School,Public School,Erie,"318 Columbus Ave, Sandusky, Ohio, 44870",44743
117,Adamsville Elementary School,Elementary School,Public School,Muskingum,"7950 East St, Adamsville, Ohio, 43802",48876
141,Addaville Elementary School,Elementary School,Public School,Gallia,"1333 Brick School Rd, Gallipolis, Ohio, 45631",65680
190,Buckeye West Elementary School,Elementary School,Public School,Jefferson,"243 N Mill St, Adena, Ohio, 43901",47787
208,Adena High School,High School,Public School,Ross,"3367 County Road 550, Frankfort, Ohio, 45628",49494
224,Adlai Stevenson School,Elementary School,Public School,Cuyahoga,"18300 Woda, Cleveland, Ohio, 44122",43786
232,Adrian Elementary School,Elementary School,Public School,Cuyahoga,"1071 Homestead Rd, South Euclid, Ohio, 44121",44792
257,Alexander Elementary School,Elementary School,Public School,Athens,"6105 School Road, Albany, Ohio, 45710",45906
265,Albion Elementary School,Elementary School,Public School,Cuyahoga,"9360 Albion Rd, North Royalton, Ohio, 44133",44545
315,Alexander Jr. / Sr. High School,High School,Public School,Athens,"6125 School Rd, Albany, Ohio, 45710",45906
349,Upper Scioto Valley Middle School,Middle School,Public School,Hardin,"510 South Courtright Street, Mc Guffey, Ohio, 45859",47522
356,Genoa Elementary,Elementary School,Public School,Ottawa,"2820 N Genoa Clay Center Rd, Genoa, Ohio, 43430",48942
364,Allen East High School,High School,Public School,Allen,"9105 Harding Hwy, Harrod, Ohio, 45850",45757
398,Allen Elementary School,Elementary School,Public School,Ross,"174 Plyleys Ln, Chillicothe, Ohio, 45601",43745
406,Allen Elementary School,Elementary School,Public School,Stark,"1326 Sherrick Rd SE, Canton, Ohio, 44707",43711
448,Allen East Elementary School,Elementary School,Public School,Allen,"9105 Harding Hwy, Harrod, Ohio, 45850",45757
455,West Elementary,Elementary School,Public School,Vinton,"57710 US Highway 50, Mc Arthur, Ohio, 45651",50393
463,Alliance High School,High School,Public School,Stark,"400 Glamorgan St, Alliance, Ohio, 44601",43497
471,Sharpsburg Primary ,Elementary School,Public School,Hamilton,"4321 Forest Ave, Norwood, Ohio, 45212",44578
489,Almira,Elementary School,Public School,Cuyahoga,"3375 W 99th St, Cleveland, Ohio, 44102",43786
497,Alpine Elementary School,Elementary School,Public School,Franklin,"1590 Alpine Dr, Columbus, Ohio, 43229",43802
505,Alton Hall Elementary School,Elementary School,Public School,Franklin,"982 Alton Rd, Galloway, Ohio, 43119",44800
513,Columbus Scioto 6-12,High School,Public School,Franklin,"2951 S High St, Columbus, Ohio, 43207",43802
539,Amanda-Clearcreek Elementary School,Elementary School,Public School,Fairfield,"328 E Main St, Amanda, Ohio, 43102",46847
547,Amanda Elementary School,Elementary School,Public School,Butler,"1300 Oxford State Rd, Middletown, Ohio, 45044",44404
562,Amanda-Clearcreek High School,High School,Public School,Fairfield,"328 E Main St, Amanda, Ohio, 43102",46847
596,Amelia Elementary School,Elementary School,Public School,Clermont,"5 E Main St, Amelia, Ohio, 45102",46359
612,West Clermont Middle School,Middle School,Public School,Clermont,"1351 Clough Pike, Batavia, Ohio, 45103",46359
620,Amesville Elementary School,Elementary School,Public School,Athens,"St. Rte. 329, Amesville, Ohio, 45711",45914
638,Amherst Elementary School,Elementary School,Public School,Stark,"8750 Jane St NW, Massillon, Ohio, 44646",49858
653,Amity Elementary School,Elementary School,Public School,Hamilton,"4320 E Galbraith Rd, Cincinnati, Ohio, 45236",43851
687,Anderson High School,High School,Public School,Hamilton,"7560 Forest Rd, Cincinnati, Ohio, 45255",47340
711,Pymatuning Valley Primary Elementary School,Elementary School,Public School,Ashtabula,"5571 State Route 6, Andover, Ohio, 44003",45880
729,Andrew J Rickoff ,Elementary School,Public School,Cuyahoga,"3500 E 147th St, Cleveland, Ohio, 44120",43786
737,Massillon Junior High School,Junior High School,Public School,Stark,"250 29th St NW, Massillon, Ohio, 44647",44354
745,Anna Elementary School,Elementary School,Public School,Shelby,"607 N Pike St, Anna, Ohio, 45302",49759
752,Anna High School,High School,Public School,Shelby,"1 McRill Way, Anna, Ohio, 45302",49759
760,Ansonia Elementary School,Elementary School,Public School,Darke,"600 E Canal St, Ansonia, Ohio, 45303",46623
778,Ansonia High School,High School,Public School,Darke,"600 E Canal St, Ansonia, Ohio, 45303",46623
802,Anthony Wayne Elementary School,Elementary School,Public School,Warren,"16 Farm Ave, Franklin, Ohio, 45005",44008
810,Anthony Wayne High School,High School,Public School,Lucas,"5967 Finzel Rd, Whitehouse, Ohio, 43571",48207
828,Anton Grdina ,Elementary School,Public School,Cuyahoga,"2955 E 71st St, Cleveland, Ohio, 44104",43786
836,Antwerp Local Elementary School,Elementary School,Public School,Paulding,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",48991
844,Antwerp Local High School,High School,Public School,Paulding,"303 S. Harrmann Rd, Antwerp, Ohio, 45813",48991
851,Apple Creek Elementary School,Elementary School,Public School,Wayne,"173 W Main St, Apple Creek, Ohio, 44606",50583
877,Applewood Elementary School,Elementary School,Public School,Medina,"3891 Applewood Dr, Brunswick, Ohio, 44212",43661
885,Arcadia Elementary School,Elementary School,Public School,Hancock,"19033 State Route 12, Arcadia, Ohio, 44804",47415
893,Arcadia High School,High School,Public School,Hancock,"19033 State Route 12, Arcadia, Ohio, 44804",47415
901,Arcanum Elementary School,Elementary School,Public School,Darke,"2011 Trojan Ave, Arcanum, Ohio, 45304",46631
919,Arcanum High School,High School,Public School,Darke,"2011 Trojan Ave, Arcanum, Ohio, 45304",46631
927,Archbold Elementary School,Elementary School,Public School,Fulton,"500 Lafayette St, Archbold, Ohio, 43502",47043
935,Archbold High School,High School,Public School,Fulton,"600 Lafayette St, Archbold, Ohio, 43502",47043
943,First Step Preschool and Daycare,Ungraded,Public School,Cuyahoga,"7700 Malibu Dr, Parma, Ohio, 44130",44636
943,First Step Preschool and Daycare,Prekindergarten Associate Certification Institution,Public School,Cuyahoga,"7700 Malibu Dr, Parma, Ohio, 44130",44636
950,Newton Falls Elementary School,Elementary School,Public School,Trumbull,"909 Milton Blvd, Newton Falls, Ohio, 44444",45567
968,Arlington Elementary School,Elementary School,Public School,Lucas,"707 Woodsdale Ave, Toledo, Ohio, 43609",44909
976,Arlington Local Elementary School,Elementary School,Public School,Hancock,"336 S Main St, Arlington, Ohio, 45814",47423
992,Arlington Local High School,High School,Public School,Hancock,"336 S Main St, Arlington, Ohio, 45814",47423
1024,Arrowhead Primary Elementary School,Elementary School,Public School,Summit,"1600 Raleigh Blvd, Copley, Ohio, 44321",49981
1040,Artemus Ward,Elementary School,Public School,Cuyahoga,"4315 W 140th St, Cleveland, Ohio, 44135",43786
1057,Arthur Road Elementary School,Elementary School,Public School,Cuyahoga,"33425 Arthur Rd, Solon, Ohio, 44139",46607
1073,Asbury Elementary School,Elementary School,Public School,Franklin,"5127 Harbor Blvd, Columbus, Ohio, 43232",46979
1081,Ashland High School,High School,Public School,Ashland,"1440 King Rd, Ashland, Ohio, 44805",43505
1099,Ashland Middle School,Middle School,Public School,Ashland,"1520 King Rd, Ashland, Ohio, 44805",43505
1107,Buckeye Valley East Elementary School,Elementary School,Public School,Delaware,"522 E High St, Ashley, Ohio, 43003",46755
1123,Lakeside High School,High School,Public School,Ashtabula,"6600 Sanborn Rd, Ashtabula, Ohio, 44004",43513
1131,Ashville Elementary School,Elementary School,Public School,Pickaway,"90 Walnut St, Ashville, Ohio, 43103",49098
1149,Athens High School,High School,Public School,Athens,"1 High School Rd, The Plains, Ohio, 45780",43521
1172,Atkinson Elementary School,Elementary School,Public School,Sandusky,"1100 Delaware Ave, Fremont, Ohio, 43420",44016
1180,Seneca East Elementary,Elementary School,Public School,Seneca,"13343 E US Highway 224, Attica, Ohio, 44807",49684
1198,Seneca East High School,High School,Public School,Seneca,"13343 E US Highway 224, Attica, Ohio, 44807",49684
1206,Waterloo Elementary School,Elementary School,Public School,Portage,"1464 Industry Rd, Atwater, Ohio, 44201",49247
1222,Auburn Elementary School,Elementary School,Public School,Richland,"109 Auburn Ave, Shelby, Ohio, 44875",44776
1230,Timmons Elementary School,Elementary School,Public School,Geauga,"9595 E Washington St, Chagrin Falls, Ohio, 44023",47191
1255,Oakwood Elementary School,Elementary School,Public School,Paulding,"309 N 1st St, Oakwood, Ohio, 45873",45575
1271,Augusta Elementary School,Elementary School,Public School,Carroll,"3117 Aurora Rd NE, Carrollton, Ohio, 44615",45278
1297,Aurora High School,High School,Public School,Portage,"109 W Pioneer Trl, Aurora, Ohio, 44202",49171
1313,Craddock Elementary School,Elementary School,Public School,Portage,"105 Hurd Rd, Aurora, Ohio, 44202",49171
1321,Austinburg Elementary School,Elementary School,Public School,Ashtabula,"3030 State Route 307, Austinburg, Ohio, 44010",44057
1339,Austintown Middle School,Middle School,Public School,Mahoning,"800 S Raccoon Rd, Youngstown, Ohio, 44515",48298
1347,Avery Elementary School,Elementary School,Public School,Franklin,"4388 Avery Rd, Hilliard, Ohio, 43026",47019
1354,Avon East Elementary School,Elementary School,Public School,Lorain,"3100 Nagle Rd, Avon, Ohio, 44011",48116
1362,Avon Early Learning Center,Elementary School,Public School,Lorain,"3075 Stoney Ridge Rd, Avon, Ohio, 44011",48116
1370,Avon High School,High School,Public School,Lorain,"37545 Detroit Rd, Avon, Ohio, 44011",48116
1388,Avon Lake High School,High School,Public School,Lorain,"175 Avon Belden Rd, Avon Lake, Ohio, 44012",48124
1396,Avondale Elementary School,Elementary School,Public School,Franklin,"141 Hawkes Ave, Columbus, Ohio, 43222",43802
1404,Avondale Elementary School,Elementary School,Public School,Stark,"3933 Eaton Rd NW, Canton, Ohio, 44708",49932
1412,Ayersville Elementary School,Elementary School,Public School,Defiance,"28046 Watson Rd, Defiance, Ohio, 43512",46706
1420,Ayersville High School,High School,Public School,Defiance,"28046 Watson Rd, Defiance, Ohio, 43512",46706
1438,Babeck Early Childhood School,Elementary School,Public School,Butler,"100 Maple Ave, Trenton, Ohio, 45067",46094
1446,Badger High School,High School,Public School,Trumbull,"7119 State Route 7, Kinsman, Ohio, 44428",50179
1453,Paint Valley Middle School,Middle School,Public School,Ross,"7454 Us Highway 50 W, Bainbridge, Ohio, 45612",49510
1461,Baker Elementary School,Elementary School,Public School,Trumbull,"4095 Sheridan Dr, Vienna, Ohio, 44473",50153
1537,Barber Community Learning Center,Elementary School,Public School,Summit,"665 Garry Rd, Akron, Ohio, 44305",43489
1545,Barberton High School,High School,Public School,Summit,"555 Barber Rd, Barberton, Ohio, 44203",43539
1578,Warren Middle School,Middle School,Public School,Washington,"70 Warrior Dr, Vincent, Ohio, 45784",50500
1594,Barnesville Elementary School,Elementary School,Public School,Belmont,"210 W Church St, Barnesville, Ohio, 43713",45203
1602,Barnesville High School,High School,Public School,Belmont,"910 Shamrock Dr, Barnesville, Ohio, 43713",45203
1628,Brookside Intermediate School,Elementary School,Public School,Lorain,"1812 Harris Rd, Sheffield Village, Ohio, 44054",44768
1644,Barrington Road Elementary School,Elementary School,Public School,Franklin,"1780 Barrington Rd, Upper Arlington, Ohio, 43221",44933
1669,Bascom Elementary School,Elementary School,Public School,Trumbull,"1015 N Leavitt Rd, Leavittsburg, Ohio, 44430",50245
1677,Bassett Elementary School,Elementary School,Public School,Cuyahoga,"2155 Bassett Rd, Westlake, Ohio, 44145",45062
1685,Bataan Memorial Primary School,Elementary School,Public School,Ottawa,"575 W 6th St, Port Clinton, Ohio, 43452",44651
1693,Batavia Elementary School,Elementary School,Public School,Clermont,"3 Bulldog Pl, Batavia, Ohio, 45103",46300
1701,Batavia High School,High School,Public School,Clermont,"1 Bull Dog Pl, Batavia, Ohio, 45103",46300
1735,Bath Elementary School,Elementary School,Public School,Summit,"1246 N Cleveland Massillon Rd, Akron, Ohio, 44333",50054
1743,Bath Elementary School,Elementary School,Public School,Allen,"2450 Bible Rd, Lima, Ohio, 45801",45765
1750,Bath High School,High School,Public School,Allen,"2850 Bible Rd, Lima, Ohio, 45801",45765
1768,Bath Middle School,Middle School,Public School,Allen,"2700 Bible Rd, Lima, Ohio, 45801",45765
1776,Bauer Elementary School,Elementary School,Public School,Montgomery,"701 N. Springboro Pike, Dayton, Ohio, 45449",44396
1792,Bay High School,High School,Public School,Cuyahoga,"29230 Wolf Rd, Bay Village, Ohio, 44140",43547
1800,Bay Middle School,Middle School,Public School,Cuyahoga,"27725 Wolf Rd, Bay Village, Ohio, 44140",43547
1818,Lakeview Elementary School,Elementary School,Public School,Trumbull,"2755 Bazetta Rd NE, Warren, Ohio, 44481",50187
1842,Beachwood High School,High School,Public School,Cuyahoga,"25100 Fairmount Blvd, Beachwood, Ohio, 44122",43554
1859,Beacon Elementary School,Elementary School,Public School,Franklin,"3600 Lacon Rd, Hilliard, Ohio, 43026",47019
1875,Beallsville Elementary School,Elementary School,Public School,Monroe,"43824 SR 556, Beallsville, Ohio, 43716",48652
1883,Beallsville High School,High School,Public School,Monroe,"52682 Ohio Ave, Beallsville, Ohio, 43716",48652
1891,Bear Elementary School,Elementary School,Public School,Montgomery,"545 School St, Miamisburg, Ohio, 45342",44396
1917,Beatty Park Elementary School,Elementary School,Public School,Franklin,"519 Trevitt St, Columbus, Ohio, 43203",43802
1925,Columbus Spanish Immersion K-6 School,Elementary School,Public School,Franklin,"3940 Karl Rd, Columbus, Ohio, 43224",43802
1933,Beaver Local Middle School,Middle School,Public School,Columbiana,"46088 Bell School Rd, East Liverpool, Ohio, 43920",46425
1958,Beaver Local High School,High School,Public School,Columbiana,"46088 Bell School Rd, East Liverpool, Ohio, 43920",46425
1966,Beavercreek High School,High School,Public School,Greene,"2660 Dayton Xenia Rd, Beavercreek, Ohio, 45434",47241
1982,Beavertown Elementary School,Elementary School,Public School,Montgomery,"2700 Wilmington Pike, Kettering, Ohio, 45419",44180
2022,Bedford High School,High School,Public School,Cuyahoga,"481 Northfield Rd, Bedford, Ohio, 44146",43562
2048,Beechwood Elementary School,Elementary School,Public School,Franklin,"455 Beechwood Rd, Whitehall, Ohio, 43213",45070
2055,Winton Woods Primary North,Elementary School,Public School,Hamilton,"73 Junefield Ave, Cincinnati, Ohio, 45218",44081
2097,Belden Elementary School,Elementary School,Public School,Stark,"2115 Georgetown Rd NE, Canton, Ohio, 44704",43711
2139,Bellaire High School,High School,Public School,Belmont,"349 35th St, Bellaire, Ohio, 43906",43570
2147,Bellbrook Middle School,Middle School,Public School,Greene,"3600 Feedwire Rd, Bellbrook, Ohio, 45305",47274
2154,Bellbrook High School,High School,Public School,Greene,"3737 Upper Bellbrook Rd, Bellbrook, Ohio, 45305",47274
2170,Benjamin Logan Elementary School,Elementary School,Public School,Logan,"4560 County Road 26, Bellefontaine, Ohio, 43311",48074
2196,Belle Haven PreK-6 School,Elementary School,Public School,Montgomery,"4401 Free Pike, Dayton, Ohio, 45416",43844
2220,Bellefontaine High School,High School,Public School,Logan,"555 E Lake Ave, Bellefontaine, Ohio, 43311",43588
2246,Bellevue High School,High School,Public School,Sandusky,"200 Oakland Ave, Bellevue, Ohio, 44811",43596
2253,Bellevue Middle School,Middle School,Public School,Huron,"1035 Castalia St, Bellevue, Ohio, 44811",43596
2279,Bellville Elementary School,Elementary School,Public School,Richland,"195 School St, Bellville, Ohio, 44813",49411
2303,Belmont High School,High School,Public School,Montgomery,"2615 Wayne Ave, Dayton, Ohio, 45420",43844
2311,Damascus Elementary,Elementary School,Public School,Mahoning,"14405 Pricetown Road, Salem, Ohio, 44460",48389
2337,Belpre High School,High School,Public School,Washington,"300 Stone Rd, Belpre, Ohio, 45714",43604
2352,Gearity Professional Development School,Elementary School,Public School,Cuyahoga,"2323 Wrenford Rd, University Hts, Ohio, 44118",43794
2378,Benjamin Franklin ,Elementary School,Public School,Cuyahoga,"1905 Spring Rd, Cleveland, Ohio, 44109",43786
2436,Berkshire High School,High School,Public School,Geauga,", Burton, Ohio, 44021",47167
2444,Western Reserve Middle School,Middle School,Public School,Mahoning,"13850 W Akron Canfield Rd, Berlin Center, Ohio, 44401",48397
2451,Berlin Elementary School,Elementary School,Public School,Holmes,"4978 W Main St, Berlin, Ohio, 44610",47688
2485,Edison Middle School (formerly Berlin-Milan Middle School),Middle School,Public School,Erie,"20 Center St, Berlin Heights, Ohio, 44814",46789
2493,Berne Union Elementary School,Elementary School,Public School,Fairfield,"506 N Main St, Sugar Grove, Ohio, 43155",46854
2501,Berne Union High School,High School,Public School,Fairfield,"506 N Main St, Sugar Grove, Ohio, 43155",46854
2519,Berry Intermediate School,Elementary School,Public School,Warren,"23 Oakwood Ave, Lebanon, Ohio, 45036",44214
2527,Berwick Alternative K-8 School,Elementary School,Public School,Franklin,"2655 Scottwood Rd, Columbus, Ohio, 43209",43802
2543,Bethel Elementary School,Elementary School,Public School,Miami,"7490 State Route 201, Tipp City, Ohio, 45371",48611
2568,Bethel Tate High School,High School,Public School,Clermont,"3420 State Route 125, Bethel, Ohio, 45106",46318
2576,Bethel High School,High School,Public School,Miami,"7490 State Route 201, Tipp City, Ohio, 45371",48611
2584,Bethel-Tate Middle School,Middle School,Public School,Clermont,"649 W Plane St, Bethel, Ohio, 45106",46318
2634,Betty Jane Community Learning Center,Elementary School,Public School,Summit,"444 Darrow Rd, Akron, Ohio, 44305",43489
2642,Beverly Elementary School,Elementary School,Public School,Lucas,"3548 S Detroit Ave, Toledo, Ohio, 43614",44909
2659,Beverly-Center Elementary School,Elementary School,Public School,Washington,"510 5th St, Beverly, Ohio, 45715",50484
2667,Beverly Gardens Elementary School,Elementary School,Public School,Montgomery,"5555 Enright Ave, Dayton, Ohio, 45431",48702
2675,Bexley High School,High School,Public School,Franklin,"326 S Cassingham Rd, Bexley, Ohio, 43209",43620
2683,River Valley Middle School ,Middle School,Public School,Gallia,"8779 State Route 160, Bidwell, Ohio, 45614",65680
2709,Big Walnut High School,High School,Public School,Delaware,"555 S Old 3c Rd, Sunbury, Ohio, 43074",46748
2733,Binns Elementary School,Elementary School,Public School,Franklin,"1080 Binns Blvd, Columbus, Ohio, 43204",43802
2758,Birmingham Elementary School,Elementary School,Public School,Lucas,"2222 Bakewell St, Toledo, Ohio, 43605",44909
2766,Samuel Bissell Elementary School,Elementary School,Public School,Summit,"1811 Glenwood Dr, Twinsburg, Ohio, 44087",50070
2782,Black River High School,High School,Public School,Ashland,"233 County Road 40, Sullivan, Ohio, 44880",48462
2824,Blairwood Elementary School,Elementary School,Public School,Montgomery,"1241 Blairwood Ave, Dayton, Ohio, 45417",48686
2832,Blanchester Middle School,Middle School,Public School,Clinton,"955 Cherry St, Blanchester, Ohio, 45107",46383
2840,Blanchester High School,High School,Public School,Clinton,"953 Cherry St, Blanchester, Ohio, 45107",46383
2857,Bloom Carroll Intermediate School,Elementary School,Public School,Fairfield,"200 Market Street, Lithopolis, Ohio, 43136",46862
2873,South Webster Jr/Sr High School,High School,Public School,Scioto,"10529 Main St, South Webster, Ohio, 45682",49593
2907,Bloom Carroll Primary School,Elementary School,Public School,Fairfield,"69 S Beaver Street, Carroll, Ohio, 43112",46862
2923,Edgewood Elementary School,Elementary School,Public School,Butler,"3440 Busenbark Rd, Trenton, Ohio, 45067",46094
2956,Bloomfield High School,High School,Public School,Trumbull,"2077 Park West Rd, North Bloomfield, Ohio, 44450",50096
2964,Miami Trace Middle School,Middle School,Public School,Fayette,"3818 State Route 41 NW, Washington Court House, Ohio, 43160",46920
2980,E J Blott Elementary School,Elementary School,Public School,Trumbull,"4115 Shady Rd, Youngstown, Ohio, 44505",50195
2998,Blue Ash Elementary,Elementary School,Public School,Hamilton,"9541 Plainfield Rd, Cincinnati, Ohio, 45236",44867
3020,Bluffton Elementary School,Elementary School,Public School,Allen,"102 S Jackson St, Bluffton, Ohio, 45817",45211
3038,Bluffton High School,High School,Public School,Allen,"106 W College Ave, Bluffton, Ohio, 45817",45211
3046,Wapakoneta Middle School,Middle School,Public School,Auglaize,"400 W Harrison St, Wapakoneta, Ohio, 45895",44982
3053,Boardman Glenwood Junior High,Junior High School,Public School,Mahoning,"7635 Glenwood Ave, Youngstown, Ohio, 44512",48306
3061,Boardman High School,High School,Public School,Mahoning,"7777 Glenwood Ave, Youngstown, Ohio, 44512",48306
3103,Bolich Middle School,Middle School,Public School,Summit,"2630 13th St, Cuyahoga Falls, Ohio, 44223",43836
3129,Tuscarawas Valley Intermediate,Elementary School,Public School,Tuscarawas,"216 Park Ave SW, Bolivar, Ohio, 44612",50302
3137,Bolton,Elementary School,Public School,Cuyahoga,"9803 Quebec Ave, Cleveland, Ohio, 44106",43786
3152,Bond Hill Academy Elementary School,Elementary School,Public School,Hamilton,"1510 California Ave, Cincinnati, Ohio, 45237",43752
3202,Woodridge Middle School,Middle School,Public School,Summit,"4451 Quick Rd, Peninsula, Ohio, 44264",49973
3210,Botkins Elementary School,Elementary School,Public School,Shelby,"404 E State St, Botkins, Ohio, 45306",49767
3228,Botkins High School,High School,Public School,Shelby,"404 E State St, Botkins, Ohio, 45306",49767
3244,Boulevard Elementary School,Elementary School,Public School,Cuyahoga,"14900 Drexmore Rd, Shaker Heights, Ohio, 44120",44750
3251,Boulevard Elementary School,Elementary School,Public School,Cuyahoga,"1749 Lee Rd, Cleveland Heights, Ohio, 44118",43794
3277,Conotton Valley Elementary,Elementary School,Public School,Harrison,"7205 Cumberland Rd SW, Bowerston, Ohio, 44695",47548
3285,Bowling Green High School,High School,Public School,Wood,"530 W Poe Rd, Bowling Green, Ohio, 43402",43638
3293,Bowling Green Middle School,Middle School,Public School,Wood,"1079 Fairview Ave, Bowling Green, Ohio, 43402",43638
3301,Bowsher High School,High School,Public School,Lucas,"2200 Arlington Avenue, Toledo, Ohio, 43614",44909
3335,LaBrae Intermediate School,Elementary School,Public School,Trumbull,"1001 N Leavitt Rd, Leavittsburg, Ohio, 44430",50245
3368,Bradford Elementary School,Elementary School,Public School,Darke,"740 Railroad Ave, Bradford, Ohio, 45308",45229
3376,Bradford High School,High School,Public School,Darke,"750 Railroad Ave, Bradford, Ohio, 45308",45229
3400,Ballard Brady Middle School,Middle School,Public School,Cuyahoga,"32000 Chagrin Blvd, Pepper Pike, Ohio, 44124",46581
3434,Brantner Lane Elementary School,Elementary School,Public School,Clermont,"609 Brantner Ln, Cincinnati, Ohio, 45244",46359
3442,Brantwood Elementary School,Elementary School,Public School,Montgomery,"4350 Schwinn Dr, Dayton, Ohio, 45404",48702
3467,Brecksville-Broadview Heights High School,High School,Public School,Cuyahoga,"6380 Mill Rd, Broadview Heights, Ohio, 44147",43646
3475,Brecksville-Broadview Heights Middle School,Middle School,Public School,Cuyahoga,"6376 Mill Rd, Broadview Heights, Ohio, 44147",43646
3491,Brent Elementary School,Elementary School,Public School,Hamilton,"8791 Brent Dr, Cincinnati, Ohio, 45231",47332
3509,Brentmoor Elementary School,Elementary School,Public School,Lake,"7671 Johnnycake Ridge Rd, Mentor, Ohio, 44060",45492
3558,The Bridgeport School District - High School,High School,Public School,Belmont,"55707 Industrial Dr, Bridgeport, Ohio, 43912",45237
3566,Bridgetown Middle School,Middle School,Public School,Hamilton,"3900 Race Rd, Cincinnati, Ohio, 45211",47373
3590,Buckeye North Elementary School,Elementary School,Public School,Jefferson,"1004 3rd St, Brilliant, Ohio, 43913",47787
3616,Brimfield Elementary School,Elementary School,Public School,Portage,"4170 State Route 43, Kent, Ohio, 44240",49197
3624,Malabar Intermediate School,Elementary School,Public School,Richland,"205 W Cook Rd, Mansfield, Ohio, 44907",44297
3632,Bristol Elementary School,Elementary School,Public School,Trumbull,"1845 State Route 88, Bristolville, Ohio, 44402",50112
3640,Bristol High School,High School,Public School,Trumbull,"1845 State Route 88, Bristolville, Ohio, 44402",50112
3657,Britton Elementary School,Elementary School,Public School,Franklin,"4501 Britton Rd, Hilliard, Ohio, 43026",47019
3665,Broadleigh Elementary School,Elementary School,Public School,Franklin,"3039 Maryland Ave, Columbus, Ohio, 43209",43802
3707,Broadway Elementary School,Elementary School,Public School,Miami,"223 W Broadway St, Tipp City, Ohio, 45371",45617
3749,Brookfield High School,High School,Public School,Trumbull,"614 Bedford Rd SE, Brookfield, Ohio, 44403",50120
3756,Brookfield Middle School,Middle School,Public School,Trumbull,"614 Bedford Rd SE, Brookfield, Ohio, 44403",50120
3780,Brooklyn High School,High School,Public School,Cuyahoga,"9200 Biddulph Rd, Brooklyn, Ohio, 44144",43653
3806,Brook Park Memorial Elementary School,Elementary School,Public School,Cuyahoga,"16900 Holland Rd, Brook Park, Ohio, 44142",43612
3814,Brooklyn Elementary School,Elementary School,Public School,Cuyahoga,"9200 Biddulph Rd, Brooklyn, Ohio, 44144",43653
3822,Brookside Elementary School,Elementary School,Public School,Franklin,"6700 Mcvey Blvd, Columbus, Ohio, 43235",45138
3830,Brookside High School,High School,Public School,Lorain,"1662 Harris Rd, Sheffield Village, Ohio, 44054",44768
3848,Brookview Elementary School,Elementary School,Public School,Cuyahoga,"14105 Snow Rd, Brook Park, Ohio, 44142",43612
3863,Brookville High School,High School,Public School,Montgomery,"1 Blue Pride Drive, Brookville, Ohio, 45309",48678
3897,Brown Elementary School,Elementary School,Public School,Franklin,"2494 Walker Rd, Hilliard, Ohio, 43026",47019
3905,Brown Middle School,Middle School,Public School,Portage,"228 S Scranton St, Ravenna, Ohio, 44266",44685
3954,William Bruce Elementary School,Elementary School,Public School,Preble,"506-B Aukerman St, Eaton, Ohio, 45320",43935
3970,Brunswick High School,High School,Public School,Medina,"3581 Center Rd, Brunswick, Ohio, 44212",43661
3988,Midview North Elementary School,Elementary School,Public School,Lorain,"13070 Durkee Rd, Grafton, Ohio, 44044",48173
3996,Brush High School,High School,Public School,Cuyahoga,"4875 Glenlyn Rd, Lyndhurst, Ohio, 44124",44792
4002,Bryan Elementary,Elementary School,Public School,Williams,"1301 Center St, Bryan, Ohio, 43506",43679
4028,Bryan Middle School/High School,High School,Public School,Williams,"1000 W Fountain Grove Drive, Bryan, Ohio, 43506",43679
4044,Bryden Elementary School,Elementary School,Public School,Cuyahoga,"25501 Bryden Rd, Beachwood, Ohio, 44122",43554
4077,Buchtel High School,High School,Public School,Summit,"1040 Copley Rd, Akron, Ohio, 44320",43489
4085,Buckeye Central High School,High School,Public School,Crawford,"938 S Kibler St, New Washington, Ohio, 44854",46508
4101,Buckeye Elementary School,Elementary School,Public School,Lake,"175 Buckeye Rd, Painesville, Ohio, 44077",47894
4119,Buckeye Elementary School,Elementary School,Public School,Columbiana,"1200 Buckeye Ave, Salem, Ohio, 44460",44735
4127,Buckeye High School,High School,Public School,Medina,"3084 Columbia Rd, Medina, Ohio, 44256",48470
4135,Buckeye Middle School,Middle School,Public School,Franklin,"2950 Parsons Ave, Columbus, Ohio, 43207",43802
4143,Buckeye Valley Local High School,High School,Public School,Delaware,"901 Coover Rd, Delaware, Ohio, 43015",46755
4176,Buckskin Elementary School,Elementary School,Public School,Ross,"4297 Broadway St, South Salem, Ohio, 45681",45401
4184,Bucyrus Secondary School,High School,Public School,Crawford,"900 W Perry St, Bucyrus, Ohio, 44820",43687
4192,Budd Elementary School,Elementary School,Public School,Ashland,"210 E Main St, Loudonville, Ohio, 44842",45468
4200,Pugliese Elementary West,Elementary School,Public School,Jefferson,"435 John Scott Hwy Connector, Steubenville, Ohio, 43952",44826
4218,Brook Intermediate School,Elementary School,Public School,Guernsey,"58601 Marietta Rd, Byesville, Ohio, 43723",47308
4234,Buhrer,Elementary School,Public School,Cuyahoga,"1600 Buhrer Ave, Cleveland, Ohio, 44109",43786
