IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
451,Manchester Elementary School,Elementary School,Public School,Adams,"130 Wayne Frye Dr, Manchester, Ohio, 45144",442
468,Columbus Adventist Academy,Elementary School,Nonpublic School,Franklin,"3650B Sunbury Rd, Columbus, Ohio, 43219",468
470,Independence Elementary School,Elementary School,Public School,Allen,"615 Tremont Ave, Lima, Ohio, 45801",44222
472,Liberty Arts Magnet K-8,Elementary School,Public School,Allen,"338 W Kibby St, Lima, Ohio, 45804",44222
475,Bluestone Elementary School,Elementary School,Public School,Cuyahoga,"1455 E 260th St, Euclid, Ohio, 44132",43950
476,Saint Martin de Porres High School,High School,Nonpublic School,Cuyahoga,"6111 Lausche Ave, Cleveland, Ohio, 44103",52522
479,Guiding Shepherd Christian School,High School,Nonpublic School,Clark,"220 S Main St, New Carlisle, Ohio, 45344",479
491,Bowman Primary School,Elementary School,Public School,Warren,"825 Hart Rd., Lebanon, Ohio, 45036",44214
493,Lebanon Junior High,Junior High School,Public School,Warren,"160 Miller Rd, Lebanon, Ohio, 45036",44214
501,Ripley Union Lewis Huntington Middle School,Middle School,Public School,Brown,"2300 Rains-Eitel Rd., Aberdeen, Ohio, 45101",46078
509,Whitehall Preparatory and Fitness Academy,Elementary School,Community School,Franklin,"3474 E Livingston Ave, Columbus, Ohio, 43227",14997
509,Whitehall Preparatory and Fitness Academy,Community School Startup,Community School,Franklin,"3474 E Livingston Ave, Columbus, Ohio, 43227",14997
510,Springfield Preparatory and Fitness Academy,Elementary School,Community School,Clark,"1615 Selma Rd, Springfield, Ohio, 45505",14997
510,Springfield Preparatory and Fitness Academy,Community School Startup,Community School,Clark,"1615 Selma Rd, Springfield, Ohio, 45505",14997
511,Northland Preparatory and Fitness Academy,Elementary School,Community School,Franklin,"1875 Morse Rd, Columbus, Ohio, 43229",14997
511,Northland Preparatory and Fitness Academy,Community School Startup,Community School,Franklin,"1875 Morse Rd, Columbus, Ohio, 43229",14997
519,Whiteoak Junior High School,Middle School,Public School,Highland,"44 North High Street, Mowrystown, Ohio, 45155",47613
520,Youngstown Early College,High School,Public School,Mahoning,"Fedor Hall, Youngstown, Ohio, 44555",45161
525,Canton Harbor High School,High School,Community School,Stark,"1731 Grace Ave NE, Canton, Ohio, 44705",N/A
525,Canton Harbor High School,Community School Startup,Community School,Stark,"1731 Grace Ave NE, Canton, Ohio, 44705",N/A
525,Canton Harbor High School,Dropout Recovery,Community School,Stark,"1731 Grace Ave NE, Canton, Ohio, 44705",N/A
526,Mad River Early Childhood Center,Elementary School,Public School,Montgomery,"801 Old Harshman Rd, Dayton, Ohio, 45431",48702
527,Cleveland Academy for Scholarship Technology and Leadership,High School,Community School,Cuyahoga,"3950 Prospect Ave E, Cleveland, Ohio, 44115",15000
527,Cleveland Academy for Scholarship Technology and Leadership,Community School Startup,Community School,Cuyahoga,"3950 Prospect Ave E, Cleveland, Ohio, 44115",15000
527,Cleveland Academy for Scholarship Technology and Leadership,Dropout Recovery,Community School,Cuyahoga,"3950 Prospect Ave E, Cleveland, Ohio, 44115",15000
534,Constellation Schools: Puritas Community Middle,Middle School,Community School,Cuyahoga,"15204 Puritas Ave, Cleveland, Ohio, 44135",14981
534,Constellation Schools: Puritas Community Middle,Community School Startup,Community School,Cuyahoga,"15204 Puritas Ave, Cleveland, Ohio, 44135",14981
