Unique ID,School ID,District ID,State-Reporting,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Claim Date
NV@SD355@GD399,SD355,GD399,NV,,Family Learning Home II,NORTHERN NV CHILD & ADOLESCENT SVCS,,,,,,,,,,,,,1,2017,,,,,,,118,0,0,,,31,,,,,,,,,39,1.258064516,118,3.806451613,,SY16-17,,,,,,,,,,,,31,39,0,0,1/1/2017
NV@SD356@GD399,SD356,GD399,NV,,Family Learning Home IV,NORTHERN NV CHILD & ADOLESCENT SVCS,,,,,,,,,,,,,1,2017,,,,,,,126,0,0,,,31,,,,,,,,,48,1.548387097,126,4.064516129,,SY16-17,,,,,,,,,,,,31,48,0,0,1/1/2017
NV@SD357@GD399,SD357,GD399,NV,,Family Learning Home V-Former Palmer House,NORTHERN NV CHILD & ADOLESCENT SVCS,,,,,,,,,,,,,1,2017,,,,,,,114,0,0,,,31,,,,,,,,,56,1.806451613,114,3.677419355,,SY16-17,,,,,,,,,,,,31,56,0,0,1/1/2017
NV@012-316@012,012-316,012,NV,Nye,Amargosa Middle School,Nye County School District,,,,,,6-8,,Y,,N,,,1,2017,49,,,,43,,538,0,45,,,20,,,,,,,,,809,40.45,538,26.9,320036000564,SY16-17,,43,0.922462942,Middle,,,,,,,,20,809,0,68,1/1/2017
NV@012-106@012,012-106,012,NV,Nye,Amargosa Valley Elementary School,Nye County School District,,,,,,PK-5,,Y,,N,,,1,2017,117,,,,109,,1992,0,169,,,20,,,,,,,,,2014,100.7,1992,99.6,320036000185,SY16-17,,109,0.922161172,Primary,,,,,,,,20,2014,0,170,1/1/2017
NV@012-201@012,012-201,012,NV,Nye,Beatty Elementary School,Nye County School District,,,,,,PK-5,,Y,,N,,,1,2017,64,,,,63,,996,0,84,,,20,,,,,,,,,862,43.1,996,49.8,320036000186,SY16-17,,63,0.921925134,Primary,,,,,,,,20,862,0,73,1/1/2017
NV@012-601@012,012-601,012,NV,Nye,Beatty High School,Nye County School District,,,,,,9-12,,N,,N,,,1,2017,124,,78,15,93,,869,180,318,,,20,,,,,,,,,1230,61.5,1049,52.45,320036000187,SY16-17,,93,0.75,High,,,,,,,,20,1040,190,283,1/1/2017
NV@012-311@012,012-311,012,NV,Nye,Beatty Middle School,Nye County School District,,,,,,6-8,,Y,,N,,,1,2017,32,,,,27,,467,0,40,,,20,,,,,,,,,531,26.55,467,23.35,320036000566,SY16-17,,27,0.921875,Middle,,,,,,,,20,531,0,45,1/1/2017
NV@012-301@012,012-301,012,NV,Nye,Clarke Middle School,Nye County School District,,,,,,6-8,,N,,N,,,1,2017,937,,596,54,650,,7853,752,3231,,,20,,,,,,,,,10512,525.6,8605,430.25,320036000412,SY16-17,,650,0.693703308,Middle,,,,,,,,20,9723,789,2653,1/1/2017
NV@012-210@012,012-210,012,NV,Nye,Floyd Elementary School,Nye County School District,,,,,,PK-5,,N,,N,,,1,2017,457,,278,20,298,,1560,56,54,,,20,,,,,,,,,4314,215.7,1616,80.8,320036000752,SY16-17,,298,0.652078775,Primary,,,,,,,,20,4073,241,776,1/1/2017
