Provision 2 (Y/N),Claim Date,ISP,School Level-Original,Enrollment-Total,Enrollment-Free and Reduced,Enrollment-Free,Enrollment-Reduced,School Year,Claim Year,Unique ID,School ID,District ID,State-Physical,Street Address-Line 1,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,School Name,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,CEP (Y/N),Claim Month,Operating Days-Lunch Only
,7/1/2013,,,,,,,SY13-14,2013,NV@2962@1043,2962,1043,,,,,,,,,,4217,0,2,,,21,,,,,,,,,NV,9264,441.142857143,4217,200.809523810,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Cimarron Memorial High School,,,Clark,9264,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1401@1043,1401,1043,,,,,,,,,,1512,0,0,,,21,,,,,,,,,NV,1470,70,1512,72,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Dailey Elementary School,,,Clark,1470,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@2938@1043,2938,1043,,,,,,,,,,1894,0,0,,,20,,,,,,,,,NV,2217,110.85,1894,94.7,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Del Sol High School,,,Clark,2217,0,0,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@1409@1043,1409,1043,,,,,,,,,,2462,0,0,,,21,,,,,,,,,NV,2567,122.238095238,2462,117.238095238,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,"Earl, Ira Elementary School",,,Clark,2567,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@2958@1043,2958,1043,,,,,,,,,,4926,0,0,,,21,,,,,,,,,NV,5066,241.238095238,4926,234.571428571,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Eldorado High School,,,Clark,5066,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1415@1043,1415,1043,,,,,,,,,,3151,0,0,,,21,,,,,,,,,NV,2970,141.428571429,3151,150.047619048,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Fitzgerald Elementary School,,,Clark,2970,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@3197@1043,3197,1043,,,,,,,,,,1142,224,487,,,22,,,,,,,,,NV,4244,192.909090909,1366,62.090909091,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,"Forbuss, R Elementary School",,,Clark,3230,1014,4316,N,7,22
,7/1/2013,,,,,,,SY13-14,2013,NV@2856@1043,2856,1043,,,,,,,,,,340,138,233,,,21,,,,,,,,,NV,484,23.047619048,478,22.761904762,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Frias Elementary School,,,Clark,357,127,185,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1421@1043,1421,1043,,,,,,,,,,604,115,324,,,21,,,,,,,,,NV,880,41.904761905,719,34.238095238,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Garehime Elementary School,,,Clark,722,158,357,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1432@1043,1432,1043,,,,,,,,,,2217,0,0,,,21,,,,,,,,,NV,2068,98.476190476,2217,105.571428571,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Griffith Elementary School,,,Clark,2068,0,0,N,7,21
